entity_id	valid	rejected	polled	electors	UNP	SLFP	JVP	LSSP	ACTC	NSSP
LK-9209	29024.0	218.0	29239.0	34507.0	17183.0	10436.0	1200.0	155.0	13.0	22.0
EC-22F	29022	219	29241	34504	17183	10433	1197	154	26	29
LK-8127	28994.0	337.0	29328.0	33668.0	17561.0	9245.0	1851.0	206.0	56.0	71.0
EC-19F	28993	335	29328	33670	17564	9251	1851	206	54	67
EC-17G	28610	209	28819	32927	15454	12281	733	98	13	31
EC-13C	28599	449	29048	37509	18347	8197	861	153	926	115
EC-07A	28541	546	29087	37444	14949	9295	1178	3060	14	45
LK-3106	28539.0	548.0	29088.0	37444.0	14951.0	9294.0	1179.0	3058.0	1.0	50.0
EC-01E	28528	314	28842	40375	22115	4751	576	409	521	156
EC-13B	28476	374	28850	35982	19079	6710	1197	221	1214	55
EC-21G	28293	237	28530	32904	13806	13644	629	129	33	52
LK-1330	28289.0	414.0	28701.0	34591.0	13708.0	12962.0	1210.0	298.0	63.0	53.0
EC-04D	28228	358	28586	31788	15284	12242	456	157	38	51
LK-1312	28193.0	385.0	28573.0	33485.0	14022.0	13095.0	653.0	340.0	47.0	40.0
EC-11A	27502	486	27988	40965	17008	8039	279	174	1891	111
LK-42	27502	486	27988	40965	17008	8039	279	174	1891	111
LK-3112	27076.0	384.0	27465.0	33066.0	13360.0	12304.0	1189.0	164.0	12.0	42.0
EC-04E	27012	267	27279	3145	13258	12747	821	100	56	30
LK-2124	27011.0	264.0	27278.0	3143.0	13259.0	12742.0	826.0	101.0	56.0	7.0
LK-2112	26893.0	294.0	27188.0	32311.0	17094.0	9090.0	519.0	124.0	23.0	44.0
EC-14B	26872	777	27649	49244	14503	5424	1305	174	5366	100
LK-6184	26815.0	186.0	27001.0	31246.0	15330.0	10313.0	1007.0	99.0	14.0	26.0
LK-3133	26692.0	343.0	27030.0	32623.0	12869.0	11742.0	1641.0	375.0	9.0	45.0
LK-2142	26443.0	243.0	26686.0	31428.0	16400.0	9536.0	330.0	115.0	41.0	31.0
LK-9118	26239.0	194.0	26430.0	29976.0	13255.0	11955.0	833.0	112.0	45.0	27.0
LK-6145	25942.0	267.0	26211.0	29824.0	14772.0	10310.0	721.0	98.0	1.0	9.0
EC-11B	25897	947	26844	43656	11720	9385	1764	252	2689	87
LK-43	25897	947	26844	43656	11720	9385	1764	252	2689	87
LK-8124	25781.0	353.0	26131.0	30596.0	14194.0	10250.0	1008.0	210.0	70.0	44.0
EC-19E	25778	351	26129	30598	14196	10249	1011	212	69	41
LK-3154	25664.0	211.0	25874.0	32601.0	11028.0	13149.0	1304.0	103.0	7.0	69.0
LK-9142	25489.0	161.0	25648.0	29313.0	14255.0	10233.0	763.0	163.0	37.0	32.0
LK-2218	25479.0	236.0	25715.0	31130.0	15990.0	8283.0	1001.0	105.0	63.0	30.0
LK-3145	25361.0	237.0	25602.0	31004.0	12303.0	11915.0	931.0	111.0	4.0	82.0
LK-6245	24869.0	152.0	25022.0	29686.0	15033.0	9025.0	690.0	90.0	2.0	2.0
LK-7139	24599.0	171.0	24773.0	29238.0	13026.0	10379.0	1027.0	119.0	22.0	30.0
LK-6127	24577.0	157.0	24736.0	28471.0	13375.0	10008.0	1041.0	98.0	0.0	36.0
EC-17F	24322	249	24571	28761	11300	10965	1813	180	34	30
LK-3248	24216.0	246.0	24459.0	30113.0	12007.0	9432.0	2586.0	134.0	26.0	28.0
LK-6142	24030.0	140.0	24169.0	27642.0	12777.0	10751.0	405.0	64.0	3.0	3.0
EC-19C	24018	395	24413	28077	14400	8830	379	230	118	61
EC-19B	23703	289	23992	27455	12251	10836	242	237	62	75
LK-6181	23700.0	165.0	23868.0	27626.0	13549.0	9119.0	891.0	89.0	14.0	26.0
LK-3206	23684.0	237.0	23918.0	27536.0	12413.0	10030.0	1040.0	119.0	42.0	38.0
LK-4118	23283.0	1022.0	24305.0	49577.0	3547.0	13677.0	376.0	426.0	4984.0	182.0
EC-10E	23282	1023	24305	49577	3546	13678	379	423	4984	182
LK-2233	23122.0	225.0	23347.0	27301.0	14354.0	7399.0	1161.0	133.0	38.0	26.0
EC-04I	22930	203	23133	29751	15729	6498	408	149	64	82
LK-6106	22846.0	184.0	23027.0	26281.0	11499.0	10304.0	922.0	84.0	1.0	3.0
LK-6248	22781.0	139.0	22916.0	27195.0	13772.0	8269.0	628.0	82.0	4.0	6.0
LK-3109	22512.0	250.0	22761.0	28141.0	11608.0	8664.0	2056.0	122.0	31.0	28.0
LK-7206	22510.0	202.0	22712.0	27793.0	13063.0	7572.0	1760.0	92.0	3.0	2.0
LK-6242	22404.0	200.0	22597.0	27243.0	12800.0	8943.0	561.0	66.0	3.0	13.0
LK-4109	22333.0	1070.0	23399.0	48933.0	4461.0	9005.0	556.0	484.0	7511.0	299.0
EC-10D	22330	1069	23399	48930	4463	9008	559	483	7514	298
LK-1327	22257.0	327.0	22588.0	27217.0	10786.0	10197.0	953.0	234.0	48.0	40.0
LK-3218	22147.0	183.0	22331.0	26348.0	10874.0	8983.0	2109.0	105.0	47.0	36.0
LK-4106	22105.0	1077.0	23178.0	46207.0	3700.0	7770.0	380.0	257.0	9741.0	254.0
EC-10B	22103	1076	23179	46206	3700	7770	380	257	9741	255
EC-19D	22003	228	22231	27419	12435	8485	717	253	76	37
LK-8121	22002.0	230.0	22233.0	27420.0	12434.0	8485.0	715.0	252.0	74.0	36.0
EC-19I	21913	242	22155	27756	11822	9257	482	242	55	55
LK-2206	21877.0	162.0	22036.0	25462.0	11511.0	9147.0	1051.0	128.0	9.0	6.0
LK-9227	21603.0	432.0	22037.0	25867.0	12925.0	7069.0	487.0	1036.0	44.0	40.0
LK-9230	21467.0	364.0	21834.0	25914.0	12305.0	7670.0	879.0	505.0	43.0	64.0
LK-3245	21372.0	214.0	21585.0	26581.0	10602.0	8326.0	2287.0	111.0	19.0	25.0
LK-2109	21252.0	182.0	21436.0	24992.0	13069.0	7049.0	1020.0	66.0	5.0	29.0
LK-2203	21189.0	155.0	21349.0	24661.0	11150.0	8862.0	1017.0	128.0	6.0	2.0
LK-9103	21056.0	379.0	21435.0	25019.0	10486.0	8728.0	378.0	118.0	18.0	1319.0
LK-3103	20905.0	296.0	21204.0	25532.0	10313.0	9499.0	919.0	129.0	4.0	33.0
LK-3221	20840.0	188.0	21029.0	26151.0	10447.0	9293.0	949.0	80.0	35.0	40.0
LK-3127	20839.0	231.0	21068.0	25335.0	9569.0	10169.0	846.0	163.0	28.0	59.0
LK-7115	20604.0	227.0	20834.0	25994.0	9906.0	9331.0	1181.0	115.0	34.0	40.0
LK-6169	20371.0	162.0	20531.0	23574.0	11853.0	7876.0	516.0	94.0	4.0	18.0
EC-10H	20247	1205	21452	44597	3629	6128	204	419	9742	125
LK-4130	20247.0	1202.0	21451.0	44599.0	3628.0	6127.0	203.0	419.0	9739.0	124.0
LK-3209	20217.0	176.0	20389.0	23988.0	9288.0	9639.0	1138.0	93.0	31.0	35.0
LK-7203	20197.0	183.0	20382.0	23962.0	10529.0	7614.0	1889.0	98.0	7.0	38.0
EC-10C	20194	1078	21272	51681	3771	9523	341	310	6065	184
LK-6175	20131.0	116.0	20246.0	23155.0	10702.0	9006.0	338.0	51.0	6.0	4.0
LK-5315	20040.0	582.0	20621.0	36729.0	10821.0	4047.0	977.0	129.0	4003.0	75.0
LK-3227	19716.0	189.0	19903.0	24806.0	8879.0	9253.0	1409.0	98.0	41.0	40.0
LK-2121	19690.0	252.0	19940.0	22172.0	10656.0	8536.0	319.0	112.0	29.0	38.0
LK-1339	19609.0	360.0	19971.0	24181.0	9876.0	8088.0	785.0	803.0	30.0	30.0
EC-10J	19502	711	20213	42296	6419	3258	176	134	9319	186
LK-4136	19502.0	713.0	20217.0	42297.0	6420.0	3259.0	175.0	130.0	9317.0	187.0
LK-2106	19413.0	170.0	19579.0	22829.0	11938.0	6446.0	935.0	67.0	0.0	8.0
LK-6187	19269.0	310.0	19576.0	22962.0	10746.0	7980.0	439.0	62.0	2.0	7.0
LK-3203	19162.0	191.0	19357.0	22280.0	10046.0	8116.0	842.0	99.0	37.0	35.0
LK-9115	19130.0	140.0	19270.0	21860.0	9667.0	8717.0	609.0	80.0	36.0	11.0
LK-1118	19072.0	202.0	19271.0	22828.0	9710.0	8557.0	617.0	87.0	27.0	76.0
LK-6154	19072.0	141.0	19217.0	24305.0	11257.0	7054.0	624.0	76.0	8.0	45.0
EC-10I	18959	894	19853	49233	4831	4330	244	332	8979	243
LK-4133	18957.0	896.0	19852.0	49230.0	4828.0	4329.0	241.0	335.0	8978.0	241.0
EC-01P	18761	242	19003	19003	11108	6475	530	411	149	88
LK-3315	18724.0	149.0	18876.0	22092.0	8734.0	6494.0	3377.0	70.0	11.0	31.0
LK-3333	18616.0	147.0	18759.0	21961.0	8676.0	6455.0	3354.0	70.0	6.0	19.0
LK-3309	18593.0	183.0	18770.0	23784.0	8778.0	7056.0	2644.0	69.0	15.0	18.0
LK-6124	18552.0	116.0	18671.0	21492.0	10096.0	7554.0	787.0	69.0	0.0	28.0
LK-3151	18460.0	155.0	18614.0	23451.0	7933.0	9456.0	935.0	77.0	5.0	50.0
LK-6239	18413.0	159.0	18575.0	22391.0	10522.0	7358.0	460.0	56.0	2.0	7.0
LK-9136	18286.0	138.0	18421.0	20645.0	9172.0	8644.0	332.0	88.0	25.0	27.0
