entity_id	valid	rejected	polled	electors	UNP	TULF	IND	SLFP	SLMC	ELJP	MEP	USA	INDI	ACTC	DPLF	IND 1	IND 2	USF	IND1	IND2	USP
LK-3136	40001.0	2734.0	42733.0	59501.0	21514.0			14592.0	88.0	182.0	541.0	3100.0									
EC-12C	39845	5003	44848	56079	1943	24064		505	134							13007	192				
EC-16D	39440	2236	41676	56794	22957			13763	1276	176		1136							11	121	
EC-13B	39393	1429	40822	44453	6163	8303		971	23820									136			
EC-15C	38915	3511	42426	65948	23615			12187		229	177	2707									
EC-04L	38652	2642	41294	54611	23262			13450	1555	97		288									
LK-1324	38505.0	2211.0	40716.0	72354.0	19299.0			12978.0	5255.0	231.0	111.0	645.0									
EC-03G	38502	2214	40716	72355	19298			12976	5250	224	112	642									
EC-07D	38412	3152	41564	64529	18482			15849	205	153	258	3465									
EC-03F	38142	2407	40549	73971	17840			14374	2248	247	122	3311									
LK-1321	38140.0	2412.0	40547.0	73971.0	17838.0			14376.0	2249.0	244.0	127.0	3316.0									
EC-01G	37839	1602	39441	54316	21237			13063	415	217	1407	1500									
LK-1131	37839.0	1601.0	39441.0	54315.0	21238.0			13062.0	414.0	216.0	1408.0	1500.0									
EC-15K	37474	1964	39438	50258	19458			15847		1687	250	232									
EC-15M	37467	2592	40059	51935	22899			12270		1316	128	854									
LK-6160	37467.0	2594.0	40061.0	51932.0	22900.0			12270.0		1315.0	129.0	854.0									
EC-14C	37309	1547	38856	48260	7681	3160		8036	10804		63		7565								
LK-5327	37307.0	1549.0	38856.0	48261.0	7679.0	3160.0		8032.0	10804.0		63.0		7563.0								
LK-2312	37299.0	3009.0	40308.0	50836.0	22465.0			8088.0	548.0			1769.0			4427.0						
EC-16A	36926	2552	39478	56582	22541			10331	3661	147		150							22	74	
EC-15D	36856	2632	39488	59043	25073			10734		610	164	275									
EC-18C	36744	2376	39120	64163	23469			11973		1052		250									
LK-3139	36499.0	1589.0	38089.0	54735.0	17547.0			13523.0	2896.0	1777.0	282.0	469.0									
EC-07H	36498	1587	38085	54738	17547			13523	2899	1779	281	469									
LK-2315	36173.0	2927.0	39099.0	49306.0	21788.0			7844.0	530.0			1721.0			4293.0						
EC-01F	36000	1351	37351	52176	19768			12193	790	184	1724	1341									
LK-1130	36000.0	1353.0	37351.0	52176.0	19769.0			12193.0	790.0	184.0	1725.0	1340.0									
EC-15E	35757	1811	37568	47374	20526			14411		458	124	238									
LK-6136	35756.0	1809.0	37567.0	47374.0	20529.0			14410.0		461.0	119.0	240.0									
LK-1306	35437.0	1725.0	37163.0	48910.0	16844.0			15704.0	1329.0	114.0	250.0	1195.0									
EC-15L	35419	2088	37507	51885	21692			11849		1086	284	508									
EC-13C	35312	1413	36725	43579	6513	11369		2241	15144									45			
EC-22G	35104	2573	37677	48126	24062			6377		305	112	4248									
LK-9221	34874.0	1823.0	36693.0	49325.0	22642.0			4827.0		392.0	144.0	6865.0									
EC-22H	34872	1822	36694	49325	22644			4828		393	142	6865									
EC-04M	34840	2784	37624	53327	22315			10425	1065	114		921									
EC-19A	34837	2341	37178	46406	25158			9120		360	75	124									
EC-04B	34497	2519	37016	92300	21218			10538	2476	108		157									
EC-06C	34442	2457	36899	43844	24140			9890	49			262			101						
LK-2306	34439.0	2459.0	36899.0	43837.0	24141.0			9889.0	18.0			258.0			113.0						
EC-14B	34376	1299	35675	55236	2881	7325		2950	5164		141		15915								
EC-21C	34098	2033	36131	43236	19493			13752		104									71		678
LK-9124	34096.0	2035.0	36130.0	43236.0	19494.0			13753.0		104.0									68.0		679.0
EC-05D	33866	3079	36945	51452	22019			10225		912		710									
EC-22E	33438	2375	35813	54137	20193			9066		3831	113	235									
LK-9206	33436.0	2372.0	35813.0	54138.0	20196.0			9065.0		3831.0	114.0	235.0									
EC-01A	33180	2460	35640	53356	22052			5691	2786	239	732	1680									
EC-06D	33148	2687	35835	43624	20699			11236	97			155			961						
LK-2309	33147.0	2691.0	35832.0	43620.0	20698.0			11242.0	88.0			164.0			963.0						
EC-15B	32769	2539	35308	55823	19342			10653		1315	437	1022									
EC-04G	32335	2025	34360	42178	20917			10307	800	119		192									
LK-2145	32335.0	2026.0	34359.0	42178.0	20917.0			10308.0	803.0	116.0		193.0									
EC-17D	32110	3024	35134	51510	19461		499	11437		329	110	274									
EC-01D	31707	1439	33146	49993	17908			8654	680	363	1620	2482									
LK-1115	31574.0	1587.0	33162.0	43122.0	14908.0			2625.0	111.0	743.0	12855.0	331.0									
EC-08F	31423	1835	33258	62612	16505			11094		705	240	2879									
LK-3242	31420.0	1831.0	33261.0	62610.0	16503.0			11092.0		708.0	239.0	2878.0									
LK-1309	31363.0	1954.0	33318.0	46032.0	17468.0			11967.0	84.0	71.0	570.0	1204.0									
EC-20B	31302	4396	35698	51157	13141		155	16700	195		121	990									
EC-05C	31112	2445	33557	47520	21422			8553		364		773									
EC-17E	30716	3557	34273	65472	14940		404	14522		333	79	438									
EC-01C	30688	1501	32189	47174	17324			8721	1604	254	1040	1745									
EC-07B	30664	2505	33169	48725	15386			12248	58	373	234	2365									
LK-9148	29847.0	1750.0	31599.0	54356.0	17065.0			11812.0		312.0									99.0		563.0
EC-22C	29806	1689	31495	46828	16984			11304		680	153	685									
LK-9212	29802.0	1687.0	31495.0	46832.0	16983.0			11301.0		679.0	155.0	682.0									
EC-15F	29721	1573	31294	47509	16853			11417		1071	108	272									
EC-10J	29687	1649	31336	49068	470	5323			3387				18688	1410	409						
LK-4136	29686.0	1650.0	31335.0	49068.0	471.0	5324.0			3386.0				18687.0	1411.0	408.0						
EC-06B	29349	2439	31788	38688	18712			9175	492			260			710						
LK-2303	29347.0	2441.0	31789.0	38689.0	18711.0			9174.0	490.0			263.0			716.0						
EC-03D	29321	2463	31784	57111	16360			12024	321	156	253	207									
EC-15N	28990	2344	31334	43674	16774			10744		858	82	532									
LK-6163	28985.0	2349.0	31334.0	43666.0	16771.0			10741.0		855.0	90.0	535.0									
EC-03H	28821	2545	31366	69937	16311			11397	158	175	101	679									
EC-07J	28768	1792	30560	60474	14840			12857	55	241	472	303									
EC-14A	28568	1993	30561	47331	11481	2011		11695	1848		77		1456								
LK-9215	28364.0	1525.0	29891.0	47311.0	16934.0			10311.0		392.0	93.0	635.0									
EC-22B	28363	1530	29893	47312	16931			10311		393	91	637									
EC-20C	27896	3896	31792	66645	16136		97	11018	94		226	325									
EC-20A	27882	4002	31884	42671	16362		96	10361	161		87	815									
LK-4133	27733.0	1376.0	29108.0	61624.0	317.0	4214.0			414.0				21122.0	1140.0	534.0						
EC-10I	27732	1375	29107	61624	320	4211			410				21123	1137	531						
LK-4118	27725.0	2956.0	30676.0	56414.0	423.0	6715.0			815.0				17845.0	852.0	1071.0						
EC-10E	27724	2954	30678	56413	421	6717			815				17846	852	1073						
EC-21G	27666	1680	29346	36117	16118			9494		90									55		1909
LK-8130	27609.0	2425.0	30031.0	41337.0	14746.0			10518.0		1833.0	134.0	383.0									
EC-19G	27607	2424	30031	41334	14743			10521		1828	135	380									
EC-05B	27489	2453	29942	40656	19839			7143		157		350									
LK-4109	27445.0	2452.0	29897.0	58166.0	496.0	6047.0			588.0				18523.0	530.0	1254.0						
EC-10D	27444	2453	29897	58166	496	6048			592				18521	535	1252						
EC-03E	27069	2621	29690	68955	13643			12156	436	312	108	414									
EC-17G	26759	2316	29075	40606	14020		765	11670		97	57	150									
LK-9118	26505.0	1850.0	28356.0	34038.0	16189.0			9631.0		79.0									73.0		537.0
EC-10C	26493	2817	29310	60282	388	9073			500				14801	532	1199						
LK-8127	26428.0	3428.0	29855.0	38268.0	15837.0			9736.0		346.0	339.0	170.0									
EC-19F	26426	3429	29855	38268	15835			9739		344	337	171									
EC-10B	26384	3217	29601	58770	470	5827			682				17814	541	1050						
LK-4106	26383.0	3218.0	29602.0	58770.0	472.0	5826.0			680.0				17816.0	543.0	1048.0						
EC-04C	26299	1897	28196	47713	17031			6979	1740	73		476									
EC-04D	26085	2585	28670	36923	16255			9373	84	110		263									
EC-19H	25810	1958	27768	41805	14078			10444		432	363	493									
EC-22F	25702	2191	27893	36713	16302			8682		479	68	171									
LK-9209	25699.0	2190.0	27889.0	36711.0	16298.0			8685.0		481.0	68.0	169.0									
LK-5315	25638.0	971.0	26609.0	41194.0	2151.0	5464.0		2201.0	3851.0		104.0		11868.0								
LK-9142	25380.0	1625.0	27004.0	32996.0	16663.0			8334.0		73.0									67.0		241.0
EC-04A	25327	1298	26625	38747	16777			7686	495	81		288									
EC-04H	25245	1357	26602	46746	14471			8853	1018	129		774									
LK-6130	25031.0	1785.0	26822.0	40100.0	17021.0			7285.0		410.0	110.0	186.0									
EC-22I	24816	1999	26815	43230	15959			7421		202	133	1101									
LK-6245	24729.0	1414.0	26146.0	34104.0	16655.0			7313.0	64.0	64.0		568.0							1.0	58.0	
LK-8124	24713.0	2227.0	26943.0	34669.0	14238.0			8454.0		674.0	220.0	1119.0									
EC-19E	24712	2228	26940	34666	14240			8454		673	223	1122									
LK-6172	24683.0	1444.0	26133.0	36088.0	14353.0			9114.0		854.0	108.0	262.0									
EC-09D	24500	2589	27089	94234	13406			9273	105			1492			224						
LK-3145	24459.0	1130.0	25581.0	34247.0	11911.0			11911.0	97.0	275.0	97.0	176.0									
EC-07A	24184	2191	26375	40345	13052			4130	188	197	142	6475									
LK-3106	24180.0	2192.0	26375.0	40346.0	13049.0			4131.0	186.0	192.0	141.0	6472.0									
LK-6184	24062.0	1471.0	25528.0	33456.0	14993.0			7747.0		526.0	96.0	696.0									
LK-2142	24025.0	1643.0	25667.0	33944.0	14461.0			8359.0	966.0	63.0		179.0									
EC-17A	23635	1505	25140	46968	15324		556	7228		228	116	183									
EC-19C	23520	2079	25599	31156	13791			8475		559	112	583									
EC-01E	23042	949	23991	36820	15265			4100	1259	247	669	1502									
LK-6142	22880.0	866.0	23747.0	29667.0	12243.0			10081.0		390.0	57.0	115.0									
LK-6248	22657.0	1300.0	23953.0	31243.0	15259.0			6698.0	61.0	62.0		522.0							0.0	55.0	
EC-10A	22597	2577	25174	49401	354	3706			466				17108	391	572						
LK-3133	22192.0	1814.0	24004.0	35260.0	11136.0			8861.0	43.0	270.0	173.0	1711.0									
LK-2218	22159.0	1747.0	23900.0	33846.0	15258.0			6096.0		263.0		550.0									
LK-7139	22139.0	2085.0	24226.0	35513.0	13421.0		344.0	7885.0		227.0	74.0	190.0									
LK-3112	21672.0	1779.0	23453.0	36416.0	10430.0			8943.0	116.0	82.0	144.0	1957.0									
EC-19B	21651	2248	23899	30170	12581			8067		244	86	673									
LK-6242	21649.0	1227.0	22876.0	31172.0	12601.0			7553.0	699.0	97.0		626.0							0.0	68.0	
EC-22D	21409	1361	22770	42695	13525			6803		633	86	362									
LK-9203	21408.0	1360.0	22768.0	42690.0	13526.0			6805.0		637.0	93.0	364.0									
LK-6181	21269.0	1304.0	22568.0	29571.0	13250.0			6843.0		468.0	85.0	613.0									
EC-10K	20922	3603	24525	53421	1522	8850			669				8576	565	740						
LK-45	20922	3603	24525	53421	1522	8850			669				8576	565	740						
EC-07C	20799	1777	22576	47426	9516			10402	134	271	66	410									
LK-8103	20725.0	1395.0	22114.0	27601.0	14964.0			5425.0		214.0	40.0	73.0									
EC-04J	20620	1062	21682	50598	11064			8661	500	61		334									
LK-8121	20620.0	1361.0	21979.0	30982.0	10877.0			7153.0		714.0	171.0	1703.0									
EC-19D	20619	1360	21979	30982	10874			7154		716	171	1704									
LK-2136	20618.0	1063.0	21680.0	50601.0	11063.0			8664.0	497.0	64.0		335.0									
LK-6145	20442.0	1081.0	21533.0	32678.0	11589.0			7854.0		735.0	77.0	189.0									
LK-2112	20289.0	1461.0	21753.0	36804.0	13139.0			5386.0	1339.0	61.0		368.0									
LK-3127	20160.0	1162.0	21323.0	27633.0	10207.0			9580.0	50.0	77.0	51.0	198.0									
EC-11B	20123	1827	21950	53733	5423	8750	2479	1398	2073												
LK-43	20123	1827	21950	53733	5423	8750	2479	1398	2073												
LK-9103	20071.0	1291.0	21367.0	26733.0	11568.0			3818.0		106.0									43.0		4548.0
LK-5203	20055.0	1226.0	21283.0	27752.0	11236.0	38.0		8543.0	56.0									181.0			
LK-9227	19823.0	1454.0	21275.0	27178.0	13588.0			3600.0		171.0	63.0	2399.0									
EC-19I	19763	1509	21272	30052	11495			7444		398	93	333									
LK-6106	19674.0	1737.0	21411.0	29606.0	10012.0			8329.0		573.0	150.0	605.0									
EC-18A	19483	1866	21349	49700	10576			7431		711		765									
LK-5212	19441.0	1185.0	20624.0	26900.0	10891.0	29.0		8281.0	58.0									173.0			
LK-9115	19326.0	1350.0	20678.0	24822.0	11801.0			7026.0		57.0									55.0		394.0
LK-2233	19299.0	1750.0	21051.0	29318.0	12551.0			5824.0		520.0		407.0									
EC-01P	19198	507	19705	20589	9916			6067	56	178	1972	1009									
LK-6175	19173.0	725.0	19896.0	24854.0	10254.0			8447.0		327.0	49.0	98.0									
LK-1312	19139.0	1610.0	20744.0	37277.0	10682.0			7848.0	210.0	99.0	164.0	134.0									
LK-6127	18932.0	1700.0	20646.0	32083.0	11484.0			5931.0		109.0	95.0	1312.0									
EC-17B	18540	1121	19661	42195	10563		464	7275		67	37	134									
LK-9136	18412.0	966.0	19382.0	22735.0	10587.0			7429.0		39.0									39.0		310.0
LK-2206	18291.0	1610.0	19900.0	30163.0	9831.0			7902.0		373.0		186.0									
LK-2121	18193.0	1801.0	19997.0	25750.0	11339.0			6537.0	58.0	77.0		184.0									
LK-1118	18106.0	914.0	19017.0	24729.0	8551.0			1508.0	62.0	426.0	7371.0	188.0									
EC-17C	18082	1309	19391	49059	10763		140	6552		201	50	376									
EC-02P	18077	409	18486	19073	9936			7130		224		787									
LK-6187	17989.0	941.0	18930.0	24133.0	9343.0			7609.0		806.0	123.0	112.0									
LK-3115	17977.0	1086.0	19061.0	23681.0	9356.0			8301.0	34.0	59.0	107.0	113.0									
LK-5218	17945.0	652.0	18593.0	20244.0	2809.0	3779.0		444.0	10854.0									61.0			
EC-08G	17816	1237	19053	69515	9141			7508		151	754	262									
LK-6239	17794.0	1011.0	18802.0	25622.0	10352.0			6209.0	574.0	81.0		510.0							0.0	58.0	
LK-2203	17720.0	1554.0	19278.0	29220.0	9522.0			7655.0		358.0		184.0									
LK-6224	17468.0	1064.0	18533.0	25447.0	11142.0			5789.0	172.0	121.0		192.0							0.0	43.0	
LK-9133	17270.0	1049.0	18316.0	22544.0	10063.0			5925.0		54.0									36.0		1192.0
LK-6169	17263.0	1009.0	18271.0	25231.0	10035.0			6371.0		595.0	74.0	177.0									
LK-9106	17126.0	1099.0	18230.0	22812.0	9869.0			3257.0		88.0									35.0		3877.0
LK-6203	17123.0	1185.0	18307.0	26240.0	10451.0			4790.0	1696.0	71.0		72.0							5.0	34.0	
LK-6154	17061.0	1002.0	18066.0	24991.0	10447.0			5712.0		523.0	135.0	240.0									
LK-4115	17021.0	1809.0	18828.0	38723.0	249.0	5825.0			320.0				9508.0	341.0	769.0						
LK-5233	16976.0	860.0	17836.0	20050.0	2799.0	5695.0		3173.0	5275.0									37.0			
LK-1318	16930.0	823.0	17750.0	23360.0	8049.0			7500.0	635.0	53.0	117.0	570.0									
LK-3103	16735.0	1374.0	18109.0	28113.0	8054.0			6907.0	90.0	64.0	112.0	1509.0									
LK-3154	16733.0	1045.0	17774.0	35172.0	8631.0			7477.0	29.0	143.0	275.0	176.0									
EC-10H	16659	3254	19913	51374	339	6350			553				7851	985	581						
LK-4130	16655.0	3255.0	19912.0	51376.0	342.0	6351.0			555.0				7852.0	983.0	582.0						
LK-3118	16479.0	994.0	17473.0	21705.0	8576.0			7611.0	33.0	55.0	96.0	103.0									
LK-6215	16341.0	1130.0	17470.0	25039.0	9976.0			4572.0	1619.0	64.0		66.0							7.0	32.0	
LK-9230	15864.0	1283.0	17142.0	27640.0	10204.0			4745.0		127.0	91.0	700.0									
LK-3142	15826.0	732.0	16560.0	22162.0	7707.0			7707.0	63.0	175.0	63.0	110.0									
LK-5121	15740.0	994.0	16736.0	21952.0	1590.0	3807.0		701.0	4690.0							4750.0	200.0				
LK-5242	15654.0	795.0	16448.0	18486.0	2579.0	5250.0		2925.0	4859.0									35.0			
LK-7215	15464.0	1000.0	16468.0	27006.0	9877.0			5037.0		443.0		103.0									
LK-2151	15447.0	1233.0	16674.0	23640.0	9892.0			4621.0	471.0	50.0		405.0									
EC-04I	15375	768	16143	28267	9513			3911	1263	132		556									
LK-9224	15280.0	1120.0	16398.0	20950.0	10471.0			2775.0		132.0	48.0	1850.0									
LK-8133	15270.0	1159.0	16432.0	24741.0	8335.0			6179.0		254.0	215.0	291.0									
LK-2139	15205.0	1047.0	16247.0	48916.0	9020.0			3345.0	2686.0	26.0		124.0									
EC-04K	15204	1048	16252	48915	9012			3352	2682	52		106									
LK-1330	15147.0	1467.0	16614.0	38591.0	7634.0			6804.0	246.0	172.0	65.0	232.0									
EC-11A	14981	1301	16282	46990	2507	5492	2472	91	4419												
LK-42	14981	1301	16282	46990	2507	5492	2472	91	4419												
LK-7212	14947.0	965.0	15911.0	26097.0	9547.0			4872.0		429.0		102.0									
LK-1310	14913.0	929.0	15840.0	21884.0	8306.0			5692.0	41.0	34.0	271.0	571.0									
EC-04F	14896	1225	16121	47758	9594			4206	685	116		295									
LK-2127	14895.0	1225.0	16125.0	47758.0	9597.0			4213.0	684.0	116.0		292.0									
LK-2148	14627.0	1001.0	15623.0	20666.0	8802.0			5089.0	590.0	37.0		110.0									
LK-5215	14610.0	894.0	15499.0	20213.0	8183.0	27.0		6221.0	40.0									133.0			
LK-2230	14568.0	1323.0	15894.0	22131.0	9471.0			4398.0		393.0		305.0									
LK-7154	14562.0	1262.0	15828.0	22104.0	7634.0		419.0	6356.0		57.0	32.0	83.0									
LK-2133	14525.0	1061.0	15581.0	38852.0	8936.0			4436.0	1044.0	40.0		74.0									
