entity_id	valid	rejected	polled	electors	ITAK	UNP	UPFA	SLMC	JVP	EPDP	AITC	TULF	PP	EDF	MJP	DUA	AITM	UPF	JSP	SLMP	UPP	FSP	IG0	IG1	ONF	DP	IG3	NSU	IG2	BJP	SLNF	OWORS	SEP	USP	ELPP	SLLP	ACMC	NSSP	TLP	SLVP	DNM	CWC	MNA
EC-10	296199	25496	325805	544709	207577	20025	17309		247	30232	15022	1515		1277			383		250	246		127	1509					35					142	303									
EC-05	277193	21537	298917	398098		138241	126315		10947								109		26	281	179	141	92			375		13		402		24			37	11							
LK-22	277193	21537	298917	398098		138241	126315		10947								109		26	281	179	141	92			375		13		402		24			37	11							
EC-20	262988	9291	272279	357353		110372	138136		13626										29		137	211	127			227		31			14	78											
LK-82	262988	9291	272279	357353		110372	138136		13626										29		137	211	127			227		31			14	78											
EC-18	236279	8654	245116	322285		118845	103172		13497						28		93					404	80							160													
LK-72	236279	8654	245116	322285		118845	103172		13497						28		93					404	80							160													
EC-12	235042	13551	252397	374711	127185	32359	32232	38477	81	311	865	959		790			401		18		46	43	305	126	341	424	40	26	13														
LK-51	235042	13551	252397	374711	127185	32359	32232	38477	81	311	865	959		790			401		18		46	43	305	126	341	424	40	26	13														
LK-41	232132	20535	256378	450146	159335	16907	15433		157	22582	13092	1124		919			315		218	208		97	1347					25					116	257									
EC-06A	213259	18101	231597	302836		131952	75267		2011				1891	305					42		257	29	80			603		20		149		21	44		28								
EC-14	180065	10542	190938	267677	45894	83638	38463		2556	581	1144	380					211	17	24		88	243	6520			279		9			18												
LK-53	180065	10542	190938	267677	45894	83638	38463		2556	581	1144	380					211	17	24		88	243	6520			279		9			18												
EC-11	164053	17155	181930	267057	89886	39513	20965	5716	876	2120	1174	596	2022	501	42	98	226	9	43	99	13	27	72	55																			
LK-1103	157495.0	9385.0	167061.0	221256.0		130539.0	21745.0		3758.0			251.0			0.0		37.0	2.0	24.0		111.0	26.0	190.0	25.0	37.0	331.0		0.0		113.0	0.0		0.0	142.0	1.0			123.0	2.0	0.0			
EC-01J	131389	3536	135029	173355		56154	62136		11971			16			2		6	19	52		41	46	3	11	63	564		4		199	1		9	31	20			10	1	6			
LK-1109	131386.0	3534.0	135028.0	173357.0		56154.0	62137.0		11974.0			3.0			0.0		0.0	8.0	54.0		41.0	47.0	16.0	0.0	64.0	564.0		0.0		195.0	0.0		0.0	32.0	8.0			0.0	0.0	0.0			
EC-01L	130689	4026	134766	174909		52336	66450		10719			1			13		7	27	24		31	41	3	15	71	678		5		207	3		10	20	8			10	1	5			
LK-1112	130689.0	4022.0	134763.0	174907.0		52336.0	66450.0		10717.0			0.0			0.0		0.0	9.0	3.0		16.0	40.0	0.0	0.0	74.0	680.0		0.0		211.0	0.0		0.0	3.0	0.0			0.0	0.0	0.0			
EC-01N	127183	3452	130692	164774		49637	65243		11193			7			4		3	12	24		19	59	5	7	71	580		5		224	1		19	31	15			8	1	6			
LK-1136	127182.0	3451.0	130689.0	164772.0		49634.0	65245.0		11194.0			0.0			0.0		0.0	0.0	9.0		2.0	59.0	0.0	0.0	73.0	584.0		0.0		223.0	0.0		2.0	24.0	0.0			0.0	0.0	0.0			
EC-09D	124589	3494	128132	163818		48184	63950		12031										22		39	91	5		63	36		6		73		14			7								
LK-1127	119171.0	5183.0	124512.0	167661.0		82478.0	28964.0		6115.0			232.0			3.0		15.0	7.0	42.0		56.0	34.0	129.0	17.0	28.0	594.0		0.0		306.0	0.0		18.0	61.0	7.0			49.0	0.0	0.0			
EC-13A	114762	6963	121766	161999	33	49751	60506		4029	102	4							12	8		61	118	1	15		34		3		38							42						
EC-12B	113190	5525	120384	172499	56876	6179	20258	27869	54	188	166	539		296			215		7		11	28	32	53	164	158	18	13	2														
EC-04B	112564	5126	117748	157463		63853	42799		4459						6			21	61		68	100	10			463		19		455	6	6		50	13							43	5
EC-20C	111894	3405	115299	149116		43677	61527		6378										16		45	101	13			51		14			3	38											
EC-02J	109390	4646	114112	149453		45446	54362		8603						2			7	9		31	104	2	8		603				194		10						5					
LK-1233	109388.0	4645.0	114108.0	149453.0		45447.0	54361.0		8600.0						0.0			0.0	0.0		15.0	105.0	0.0	0.0		596.0				198.0		0.0						0.0					
LK-2312	108257.0	9186.0	117564.0	153728.0		66981.0	38206.0		1021.0				959.0	156.0					3.0		129.0	1.0	328.0			310.0		0.0		72.0		0.0	3.0		1.0								
LK-1224	106987.0	4459.0	111574.0	147282.0		42586.0	53899.0		9753.0						0.0			0.0	1.0		7.0	112.0	0.0	0.0		358.0				153.0		0.0						3.0					
EC-02H	106979	4457	111569	147280		42585	53901		9754						1			5	19		30	111	7	8		356				154		12						28					
EC-18C	106109	4017	110227	146225		56387	43900		5502						10		36					181	16							51													
LK-2315	105000.0	8912.0	114032.0	149110.0		64967.0	37061.0		992.0				932.0	156.0					16.0		126.0	3.0	308.0			295.0		0.0		70.0		1.0	18.0		2.0								
EC-02I	103842	4283	108301	143843		51807	43051		8333						5			8	17		34	24	3	13		419				104		6						14					
LK-1221	103841.0	4282.0	108300.0	143840.0		51804.0	43052.0		8329.0						0.0			0.0	2.0		36.0	12.0	0.0	1.0		418.0				104.0		0.0						1.0					
EC-02C	103167	5522	108802	143885		50393	45582		6662						5			5	17		31	41	2	9		297				102		8						8					
LK-1206	103165.0	5518.0	108806.0	143884.0		50392.0	45581.0		6667.0						0.0			0.0	2.0		15.0	31.0	0.0	0.0		293.0				103.0		0.0						0.0					
EC-21H	102884	3125	106047	140748		39090	56515		6762										10		76	69	8		62	160		6		86	1	14				7		5					
EC-03B	102681	2734	105433	133887		42069	53314		6180						2				12		32	130	18		61	340				455	2	10		27	0	1		4			1		
LK-1121	98486.0	2494.0	101042.0	129802.0		41375.0	47046.0		9001.0			0.0			0.0		0.0	0.0	33.0		22.0	72.0	6.0	0.0	44.0	582.0		0.0		211.0	0.0		22.0	0.0	0.0			0.0	0.0	6.0			
EC-01M	98483	2492	101040	129801		41374	47049		9001			6			3		3	6	31		21	72	2	7	42	584		3		207	2		21	10	1			9	0	15			
LK-1215	97237.0	4668.0	102008.0	132983.0		43371.0	45898.0		7398.0						0.0			0.0	0.0		0.0	6.0	0.0	0.0		293.0				145.0		0.0						1.0					
EC-02F	97236	4667	102001	132981		43373	45898		7400						2			6	10		22	37	3	7		291				146		8						29					
LK-1227	94860.0	4887.0	99889.0	133017.0		42375.0	44921.0		6979.0						0.0			0.0	0.0		1.0	6.0	0.0	0.0		330.0				148.0		0.0						0.0					
EC-02G	94856	4880	99885	133023		42371	44926		6973						1			10	5		30	39	1	10		327				132		11						13					
EC-13D	94715	5837	100686	152147	25147	43533	15575		407	86	193							85	5		42	19	8	14		58		3		6							9517						
EC-01B	94381	5332	99809	131482		79968	11489		2109			86			1		21	4	25		63	9	13	11	19	209		0		68	1		4	78	7			105	2	0			
EC-03C	92181	2760	94960	122511		36325	50024		5037						4				9		52	72	26		51	166				290	4	26		33	12	1		11			1		
EC-21B	92031	2677	94725	121108		40943	47596		3111										7		70	27	5		57	94		8		75	7	10				4		7					
LK-9112	92029.0	2675.0	94725.0	121108.0		40942.0	47597.0		3111.0										0.0		75.0	24.0	1.0		56.0	96.0		0.0		76.0	0.0	1.0				0.0		0.0					
LK-1239	91564.0	3737.0	95356.0	121700.0		41233.0	42758.0		6740.0						0.0			0.0	4.0		41.0	77.0	0.0	0.0		444.0				213.0		0.0						0.0					
EC-02L	91562	3737	95356	121702		41232	42759		6742						5			3	16		38	82	2	11		444				212		6						7					
EC-01H	91485	3283	94859	120617		49196	35300		6159			58			3		9	10	30		31	26	5	15	30	293		3		229	0		7	39	7			8	1	4			
LK-1106	91483.0	3277.0	94857.0	120616.0		49198.0	35302.0		6158.0			60.0			0.0		0.0	1.0	32.0		33.0	24.0	17.0	6.0	32.0	296.0		0.0		230.0	0.0		0.0	42.0	0.0			0.0	0.0	0.0			
EC-09C	90756	2430	93224	120148		28700	50697		10842										29		30	86	7		42	49		7		225		9			10								
LK-1133	89977.0	2990.0	93030.0	115220.0		43662.0	40139.0		5386.0			40.0			0.0		0.0	4.0	7.0		15.0	7.0	0.0	0.0	43.0	417.0		0.0		138.0	0.0		6.0	14.0	0.0			9.0	0.0	0.0			
EC-01O	89976	2990	93031	115219		43665	40142		5384			36			5		3	15	17		20	17	3	4	39	420		5		134	1		16	19	6			18	1	2			
EC-05A	89957	6671	96686	131831		40378	45550		3562								27		7	106	49	72	5			88		2		62		14			14	2							
EC-02E	87554	3997	91662	124679		39794	41014		6255						7			5	32		38	25	3	9		248				106		6						4					
LK-1212	87552.0	3994.0	91665.0	124683.0		39792.0	41014.0		6253.0						0.0			0.0	2.0		6.0	0.0	0.0	0.0		247.0				117.0		0.0						0.0					
EC-03A	87523	2232	89773	114828		39190	40809		6253						3				11		33	101	3		35	477				520	4	9		37	3	1		10			1		
LK-1303	87523.0	2234.0	89766.0	114832.0		39192.0	40813.0		6258.0						0.0				0.0		27.0	100.0	7.0		29.0	480.0				519.0	0.0	0.0		38.0	0.0	0.0		0.0			0.0		
EC-02A	87427	4392	91910	120471		51011	30743		5141						1			7	6		41	55	3	10		315				77		2						10					
LK-1218	87425.0	4393.0	91910.0	120479.0		51017.0	30741.0		5143.0						0.0			0.0	0.0		43.0	57.0	0.0	2.0		317.0				76.0		0.0						2.0					
LK-1324	87326.0	2782.0	90123.0	117032.0		47988.0	33144.0		3666.0						4.0				0.0		9.0	93.0	23.0		29.0	107.0				2113.0	0.0	0.0		47.0	0.0	0.0		0.0			0.0		
EC-03G	87323	2782	90122	117033		47987	33142		3670						20				10		26	85	7		40	102				2119	2	8		52	7	1		7			2		
LK-1321	87294.0	2422.0	89727.0	117939.0		39529.0	40835.0		5773.0						0.0				0.0		18.0	113.0	3.0		40.0	215.0				656.0	0.0	0.0		10.0	0.0	0.0		0.0			0.0		
EC-03F	87290	2425	89730	117931		39525	40837		5775						4				7		33	110	8		44	217				652	4	10		30	4	1		2			3		
EC-01K	86860	4044	90952	117472		39106	42895		4346			28			2		5	11	12		28	56	3	9	50	172		1		86	2		5	22	3			10	1	2			
LK-2130	86394.0	2325.0	88759.0	121169.0		50698.0	30145.0		4708.0						0.0			0.0	1.0		46.0	25.0	28.0			288.0		0.0		314.0	0.0	3.0		11.0	0.0							59.0	0.0
EC-17E	85639	5485	91177	125162		35318	45236		4623									9	6		51	52	6	17		218		3		53	4												
EC-02K	85490	3717	89256	115356		35390	44925		4557						3			7	11		32	30	0	12		317				103		93						4					
LK-1230	85486.0	3716.0	89256.0	115354.0		35387.0	44925.0		4552.0						0.0			0.0	0.0		4.0	3.0	0.0	0.0		317.0				117.0		103.0						0.0					
EC-03E	78905	2978	81905	108996		35267	38114		4087						3				7		35	78	5		35	159				953	3	10		73	8	1		19			4		
EC-02D	78454	3707	82203	108529		35725	38471		3951						0			4	7		21	49	4	10		120				76		5						7					
LK-1209	78453.0	3705.0	82201.0	108525.0		35725.0	38467.0		3955.0						0.0			0.0	0.0		0.0	27.0	0.0	0.0		128.0				78.0		0.0						0.0					
EC-21D	77791	3940	81771	106575		38039	37015		2307										1		60	37	14		50	167		2		51	3	9				3		0					
EC-15C	77782	4431	82272	113858		32483	41149		3882										10		40	12	4	7	28	82		3		41	4								1				
EC-21E	76876	3323	80219	102618		39172	35587		1838										8		69	28	10		49	48		3		40	1	10				0		2					
LK-9148	76714.0	2328.0	79074.0	104950.0		29148.0	42143.0		5042.0										0.0		55.0	53.0	0.0		48.0	122.0		0.0		62.0	0.0	0.0				0.0		0.0					
EC-07E	76697	2094	78800	100757		33999	39237		3020						3				8		47	109	12		40	67		4		80								11	7		3		
EC-16C	76647	4710	81433	118171		38482	34701		3077								23		7		44	52	0	47		158		1		46	1	6											
EC-20B	75958	3181	79139	107678		32972	39432		3278										8		52	26	12			106		5			5	28											
EC-09A	75164	2314	77505	100711		26429	42503		5854										33		29	41	4		46	132		3		46		9			4								
EC-21F	75012	2851	77886	96156		33353	40125		1305										3		51	15	5		40	40		2		35	3	4				1		1					
EC-16B	73902	5300	79284	112978		28886	42432		2159								31		11		40	60	4	61		159		3		43	5	4											
EC-03H	73492	2691	76219	100040		31731	38125		2860						2				6		29	81	7		44	109				388	3	6		31	4	3		25			3		
EC-04L	73264	4204	77505	102219		42657	27025		1583						2			8	4		57	21	7			154		3		189	4	11		54	9							1399	5
EC-15I	72896	2901	75818	100474		37037	32951		2299										4		22	72	5	4	41	418		3		24	4								2				
EC-15A	72004	3696	75736	103488		29324	39539		2903										3		28	6	0	6	39	117		0		27	3								0				
LK-1203	71697.0	4190.0	75965.0	106214.0		48516.0	18930.0		3901.0						0.0			0.0	0.0		40.0	39.0	0.0	2.0		222.0				5.0		0.0						0.0					
EC-02B	71695	4191	75962	106213		48517	18928		3902						3			3	5		37	35	1	11		221				14		6						9					
EC-21A	71692	2272	73989	96170		31211	38162		2057										9		40	26	2		42	51		2		56	2	8				1		15					
EC-08A	70954	2702	73776	97610		30024	36532		4070										21		70	55	22		39	31		5			4				24	5			3				
EC-15H	70816	3043	73888	94505		31465	36543		2559										4		24	13	9	9	25	112		2		29	1								3				
LK-6178	70815.0	3045.0	73885.0	94503.0		31470.0	36546.0		2561.0										0.0		1.0	0.0	0.0	0.0	1.0	112.0		0.0		7.0	0.0								0.0				
EC-07F	70397	2065	72471	95641		30029	36425		3406						7				21		42	86	14		54	120		4		110								25	2		4		
EC-17D	70110	4593	74757	102691		30873	35082		3542									4	3		42	16	2	41		392		1		39	4												
LK-1306	69492.0	1851.0	71353.0	90607.0		28470.0	36079.0		4185.0						0.0				0.0		10.0	91.0	2.0		41.0	232.0				306.0	0.0	0.0		6.0	0.0	0.0		0.0			0.0		
EC-19A	69427	2707	72202	95715		34447	31159		3622						2						74	31	1			36				37												2	
EC-15J	69170	2260	71462	94560		30671	34939		3236										7		26	8	7	10	17	145		7		59	1								2				
EC-07I	68645	1484	70136	94175		28902	33819		5330						19				7		30	91	10		25	262		1		112								2	3		4		
EC-17C	68276	3224	71533	97576		28944	32314		6497									6	8		33	43	6	25		173		8		88	6												
EC-04F	68134	2695	70865	94870		37355	26637		3250						2			7	18		24	24	2			279		0		197	2	68		31	6							189	2
LK-2127	68133.0	2697.0	70865.0	94868.0		37358.0	26644.0		3248.0						0.0			0.0	4.0		8.0	8.0	26.0			276.0		0.0		196.0	0.0	75.0		16.0	0.0							186.0	0.0
EC-08G	67561	1634	69340	93450		28075	35044		4105										8		30	24	11		41	155		3			3				9	0			3				
EC-15D	67169	3835	71048	97886		31258	32076		2711										8		34	9	3	4	13	937		8		88	2								0				
EC-04M	67014	5101	72200	95567		37611	25672		2157						2			12	5		73	18	5			469		7		120	5	5		58	9							719	2
EC-16E	67012	3703	70743	106183		32421	31033		3014								16		1		22	76	5	33		332		2		46	1	2											
EC-08C	66953	1796	70466	93769		25643	35582		5358										16		25	29	24		41	59		8			4				22	4			8				
EC-08B	66499	2205	68745	91791		21637	40128		3936										23		36	49	9		54	26		3			2				33	2			3				
LK-5112	66428.0	3246.0	70648.0	101237.0	33379.0	3628.0	11886.0	16355.0	34.0	112.0	99.0	317.0		174.0			126.0		0.0		0.0	12.0	53.0	34.0	97.0	93.0	3.0	1.0	0.0														
EC-11B	65829	6423	72669	109705	31836	14380	14402	629	701	748	699	462	1417	234	32	43	105	1	13	51	5	19	7	24																			
LK-43	65829	6423	72669	109705	31836	14380	14402	629	701	748	699	462	1417	234	32	43	105	1	13	51	5	19	28	24																			
EC-02M	65718	3024	68782	90122		31501	28323		5206						4			1	22		21	31	1	5		427				169		6						0					
LK-1236	65718.0	3022.0	68781.0	90121.0		31499.0	28324.0		5205.0						0.0			0.0	27.0		25.0	34.0	0.0	0.0		428.0				169.0		0.0						0.0					
EC-08F	65365	1240	66716	86984		30832	28364		5910										8		37	18	7		23	84		3			8				40	3			1				
LK-3242	65364.0	1240.0	66716.0	86981.0		30838.0	28364.0		5910.0										0.0		37.0	2.0	19.0		13.0	85.0		0.0			0.0				39.0	0.0			0.0				
EC-07D	65036	1664	66708	89500		26559	34275		3351						5				2		42	195	11		25	113		3		412								1	3		3		
EC-15L	64832	2804	67669	89332		33086	27644		3738										10		25	7	4	7	22	155		6		108	1								14				
EC-15B	64825	3973	68836	94910		28849	33344		2337										9		24	18	7	9	21	149		6		27	1								8				
EC-15P	64796	1515	66325	66325		30917	28634		4731										7		11	22	4	0	12	360		1		87	3								1				
EC-15M	64371	3563	67965	90682		32160	28870		2927										17		40	17	3	8	25	155		5		130	1								5				
LK-6160	64366.0	3560.0	67967.0	90682.0		32161.0	28871.0		2928.0										2.0		39.0	2.0	0.0	0.0	14.0	152.0		0.0		130.0	0.0								0.0				
LK-9218	64332.0	2220.0	66569.0	87796.0		30496.0	30512.0		2766.0						0.0				0.0		5.0	43.0	14.0		10.0	136.0		0.0		98.0				43.0								141.0	
EC-22A	64331	2218	66567	87800		30495	30511		2765						1				5		21	47	5		25	138		6		93				47								144	
EC-21C	64198	2799	67020	83934		32747	29864		1303										5		57	11	7		39	104		7		28	1	1				2		10					
LK-9124	64197.0	2800.0	67019.0	83931.0		32746.0	29866.0		1301.0										0.0		58.0	1.0	2.0		40.0	104.0		0.0		31.0	0.0	0.0				0.0		1.0					
EC-12A	64126	4234	69348	105056	28718	17142	7990	9093	5	37	188	114		244			120		4		23	7	16	42	83	239	16	5	9														
EC-16A	63979	6290	79597	125702		48466	14058		915								16		6		73	21	7	86		37		3		271	3	6											
LK-9206	63599.0	2344.0	65967.0	90628.0		37909.0	22446.0		2278.0						0.0				0.0		19.0	29.0	22.0		30.0	99.0		0.0		622.0				82.0								0.0	
EC-22E	63598	2348	65968	90627		37910	22446		2282						1				4		30	36	1		37	98		7		623				84								8	
EC-15G	63351	3110	66487	88306		29391	32330		1459										6		25	27	4	11	17	46		0		15	0								1				
EC-01A	63114	4055	67248	89771		50571	10256		1647			162			2		17	4	3		49	23	5	18	17	121		2		45	0		2	64	2			18	4	1			
EC-05D	63069	6014	69124	93296		35313	24872		2419								32		8	59	60	17	9			96		4		144		5			7	3							
LK-1309	62477.0	1872.0	64358.0	83035.0		24621.0	33907.0		3415.0						0.0				0.0		38.0	53.0	15.0		37.0	116.0				197.0	0.0	2.0		12.0	0.0	0.0		0.0			0.0		
EC-14C	61755	3652	65662	95804	10555	40130	5033		94	125	260	57					41	2	0		36	14	19			205		4			3												
LK-5327	61755.0	3653.0	65662.0	95803.0	10554.0	40130.0	5032.0		94.0	125.0	262.0	57.0					42.0	0.0	0.0		39.0	6.0	5194.0			206.0		0.0			0.0												
EC-03D	60486	2340	62853	82123		26254	31612		2052						2				5		32	55	3		35	121				219	5	15		35	2	2		6			3		
EC-19H	60237	2924	63231	83147		33115	22618		2642						5						46	34	8			49				53												1650	
EC-04C	59755	3406	63195	85375		35619	20822		1779						2			1	12		48	24	10			196		5		168	5	13		29	7							944	6
LK-2139	59319.0	2363.0	61721.0	82297.0		35579.0	20806.0		2308.0						0.0			0.0	0.0		11.0	19.0	19.0			145.0		0.0		268.0	0.0	0.0		0.0	0.0							0.0	0.0
EC-04K	59313	2365	61722	82298		35580	20808		2307						2			4	17		39	47	5			148		1		265	1	7		24	3							7	0
EC-18A	59243	2274	61553	83395		25748	29090		4175						1		21					144	8							44													
EC-07H	58667	1133	59804	79685		33798	19613		4777						10				10		25	78	4		15	141		3		139								7	3		0		
LK-3139	58667.0	1130.0	59807.0	79684.0		33798.0	19614.0		4775.0						1.0				1.0		21.0	79.0	43.0		6.0	142.0		0.0		140.0								0.0	0.0		0.0		
EC-08D	58364	1427	59877	81524		20356	33643		3904										11		20	35	13		29	34		2			1				9	1			0				
EC-09B	58264	1533	59825	78234		21165	31389		5399										13		28	56	4		26	104		5		46		5			6								
EC-07J	57965	1312	59284	80778		22194	32017		3282						1				3		24	206	14		30	77		0		70								11	3		2		
EC-04H	57845	1604	59474	81149		32354	21775		3211						2			2	6		31	21	1			167		1		194	3	10		12	4							24	1
EC-20A	57843	2442	60285	83003		25220	29867		2557										4		36	77	12			28		9			6	5											
EC-04J	57653	2067	59753	80420		29310	24986		2823						0			3	4		22	25	1			193		4		183	11	4		21	1							11	0
LK-2136	57653.0	2066.0	59749.0	80419.0		29307.0	24984.0		2818.0						0.0			0.0	0.0		1.0	5.0	49.0			190.0		0.0		184.0	0.0	0.0		1.0	0.0							0.0	0.0
EC-05C	57090	4043	61180	84225		33056	21255		2389								17		3	64	29	23	2			106		7		110		2			6	5							
EC-16D	56820	2897	59748	89975		27427	26714		2393								13		3		16	26	0	32		167		2		17	1	5											
EC-14B	56677	3755	60469	86978	27612	17674	8211		599	350	783	273					149	5	12		27	42	17			15		4			8												
EC-06D	56467	5539	62047	82193		30753	24387		664				98	122					43		62	15	11			247		4		34		1	2		1								
LK-2309	56466.0	5541.0	62054.0	82191.0		30754.0	24385.0		663.0				90.0	124.0					19.0		43.0	1.0	12.0			242.0		0.0		16.0		0.0	0.0		0.0								
EC-18B	56216	1919	58176	77505		28256	25151		2647						13		33					57	5							44													
EC-17G	56077	3888	60000	83431		27163	26372		2359									3	1		30	13	4	9		73		2		17	5												
EC-01I	55796	1457	57300	74934		30247	20797		4075			8			5		5	5	25		21	16	20	7	23	327		2		147	1		2	20	2			11	2	3			
LK-1124	55794.0	1458.0	57301.0	74931.0		30248.0	20798.0		4076.0			4.0			1.0		1.0	1.0	25.0		21.0	18.0	46.0	1.0	23.0	326.0		0.0		147.0	0.0		0.0	21.0	0.0			12.0	0.0	0.0			
EC-08E	55653	1365	57106	78690		21187	29565		4711										3		17	20	7		23	68		4			1				24	2			1				
LK-1115	55201.0	2569.0	57804.0	74657.0		24852.0	27263.0		2766.0			3.0			0.0		0.0	0.0	0.0		3.0	36.0	0.0	0.0	26.0	113.0		0.0		59.0	0.0		0.0	0.0	0.0			0.0	0.0	0.0			
LK-2303	54926.0	4488.0	59460.0	78066.0		31377.0	22034.0		1036.0				132.0	93.0					0.0		40.0	0.0	26.0			87.0		0.0		50.0		0.0	0.0		0.0								
EC-06B	54925	4482	59454	78068		31373	22031		1034				129	91					1		50	4	13			89		4		54		7	4		3								
EC-15K	54857	2493	57370	77321		25705	26517		2395										8		22	13	1	4	14	116		1		41	1								6				
EC-22G	54813	2743	57602	74244		27123	25250		997						5				1		39	27	5		26	16		7		37				100								1139	
EC-15E	54603	2657	57289	76817		23217	29038		2152										2		24	18	6	3	16	76		3		35	2								1				
LK-6136	54600.0	2655.0	57289.0	76815.0		23217.0	29035.0		2154.0										0.0		12.0	4.0	0.0	0.0	2.0	72.0		0.0		41.0	0.0								0.0				
EC-17B	54498	3421	57984	81099		26086	25089		2707									2	6		40	5	2	17		199		2		11	2												
EC-17A	54487	3757	58287	81996		24451	26975		2784									8	6		36	7	4	5		143		3		24	1												
