entity_id	valid	rejected	polled	electors	NDF	UPFA	DUNF	UDF	JSP	SLLP	Ind 5	Ind 1	NSH	ONF	USP	Ind 3	LF	SEP	NA	Ind 2	RPP	JP	Ind 4	PNF	ACAKO	UNAF
EC-16	344113	2886	346999	503106	136233	201981	1415	587	767	380	132	670	263	246	244	285	153	102	87	228	44	62	67	65	50	52
LK-62	344113	2886	346999	503106	136233	201981	1415	587	767	380	132	670	263	246	244	285	153	102	87	228	44	62	67	65	50	52
EC-09	337564	2218	339782	433991	105336	226887	947	409	957	444	136	716	217	236	209	260	130	67	81	160	59	102	87	56	34	34
LK-33	337564	2218	339782	433991	105336	226887	947	409	957	444	136	716	217	236	209	260	130	67	81	160	59	102	87	56	34	34
EC-13	306562	2912	309474	841672	153105	146912	1270	1101	641	404	369	683	308	447	223	240	115	84	94	135	58	70	139	71	48	45
LK-52	306562	2912	309474	841672	153105	146912	1270	1101	641	404	369	683	308	447	223	240	115	84	94	135	58	70	139	71	48	45
LK-4	283621	9191	292812	1285376	184244	72894	5391	4116	1653	872	3754	850	1026	970	1052	798	1345	790	542	567	416	377	569	432	313	650
EC-05	264419	2666	267085	355738	100513	157953	1105	623	841	372	192	635	299	249	300	340	157	103	117	174	86	89	92	74	57	48
LK-22	264419	2666	267085	355738	100513	157953	1105	623	841	372	192	635	299	249	300	340	157	103	117	174	86	89	92	74	57	48
EC-20	229584	2272	231856	313554	66803	158435	684	342	874	364	107	604	191	171	158	186	119	63	73	109	52	56	68	53	32	40
LK-82	229584	2272	231856	313554	66803	158435	684	342	874	364	107	604	191	171	158	186	119	63	73	109	52	56	68	53	32	40
EC-18	223175	1472	224647	294583	75026	144889	619	236	477	219	54	507	201	172	115	195	71	54	62	73	29	32	45	38	31	30
LK-72	223175	1472	224647	294583	75026	144889	619	236	477	219	54	507	201	172	115	195	71	54	62	73	29	32	45	38	31	30
EC-12	211891	4396	216287	667353	146057	55663	3016	1666	612	468	633	484	645	541	284	232	366	185	201	125	121	102	172	124	87	107
LK-51	211891	4396	216287	667353	146057	55663	3016	1666	612	468	633	484	645	541	284	232	366	185	201	125	121	102	172	124	87	107
EC-06A	184128	3693	187821	247069	112866	62604	2693	1158	747	529	447	340	441	404	320	279	204	219	199	113	108	99	114	109	73	62
EC-10	178369	6763	185132	736032	113877	44154	3370	3325	1310	645	3205	571	732	696	840	683	1128	657	412	485	351	307	485	358	260	518
EC-14	162072	2432	164504	482356	87661	69752	1115	765	311	218	302	346	252	240	247	147	125	80	82	105	58	42	76	48	45	55
LK-53	162072	2432	164504	482356	87661	69752	1115	765	311	218	302	346	252	240	247	147	125	80	82	105	58	42	76	48	45	55
LK-1103	158542.0	2344.0	160882.0	235209.0	116044.0	39428.0	456.0	608.0	167.0	269.0	171.0	122.0	193.0	218.0	132.0	75.0	226.0	61.0	60.0	100.0	31.0	32.0	38.0	32.0	37.0	38.0
LK-41	157893	6000	163893	630548	99060	40027	2932	3235	1252	601	2835	526	665	632	802	661	1036	621	381	464	337	288	465	339	243	491
LK-1109	122277.0	851.0	123128.0	158736.0	45086.0	76101.0	128.0	106.0	177.0	125.0	8.0	133.0	46.0	36.0	46.0	79.0	47.0	22.0	0.0	41.0	0.0	6.0	6.0	0.0	0.0	0.0
EC-01J	122276	850	123126	158736	45082	76103	127	105	179	124	20	132	45	40	45	75	47	26	8	41	13	17	18	11	7	11
LK-1112	121282.0	771.0	122050.0	155719.0	39416.0	80801.0	144.0	86.0	220.0	114.0	3.0	136.0	36.0	43.0	24.0	55.0	55.0	3.0	0.0	17.0	0.0	2.0	0.0	0.0	0.0	0.0
EC-01L	121279	770	122049	155720	39414	80799	143	84	217	115	23	131	39	42	37	52	52	24	10	33	11	18	13	7	8	7
LK-1136	119011.0	805.0	119812.0	148699.0	40474.0	77475.0	107.0	88.0	192.0	137.0	0.0	137.0	52.0	50.0	26.0	70.0	49.0	29.0	0.0	26.0	0.0	2.0	0.0	0.0	0.0	0.0
EC-01N	119006	803	119809	148696	40474	77474	106	83	189	134	16	134	53	50	33	70	47	34	7	33	13	19	10	11	9	7
LK-1127	115458.0	1687.0	117141.0	166321.0	71180.0	42362.0	194.0	183.0	98.0	349.0	158.0	96.0	80.0	90.0	76.0	89.0	261.0	57.0	27.0	48.0	17.0	22.0	18.0	16.0	21.0	30.0
EC-09D	110834	748	111582	143622	37426	71581	334	145	339	149	47	220	60	83	66	94	37	20	37	62	24	42	28	20	12	8
EC-04B	109714	1161	110875	147475	51406	56508	277	240	249	107	34	148	124	91	84	112	59	47	33	63	27	14	29	22	22	18
EC-13A	108026	608	108634	145479	32895	73389	256	80	291	137	40	367	74	108	65	93	21	26	32	44	20	23	22	19	13	11
EC-11	105252	2428	107680	549344	70367	28740	2021	791	343	227	549	279	294	274	212	115	217	133	130	82	65	70	84	74	53	132
EC-02H	104927	682	105609	133606	32262	71811	122	78	129	65	11	114	40	35	35	55	40	15	8	43	21	6	18	9	4	6
LK-1224	104923.0	685.0	105611.0	133608.0	32257.0	71810.0	121.0	83.0	128.0	71.0	0.0	115.0	25.0	16.0	16.0	57.0	25.0	0.0	0.0	28.0	1.0	0.0	1.0	0.0	0.0	0.0
EC-02J	104905	629	105534	134581	34807	69085	136	98	216	76	17	123	28	36	36	49	40	24	11	42	8	23	15	12	17	6
LK-1233	104903.0	630.0	105533.0	134579.0	34812.0	69084.0	133.0	98.0	217.0	80.0	1.0	124.0	11.0	20.0	20.0	46.0	29.0	5.0	0.0	33.0	0.0	4.0	1.0	0.0	1.0	0.0
EC-12B	101800	1885	103685	155537	69975	28090	927	679	239	179	254	188	253	231	107	81	153	74	72	39	53	39	61	32	38	36
LK-1206	99199.0	768.0	99968.0	127418.0	38602.0	59556.0	151.0	106.0	118.0	82.0	25.0	142.0	41.0	47.0	30.0	88.0	55.0	10.0	1.0	20.0	0.0	1.0	0.0	0.0	0.0	0.0
EC-02C	99197	767	99964	127421	38605	59558	150	105	117	72	37	142	46	48	40	82	54	25	16	34	8	14	12	13	9	10
EC-21H	97932	708	98640	127375	31029	65255	248	116	256	169	26	280	69	77	67	73	52	27	20	43	14	31	30	19	14	17
EC-18C	97768	710	98478	130851	35473	60718	320	118	219	99	29	228	98	85	61	88	39	29	30	29	17	17	22	21	15	13
EC-20C	97414	790	98204	129564	27369	68310	290	114	355	148	37	248	69	54	72	76	49	17	29	56	18	26	30	24	7	16
EC-02I	97279	692	97971	127821	39701	56726	149	73	140	77	15	73	34	35	40	45	32	23	11	31	10	10	17	7	6	24
LK-1221	97279.0	693.0	97970.0	127820.0	39700.0	56724.0	148.0	69.0	144.0	77.0	2.0	69.0	36.0	38.0	45.0	49.0	33.0	11.0	1.0	31.0	0.0	0.0	2.0	0.0	0.0	12.0
EC-01B	96826	1320	98146	139822	73152	21824	259	387	96	170	81	67	105	134	86	49	113	32	45	73	25	23	30	23	23	29
EC-03B	95892	558	96450	118942	32290	62363	140	122	203	107	33	156	52	68	57	79	27	29	18	67	15	22	13	8	13	10
EC-01M	95255	768	96023	121247	35162	59360	65	51	103	107	17	109	30	23	29	40	49	26	4	23	6	13	9	10	7	12
LK-1121	95254.0	768.0	96021.0	121245.0	35161.0	59360.0	65.0	52.0	102.0	104.0	13.0	106.0	33.0	25.0	33.0	41.0	51.0	28.0	0.0	25.0	0.0	2.0	0.0	0.0	0.0	0.0
EC-02F	94435	618	95053	120860	33057	60318	235	101	184	54	19	111	38	43	45	49	49	18	13	39	6	14	14	10	9	9
LK-1215	94432.0	620.0	95052.0	120859.0	33054.0	60317.0	233.0	115.0	182.0	40.0	0.0	120.0	6.0	11.0	17.0	24.0	24.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
LK-2312	93465.0	1872.0	95338.0	125419.0	57297.0	31780.0	1370.0	589.0	378.0	270.0	222.0	170.0	219.0	204.0	162.0	145.0	107.0	112.0	106.0	56.0	56.0	54.0	56.0	56.0	38.0	27.0
EC-02G	92515	645	93160	120900	30110	61337	136	91	202	77	26	121	49	47	41	57	46	26	11	60	14	15	19	9	11	10
LK-1227	92508.0	651.0	93160.0	120900.0	30107.0	61341.0	149.0	87.0	207.0	64.0	1.0	130.0	16.0	15.0	11.0	23.0	15.0	1.0	0.0	32.0	0.0	1.0	1.0	0.0	0.0	0.0
EC-13D	90796	1066	91862	137779	54374	33979	579	430	188	130	214	175	131	173	64	69	43	33	35	42	19	15	44	29	13	17
EC-01O	90752	745	91497	114601	37233	52627	69	86	125	157	19	108	37	42	35	38	67	21	12	23	11	8	11	7	12	4
LK-1133	90750.0	747.0	91499.0	114603.0	37230.0	52627.0	66.0	84.0	126.0	156.0	14.0	106.0	40.0	45.0	39.0	41.0	65.0	17.0	2.0	21.0	1.0	1.0	1.0	0.0	2.0	0.0
LK-2315	90656.0	1816.0	92478.0	121646.0	55570.0	30826.0	1324.0	566.0	369.0	262.0	220.0	168.0	220.0	199.0	163.0	141.0	101.0	110.0	97.0	48.0	47.0	42.0	48.0	47.0	33.0	28.0
EC-05A	87949	778	88727	119453	28171	58016	360	158	267	96	41	250	75	51	85	107	43	29	27	62	20	27	23	20	10	11
EC-01H	86486	893	87379	112363	39497	46002	135	120	106	178	15	96	47	63	39	28	43	17	15	36	14	10	7	7	4	7
LK-1106	86485.0	893.0	87376.0	112363.0	39495.0	46007.0	135.0	120.0	105.0	174.0	6.0	95.0	51.0	65.0	42.0	26.0	47.0	9.0	6.0	36.0	5.0	1.0	0.0	0.0	0.0	0.0
EC-03C	86366	666	87032	108781	27818	57292	155	107	209	89	39	130	71	62	65	85	44	27	21	51	18	13	22	27	13	8
LK-9112	86358.0	571.0	86933.0	108120.0	29889.0	55226.0	131.0	125.0	172.0	104.0	38.0	193.0	56.0	69.0	56.0	79.0	31.0	27.0	26.0	41.0	1.0	5.0	26.0	5.0	4.0	4.0
EC-21B	86356	575	86931	108122	29891	55225	133	126	171	100	36	193	56	67	58	76	31	29	28	39	9	17	28	17	13	13
EC-02E	85933	719	86652	114566	30169	54697	160	101	168	89	22	131	38	43	58	74	30	10	16	65	11	16	7	10	8	10
LK-1212	85927.0	718.0	86652.0	114572.0	30167.0	54695.0	167.0	113.0	171.0	89.0	0.0	143.0	6.0	9.0	29.0	60.0	1.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-09C	85119	511	85630	109409	23729	60082	238	64	263	114	32	215	48	47	47	55	35	15	10	41	11	21	26	7	10	9
EC-17E	84999	650	85649	115275	25591	57967	295	85	238	96	19	222	61	51	42	91	34	22	16	57	18	26	22	13	23	10
LK-1239	84613.0	627.0	85240.0	107784.0	31760.0	52067.0	101.0	68.0	119.0	98.0	16.0	89.0	38.0	43.0	34.0	60.0	22.0	0.0	0.0	24.0	0.0	0.0	1.0	0.0	0.0	0.0
EC-02L	84611	629	85240	107786	31762	52066	102	68	118	100	20	91	35	40	34	54	25	8	7	28	7	10	14	10	4	8
EC-01K	83732	689	84421	108138	28875	53664	151	129	215	94	42	148	42	43	56	52	68	30	9	37	17	12	13	16	9	10
EC-03A	82947	553	83500	105569	31319	50772	96	112	122	77	15	100	33	42	34	50	49	19	11	26	16	10	22	5	6	11
LK-1303	82945.0	552.0	83497.0	105571.0	31316.0	50769.0	97.0	114.0	121.0	79.0	1.0	100.0	27.0	43.0	28.0	52.0	52.0	2.0	0.0	12.0	1.0	0.0	5.0	0.0	0.0	0.0
LK-1321	82086.0	583.0	82669.0	106880.0	29717.0	51326.0	132.0	113.0	217.0	78.0	3.0	134.0	39.0	34.0	39.0	67.0	10.0	5.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-03F	82085	581	82666	106878	29719	51330	129	111	218	76	24	133	43	40	43	63	30	25	15	34	7	7	17	8	12	1
LK-2130	81629.0	806.0	82434.0	109843.0	40599.0	40081.0	149.0	91.0	110.0	57.0	39.0	102.0	61.0	36.0	30.0	33.0	67.0	17.0	3.0	29.0	0.0	0.0	16.0	1.0	22.0	0.0
LK-1230	81325.0	485.0	81802.0	104155.0	23621.0	56761.0	133.0	89.0	207.0	40.0	0.0	142.0	4.0	3.0	3.0	73.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-02K	81324	484	81808	104155	23619	56758	124	81	208	59	17	137	37	31	29	74	25	20	12	38	10	12	13	6	8	6
EC-03G	80558	523	81081	104363	35678	43787	133	153	172	80	12	124	60	54	44	78	27	22	23	49	12	10	16	10	7	7
LK-1324	80557.0	519.0	81078.0	104365.0	35676.0	43794.0	136.0	150.0	166.0	87.0	1.0	124.0	59.0	47.0	42.0	85.0	10.0	5.0	6.0	45.0	1.0	0.0	3.0	0.0	0.0	0.0
LK-1218	79163.0	829.0	79991.0	103893.0	38788.0	39315.0	215.0	111.0	141.0	97.0	45.0	80.0	49.0	46.0	38.0	49.0	63.0	20.0	4.0	36.0	0.0	3.0	1.0	2.0	1.0	4.0
EC-02A	79160	830	79990	103893	38789	39316	215	110	140	97	42	82	50	48	37	50	60	22	12	35	5	11	8	10	9	12
EC-02D	77624	476	78100	99742	28518	48149	197	90	145	61	15	108	43	38	41	55	24	14	9	44	11	16	12	9	8	17
LK-1209	77621.0	475.0	78102.0	99745.0	28516.0	48156.0	193.0	101.0	146.0	49.0	0.0	118.0	18.0	10.0	14.0	40.0	1.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-21D	76490	589	77079	96855	28201	46716	255	142	200	108	45	170	105	87	81	83	48	30	36	46	18	27	24	26	25	17
EC-16C	76470	558	77028	108244	29541	45617	328	124	154	96	32	144	63	50	49	66	25	30	26	53	4	14	21	12	10	11
EC-15C	76418	502	76920	105779	25199	49854	365	58	179	83	34	210	65	54	40	70	33	25	19	38	14	17	21	24	8	8
EC-03E	75482	564	76046	99737	26016	47988	183	233	275	108	47	124	53	56	73	77	42	34	21	44	17	29	21	22	4	15
EC-07E	75453	457	75910	94245	26061	47987	227	114	231	111	30	186	76	35	58	68	37	11	21	57	28	20	21	37	18	19
LK-9148	73024.0	528.0	73549.0	94979.0	23138.0	48658.0	183.0	90.0	191.0	125.0	15.0	212.0	53.0	55.0	53.0	54.0	43.0	16.0	7.0	38.0	0.0	22.0	21.0	6.0	0.0	3.0
EC-03H	72523	486	73009	93972	23717	47317	168	173	286	107	36	195	76	49	83	72	41	23	22	57	14	25	18	18	12	14
EC-21E	72344	562	72906	92891	27302	43368	375	191	162	131	45	167	104	95	66	73	37	26	39	40	29	20	18	25	19	12
EC-09A	72050	529	72579	93685	22537	48187	238	112	215	110	32	181	72	60	50	55	31	21	20	30	15	22	25	19	5	13
EC-16B	70906	508	71414	101696	19622	49895	354	84	264	91	27	209	45	49	36	88	28	9	14	40	7	8	9	11	8	8
EC-15I	70668	349	71017	94743	27813	41881	200	70	130	57	22	104	60	45	33	70	30	13	18	42	19	12	16	12	15	6
EC-07F	70302	489	70791	89805	24446	44495	168	138	262	83	38	135	63	54	69	83	42	22	21	60	14	21	27	33	16	12
LK-1203	69724.0	649.0	70371.0	96028.0	36671.0	32122.0	187.0	141.0	122.0	66.0	47.0	67.0	36.0	48.0	31.0	39.0	47.0	5.0	2.0	37.0	0.0	0.0	5.0	0.0	0.0	0.0
EC-02B	69723	650	70373	96028	36669	32125	187	138	122	67	48	69	32	50	27	35	48	14	11	34	7	7	14	10	2	7
EC-15A	69661	334	69995	96354	21666	46752	307	77	192	98	27	189	54	47	31	42	26	23	10	40	9	13	20	13	11	14
EC-21A	69575	416	69991	89518	22277	46177	158	105	224	87	27	135	38	58	47	63	36	15	13	40	14	13	9	12	17	10
LK-6178	69381.0	389.0	69771.0	89307.0	25544.0	43054.0	127.0	78.0	102.0	76.0	1.0	117.0	18.0	39.0	9.0	29.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-15H	69380	390	69770	89310	25547	43052	127	67	97	64	22	119	34	43	30	40	25	16	13	22	10	11	11	12	9	9
EC-21F	69292	574	69866	86973	22431	45248	257	173	220	118	44	169	67	67	85	82	40	40	39	41	22	27	30	18	29	45
EC-20B	68096	743	68839	96386	19990	46731	193	121	261	108	47	191	74	70	47	57	32	19	30	28	23	14	23	14	11	12
EC-15J	68047	436	68483	89631	23056	44172	161	65	109	64	21	100	29	31	24	87	29	14	21	25	5	5	10	7	9	3
EC-16E	67833	471	68304	99774	26023	40931	174	93	119	63	12	101	30	48	41	54	25	7	14	34	11	21	10	10	4	8
EC-08C	67519	449	67968	87510	21926	44527	144	112	185	95	28	130	45	39	54	54	25	15	14	33	19	20	15	15	13	11
EC-04L	66657	857	67514	91146	32090	33078	273	171	184	104	49	129	99	83	61	60	38	30	46	57	25	18	18	20	14	10
EC-15D	65853	548	66401	92150	22538	42240	269	80	140	83	18	115	56	47	41	72	36	17	12	32	7	15	9	11	9	6
EC-08A	65613	624	66237	86311	20939	42999	250	142	332	139	38	205	81	69	95	60	46	20	21	47	38	28	15	21	15	13
EC-07I	65526	371	65897	84872	24345	40321	114	82	145	79	10	91	32	41	39	66	21	19	9	48	12	7	6	12	16	11
EC-07D	65320	382	65702	84772	20219	44036	141	83	242	78	23	123	33	30	46	81	26	12	12	57	16	20	11	7	15	9
EC-04F	65060	656	65716	85857	27852	36212	209	113	119	73	29	79	62	49	39	50	40	26	12	26	12	9	16	15	8	10
LK-2127	65058.0	659.0	65720.0	85857.0	27852.0	36215.0	211.0	113.0	119.0	83.0	16.0	89.0	64.0	46.0	24.0	47.0	25.0	10.0	1.0	10.0	1.0	0.0	4.0	2.0	0.0	1.0
LK-1306	64892.0	379.0	65267.0	80495.0	21852.0	42202.0	98.0	83.0	136.0	72.0	12.0	110.0	39.0	47.0	40.0	56.0	6.0	8.0	0.0	46.0	0.0	1.0	0.0	0.0	0.0	0.0
EC-17C	64582	517	65099	88157	22270	41418	241	40	154	60	19	109	39	38	32	35	29	8	6	27	9	10	16	8	11	3
EC-17D	64575	583	65158	93534	21288	41965	262	85	255	68	24	202	49	52	41	63	36	23	21	57	15	21	10	16	10	12
EC-08B	64522	452	64974	85686	17626	45590	220	97	300	99	26	154	45	43	49	53	33	21	14	58	15	30	13	16	12	8
EC-15B	64369	432	64801	87897	21830	41510	278	56	156	45	21	138	44	37	32	60	21	11	14	36	11	13	14	21	14	7
EC-16A	64302	941	65243	102643	36971	25751	412	219	141	73	46	125	86	68	88	39	43	29	25	78	13	16	17	20	23	19
EC-08G	64254	333	64587	86711	21978	41359	91	150	172	64	20	95	39	37	50	51	25	12	10	47	6	11	11	13	9	4
EC-19A	63863	491	64354	85562	24057	38486	175	106	207	118	35	161	81	78	53	75	31	18	41	33	20	24	18	25	11	10
LK-9218	63740.0	382.0	64119.0	83554.0	23100.0	39735.0	129.0	72.0	172.0	74.0	5.0	102.0	39.0	24.0	38.0	67.0	10.0	2.0	2.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-22A	63738	383	64121	83554	23097	39736	128	70	174	71	22	102	44	35	42	62	25	15	16	39	10	8	10	10	9	13
EC-02M	63671	584	64255	83105	26740	36242	124	85	84	90	13	67	28	27	28	24	18	16	9	31	8	7	10	7	6	7
LK-1236	63671.0	586.0	64253.0	83106.0	26740.0	36238.0	125.0	83.0	83.0	89.0	3.0	68.0	33.0	33.0	33.0	30.0	16.0	8.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-04M	62320	1069	63389	85136	25107	35555	332	208	209	117	51	124	103	84	64	73	28	40	36	51	21	32	22	24	15	24
EC-15G	62174	360	62534	82441	23273	38036	169	54	124	56	15	108	33	36	40	48	37	13	17	36	13	13	17	15	8	13
EC-01A	61715	1022	62737	95385	42896	17605	197	222	72	99	86	57	89	80	43	26	112	32	12	29	7	9	10	8	14	10
EC-08F	61642	367	62009	80334	27102	33948	87	61	95	43	11	59	38	38	26	23	15	18	10	25	10	4	8	11	7	3
LK-3242	61642.0	362.0	62006.0	80335.0	27102.0	33947.0	88.0	62.0	96.0	42.0	0.0	61.0	38.0	38.0	17.0	13.0	0.0	2.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
EC-15M	61286	458	61744	82656	23999	36237	208	95	163	69	37	96	43	29	46	84	27	14	18	52	15	14	14	10	8	8
LK-6160	61284.0	456.0	61742.0	82657.0	24004.0	36239.0	211.0	94.0	161.0	74.0	35.0	95.0	41.0	20.0	47.0	85.0	14.0	0.0	3.0	53.0	1.0	0.0	0.0	0.0	0.0	0.0
EC-15L	60922	492	61414	81523	25113	34912	277	51	112	65	17	78	47	36	29	51	29	18	16	27	9	5	7	10	4	9
EC-05D	60388	760	61148	83381	25991	32818	232	203	210	97	57	139	88	91	97	87	43	27	32	40	34	25	24	16	15	22
EC-22E	60327	434	60761	83066	27039	32335	133	91	134	86	17	90	70	55	55	47	34	16	20	34	19	5	11	11	18	7
LK-9206	60325.0	433.0	60762.0	83066.0	27034.0	32333.0	137.0	90.0	137.0	84.0	3.0	90.0	74.0	57.0	57.0	50.0	25.0	3.0	6.0	25.0	6.0	0.0	0.0	0.0	4.0	0.0
LK-9124	60321.0	615.0	60936.0	75686.0	24283.0	34772.0	194.0	168.0	150.0	92.0	45.0	122.0	75.0	88.0	64.0	42.0	29.0	34.0	41.0	28.0	29.0	4.0	25.0	16.0	11.0	1.0
EC-21C	60319	617	60936	75685	24283	34773	191	167	151	94	43	120	74	87	65	42	25	34	41	24	25	14	23	18	16	9
LK-5112	59744.0	1104.0	60850.0	91285.0	41067.0	16485.0	543.0	394.0	138.0	103.0	150.0	112.0	148.0	135.0	60.0	48.0	89.0	45.0	44.0	22.0	34.0	22.0	38.0	14.0	21.0	17.0
EC-07J	58923	329	59252	76190	18606	39435	150	91	153	66	18	93	43	33	36	46	15	13	15	55	8	9	12	14	4	8
EC-12A	58905	1281	60186	97135	35608	20112	1065	405	222	148	176	208	185	146	75	96	87	57	59	60	31	27	50	33	19	36
LK-1309	58537.0	453.0	58987.0	73729.0	18855.0	38828.0	107.0	72.0	143.0	66.0	16.0	84.0	53.0	48.0	51.0	59.0	23.0	2.0	0.0	37.0	0.0	0.0	1.0	2.0	0.0	0.0
EC-03D	58456	423	58879	74991	19073	38018	233	163	190	119	40	103	62	49	69	77	39	41	26	47	21	23	24	22	10	7
EC-08D	58365	364	58729	77705	16561	40879	170	85	149	93	17	108	31	21	42	52	33	17	8	38	12	15	12	10	4	8
EC-04J	57881	506	58387	76996	23290	33664	177	94	135	74	31	77	43	26	40	37	41	20	17	38	9	22	23	6	6	11
LK-2136	57879.0	504.0	58386.0	76997.0	23293.0	33668.0	178.0	98.0	136.0	82.0	10.0	85.0	31.0	5.0	26.0	19.0	27.0	1.0	1.0	22.0	0.0	1.0	1.0	0.0	0.0	0.0
EC-04C	57703	838	58541	78688	27692	28628	238	162	167	108	50	97	84	68	71	66	33	36	29	52	19	27	24	17	20	15
