entity_id	valid	rejected	polled	electors	UNP	UPFA	USP	JSP	ULPP	NLF	ULF	RPP	SLNF	DUA	SEP	SLPF	UNAF
LK-1239	78603.0	753.0	79351.0	99196.0	34686.0	43250.0	155.0	183.0	119.0	51.0	24.0	45.0	44.0	20.0	18.0	0.0	0.0
EC-02L	78601	754	79355	99193	34685	43249	155	183	118	47	28	42	41	23	21	7	2
EC-02K	77055	669	77724	97143	30306	45849	227	238	129	61	52	51	56	39	28	11	8
LK-1230	77051.0	663.0	77723.0	97149.0	30309.0	45849.0	225.0	240.0	135.0	43.0	25.0	24.0	33.0	5.0	2.0	0.0	0.0
EC-03G	75851	885	76736	99026	37390	37402	372	224	105	84	55	66	48	47	27	21	10
LK-1324	75847.0	887.0	76734.0	99032.0	37390.0	37400.0	373.0	231.0	109.0	92.0	47.0	68.0	44.0	44.0	10.0	5.0	0.0
EC-15C	75322	728	76050	100497	34469	40136	214	165	51	64	41	67	52	14	18	18	13
EC-02D	75100	680	75780	93677	34945	39347	217	179	115	79	51	46	48	36	15	15	7
LK-1209	75097.0	681.0	75788.0	93674.0	34944.0	39346.0	216.0	176.0	122.0	81.0	33.0	22.0	26.0	8.0	0.0	0.0	0.0
EC-07E	74929	654	75583	89156	31489	42304	301	354	112	71	61	82	60	39	29	16	11
EC-16C	74378	685	75063	102987	37372	36115	234	189	119	68	49	59	50	49	44	22	8
LK-1218	73149.0	872.0	74021.0	94456.0	40984.0	31451.0	205.0	142.0	152.0	46.0	42.0	38.0	38.0	20.0	31.0	1.0	0.0
EC-02A	73148	873	74021	94455	40984	31446	200	141	151	47	39	37	37	22	31	8	5
EC-03E	71982	756	72738	93479	30853	40006	379	271	105	67	58	65	60	53	29	23	13
EC-21D	70587	836	71423	87938	34049	35410	314	306	100	91	50	62	95	48	22	31	9
EC-03H	70081	656	70737	89979	31449	37518	408	254	81	91	56	57	57	52	24	26	8
EC-07F	69530	699	70229	85786	27764	40558	354	350	112	84	53	68	78	40	27	28	14
EC-15A	69335	610	69945	91698	30720	37876	163	219	64	66	33	67	43	38	21	17	8
EC-16B	69139	632	69771	96744	30358	38002	202	202	73	46	47	91	43	39	24	9	3
LK-9148	68956.0	718.0	69676.0	86492.0	28457.0	39478.0	241.0	295.0	78.0	102.0	46.0	69.0	82.0	52.0	14.0	25.0	0.0
EC-15I	68892	658	69550	89722	33874	34357	206	145	89	39	45	33	37	26	23	8	10
EC-09A	68789	645	69434	88528	24784	42897	292	298	100	84	43	110	81	52	19	21	8
EC-21E	68605	805	69410	84595	34413	33169	309	278	87	82	48	73	44	41	10	33	18
EC-15J	67741	599	68340	85455	29818	37231	175	190	104	40	51	41	41	19	10	14	7
LK-6178	67584.0	521.0	68104.0	85751.0	31581.0	35314.0	182.0	159.0	109.0	54.0	23.0	25.0	44.0	7.0	0.0	0.0	0.0
EC-15H	67582	522	68104	85753	31580	35311	183	159	109	51	37	38	46	29	19	8	12
EC-21A	67302	502	67804	83705	29255	37243	254	210	77	69	42	62	34	25	12	12	7
EC-08C	67246	570	67816	84867	25103	41091	279	326	68	98	43	63	79	51	20	18	7
EC-20B	66318	897	67215	87943	27754	37575	254	304	66	86	37	87	56	31	31	23	14
EC-08A	66173	879	67052	82636	28015	36916	370	330	87	109	52	73	83	54	32	33	19
EC-16E	65906	637	66543	95892	32191	33040	169	137	123	43	47	45	42	30	17	13	9
EC-02B	65802	799	66601	89361	40805	24236	252	141	92	75	46	37	34	42	25	16	1
LK-1203	65800.0	804.0	66602.0	89360.0	40807.0	24240.0	253.0	143.0	93.0	77.0	47.0	40.0	37.0	44.0	29.0	8.0	0.0
EC-21F	65582	560	66142	78157	29987	34569	324	271	111	71	50	59	46	40	18	26	10
EC-07D	65546	572	66118	82282	25767	38779	296	268	100	68	53	64	70	41	15	17	8
EC-08G	65065	568	65633	84614	24225	40027	226	242	66	52	36	50	53	48	15	12	13
EC-08B	64118	571	64689	82128	22366	40567	294	368	75	90	45	98	88	71	19	27	10
EC-15B	63332	532	63864	83696	29691	32978	159	195	56	50	54	43	49	31	9	10	7
LK-9218	63284.0	611.0	63897.0	80201.0	30390.0	32233.0	176.0	128.0	93.0	43.0	50.0	54.0	59.0	25.0	1.0	0.0	0.0
EC-22A	63283	613	63896	80201	30391	32231	176	125	84	47	50	52	57	36	14	10	10
EC-15D	62900	793	63693	86112	31412	30785	171	185	80	59	44	41	50	35	22	11	5
EC-04L	62603	1036	63639	84167	35829	25790	276	258	86	70	65	56	64	41	27	19	22
EC-02M	62387	708	63095	80301	28676	33179	130	142	101	37	26	23	20	23	20	5	5
LK-1236	62385.0	708.0	63095.0	80301.0	28677.0	33180.0	130.0	143.0	102.0	39.0	32.0	29.0	23.0	29.0	23.0	0.0	0.0
EC-17D	62384	671	63055	86433	29829	31575	262	250	77	107	61	74	62	34	21	21	11
EC-07I	61779	560	62339	78496	24570	36424	222	211	107	54	40	43	39	27	20	17	5
EC-08F	61322	483	61805	79784	22941	37829	127	162	77	36	23	37	26	28	19	10	7
LK-3242	61322.0	485.0	61806.0	79784.0	22943.0	37831.0	123.0	163.0	78.0	36.0	13.0	37.0	17.0	19.0	4.0	0.0	0.0
EC-15G	61195	394	61589	78140	29941	30624	168	172	77	44	26	43	33	28	21	13	5
EC-16A	60891	1028	61919	95350	40060	19939	324	182	65	77	38	55	36	52	42	15	6
EC-19A	60523	947	61470	78986	32592	26877	286	307	79	100	51	67	62	38	28	24	12
EC-01A	60111	939	61050	85967	45161	14270	270	112	101	59	39	17	20	27	27	5	3
EC-17C	59764	563	60327	80971	25382	33726	155	169	82	65	32	54	44	25	14	11	5
EC-04M	59453	965	60418	80003	29882	28544	296	277	85	74	44	56	63	40	48	28	16
LK-2127	59373.0	748.0	60119.0	77020.0	31318.0	27379.0	206.0	165.0	94.0	18.0	10.0	25.0	19.0	8.0	14.0	6.0	0.0
EC-04F	59372	746	60118	77020	31321	27385	204	169	83	33	26	40	35	24	28	20	4
EC-15L	58896	625	59521	77003	29564	28791	136	147	90	24	37	40	22	12	18	14	1
LK-6160	58871.0	614.0	59476.0	77818.0	28657.0	29513.0	168.0	206.0	84.0	52.0	35.0	41.0	35.0	20.0	3.0	0.0	0.0
EC-15M	58867	607	59474	77819	28658	29513	172	201	83	48	38	43	38	30	19	13	11
EC-22E	58709	602	59311	78208	32203	25701	220	194	111	60	52	45	49	33	15	17	9
LK-9206	58709.0	604.0	59312.0	78207.0	32207.0	25706.0	226.0	192.0	112.0	66.0	56.0	48.0	51.0	25.0	2.0	3.0	0.0
LK-1306	58395.0	588.0	58987.0	72624.0	23515.0	34162.0	233.0	189.0	72.0	44.0	52.0	39.0	40.0	21.0	1.0	2.0	0.0
EC-08D	58237	458	58695	75953	19771	37641	197	229	58	84	47	55	78	37	17	14	9
EC-05D	58129	955	59084	78314	31449	25551	362	334	96	78	53	55	58	39	19	24	11
EC-07J	57949	495	58444	73606	22164	35002	194	233	80	54	49	47	48	35	19	18	6
EC-09B	56713	492	57205	72862	19290	36615	211	247	81	57	30	47	56	38	16	19	6
EC-07G	56265	498	56763	73737	21330	34259	221	176	64	47	27	41	32	25	31	9	3
LK-3136	56264.0	499.0	56762.0	73730.0	21328.0	34256.0	223.0	178.0	64.0	41.0	9.0	27.0	16.0	3.0	12.0	0.0	0.0
EC-03D	56179	644	56823	71080	25918	29218	371	251	85	81	36	46	66	40	28	30	9
EC-16D	56150	445	56595	79631	26367	29227	131	96	96	50	33	41	30	13	48	13	5
EC-04J	55934	594	56528	72329	27791	27428	159	210	100	48	34	50	46	26	19	12	11
LK-2136	55931.0	594.0	56524.0	72327.0	27788.0	27432.0	157.0	210.0	104.0	39.0	15.0	47.0	37.0	5.0	1.0	0.0	0.0
EC-18A	55587	536	56123	72430	23819	31081	176	199	65	52	39	61	43	28	6	12	6
LK-2309	55521.0	1006.0	56521.0	71745.0	30850.0	23688.0	332.0	284.0	54.0	63.0	14.0	27.0	20.0	17.0	1.0	8.0	1.0
EC-06D	55519	1003	56522	71744	30852	23688	333	285	74	78	30	50	45	35	15	21	13
EC-08E	55354	415	55769	73005	19288	35319	191	216	96	51	29	68	42	30	11	5	8
EC-21C	54537	570	55107	65445	27178	26511	257	206	100	64	36	53	50	36	17	25	4
LK-9124	54536.0	572.0	55108.0	65445.0	27176.0	26513.0	258.0	204.0	96.0	64.0	36.0	54.0	52.0	36.0	15.0	29.0	0.0
LK-1124	54505.0	513.0	55019.0	73275.0	27106.0	26987.0	84.0	89.0	117.0	33.0	21.0	21.0	21.0	21.0	12.0	0.0	0.0
EC-01I	54504	516	55020	73274	27106	26987	83	88	117	31	19	17	18	20	11	3	4
EC-04K	54445	726	55171	71840	30979	22733	203	181	90	55	45	40	45	29	24	14	7
LK-2139	54441.0	729.0	55168.0	71840.0	30977.0	22733.0	202.0	173.0	107.0	31.0	15.0	11.0	15.0	3.0	0.0	0.0	0.0
EC-19H	54393	888	55281	71292	29137	24294	315	285	65	61	46	41	32	26	36	37	18
LK-1309	54282.0	542.0	54826.0	67835.0	23248.0	30367.0	200.0	159.0	87.0	52.0	39.0	43.0	42.0	31.0	0.0	0.0	0.0
EC-15K	53467	437	53904	69821	25317	27581	138	155	72	32	30	39	39	24	18	11	11
EC-04C	53433	885	54318	71823	31957	20610	284	206	100	73	39	32	50	27	29	17	9
EC-18B	53388	402	53790	69230	25533	27230	181	172	42	61	48	50	25	18	5	15	8
EC-14B	53106	956	54062	91095	41369	10878	299	138	133	65	56	37	27	38	33	24	9
LK-3139	52680.0	516.0	53197.0	71424.0	27164.0	24970.0	201.0	100.0	88.0	19.0	29.0	17.0	27.0	17.0	1.0	1.0	0.0
EC-07H	52678	520	53198	71425	27166	24972	199	104	85	24	30	23	28	23	11	11	2
EC-15E	52618	540	53158	68194	22919	29155	125	137	85	47	29	31	30	28	19	8	5
LK-6136	52618.0	540.0	53162.0	68195.0	22917.0	29154.0	122.0	138.0	84.0	54.0	25.0	31.0	28.0	24.0	5.0	0.0	0.0
EC-15F	52350	392	52742	67023	25456	26365	156	115	57	63	25	29	36	15	11	16	6
EC-04H	52052	630	52682	69243	28894	22670	124	120	83	37	25	16	29	16	21	12	5
LK-9221	51910.0	486.0	52389.0	65992.0	24686.0	26522.0	226.0	176.0	69.0	46.0	40.0	50.0	42.0	24.0	9.0	1.0	1.0
EC-22H	51909	481	52390	65989	24684	26522	224	175	70	46	36	52	42	24	16	9	9
EC-22G	51874	536	52410	65737	26056	25080	242	190	60	48	41	48	32	25	24	15	13
EC-20A	51612	567	52179	68660	22103	28663	169	280	56	64	43	69	59	38	32	23	13
EC-06B	51548	576	52124	65998	33073	17645	378	204	51	35	27	27	29	16	23	24	16
LK-2303	51543.0	576.0	52119.0	66005.0	33073.0	17646.0	380.0	202.0	42.0	21.0	12.0	12.0	14.0	2.0	10.0	11.0	2.0
EC-05C	51439	932	52371	71171	29637	20945	278	235	88	73	48	33	34	25	17	15	11
EC-17A	51427	446	51873	71396	21647	29071	192	192	54	81	33	69	31	19	14	14	10
EC-17G	51224	506	51730	68671	24314	26220	181	196	53	65	32	46	37	37	20	14	9
EC-07B	51110	509	51619	64864	20093	30418	151	170	59	48	25	49	42	25	19	4	7
EC-19G	50645	640	51285	64481	26108	23736	281	200	76	47	41	49	41	23	8	18	17
LK-8130	50643.0	641.0	51283.0	64484.0	26106.0	23735.0	275.0	203.0	75.0	49.0	46.0	53.0	46.0	9.0	0.0	3.0	1.0
LK-1115	50267.0	545.0	50818.0	64231.0	23025.0	26656.0	179.0	132.0	70.0	60.0	43.0	26.0	6.0	5.0	8.0	0.0	0.0
EC-07C	49253	481	49734	64111	17438	31157	164	179	73	49	32	60	42	29	17	8	5
EC-01G	49181	557	49738	66432	23743	25004	92	76	121	36	26	23	22	16	17	3	2
LK-1131	49181.0	558.0	49738.0	66433.0	23744.0	25003.0	91.0	77.0	120.0	35.0	26.0	24.0	22.0	15.0	16.0	0.0	0.0
EC-17B	49011	481	49492	68066	22027	26330	184	201	34	70	20	54	45	15	7	14	10
EC-14C	48808	542	49350	81534	29061	18817	338	257	45	32	45	65	16	82	18	22	10
LK-5327	48808.0	541.0	49350.0	81535.0	29059.0	18816.0	339.0	257.0	46.0	35.0	46.0	63.0	10.0	81.0	14.0	20.0	2.0
LK-2306	48692.0	848.0	49534.0	63417.0	27059.0	20722.0	278.0	286.0	36.0	32.0	7.0	15.0	36.0	10.0	2.0	2.0	2.0
EC-06C	48691	843	49534	63421	27061	20725	277	285	58	57	33	46	58	40	18	18	15
LK-9212	48439.0	422.0	48857.0	63756.0	20450.0	27443.0	153.0	123.0	75.0	55.0	27.0	32.0	24.0	4.0	3.0	2.0	0.0
EC-22C	48438	421	48859	63755	20451	27444	150	123	73	46	33	36	31	19	16	10	6
LK-5112	48374.0	572.0	48943.0	86845.0	38383.0	9272.0	277.0	156.0	78.0	33.0	45.0	33.0	4.0	53.0	24.0	3.0	0.0
EC-22B	47616	443	48059	61932	21875	25086	198	154	60	55	39	37	57	21	19	10	5
LK-9215	47614.0	446.0	48055.0	61931.0	21874.0	25088.0	199.0	157.0	58.0	56.0	46.0	44.0	57.0	12.0	6.0	0.0	0.0
EC-05B	46781	679	47460	60990	22249	23637	243	279	37	86	45	51	65	35	28	14	12
EC-13B	46641	517	47158	66666	24969	21029	220	201	34	21	26	54	7	57	13	7	3
EC-15N	46391	607	46998	63143	21100	24658	181	166	42	51	29	48	40	28	21	20	7
LK-6163	46391.0	606.0	46999.0	63141.0	21101.0	24657.0	183.0	166.0	19.0	40.0	5.0	31.0	15.0	3.0	0.0	0.0	0.0
EC-01D	46206	694	46900	65732	28832	16919	102	66	159	33	24	11	15	13	23	4	5
EC-04G	45664	660	46324	61006	25874	19058	233	231	55	48	38	23	38	28	14	14	10
LK-2145	45664.0	662.0	46326.0	61007.0	25875.0	19056.0	230.0	229.0	64.0	49.0	29.0	7.0	29.0	14.0	0.0	0.0	0.0
EC-22I	45573	526	46099	58163	22087	22653	272	248	69	51	37	36	52	23	21	18	6
LK-9203	45184.0	494.0	45671.0	59717.0	20079.0	24564.0	136.0	125.0	89.0	25.0	21.0	11.0	17.0	4.0	2.0	0.0	0.0
EC-22D	45178	496	45674	59711	20078	24559	139	121	82	38	37	30	33	25	19	11	6
LK-8124	44512.0	784.0	45297.0	57898.0	23637.0	19946.0	309.0	250.0	75.0	52.0	49.0	24.0	56.0	38.0	37.0	28.0	7.0
EC-19E	44511	785	45296	57900	23638	19946	310	249	73	50	46	27	53	36	35	29	19
EC-19F	44218	588	44806	55655	22127	21387	227	165	78	46	26	53	33	21	20	23	12
LK-8127	44216.0	585.0	44805.0	55657.0	22127.0	21384.0	222.0	164.0	81.0	48.0	16.0	56.0	26.0	7.0	5.0	12.0	0.0
LK-2133	44109.0	604.0	44703.0	58157.0	25215.0	18323.0	166.0	133.0	69.0	25.0	21.0	15.0	18.0	9.0	0.0	0.0	0.0
EC-21G	43860	414	44274	52156	18740	24463	176	175	67	47	37	58	33	26	15	16	7
LK-1130	43078.0	371.0	43446.0	58727.0	24659.0	18006.0	67.0	58.0	158.0	32.0	18.0	17.0	15.0	16.0	17.0	1.0	1.0
EC-01F	43077	369	43446	58728	24660	18005	67	57	158	34	20	19	13	15	19	5	5
LK-7139	43013.0	461.0	43478.0	59598.0	20569.0	21771.0	182.0	171.0	54.0	72.0	44.0	53.0	44.0	25.0	8.0	8.0	1.0
LK-6130	42720.0	540.0	43261.0	58480.0	21339.0	20908.0	114.0	125.0	58.0	39.0	21.0	16.0	27.0	7.0	0.0	0.0	0.0
EC-19I	42582	736	43318	56220	25935	15856	354	174	51	29	35	45	17	24	24	25	13
LK-3330	42336.0	367.0	42700.0	54385.0	14398.0	27330.0	157.0	181.0	66.0	47.0	3.0	30.0	47.0	14.0	0.0	0.0	0.0
EC-11B	42262	766	43028	104884	33553	7936	276	155	62	68	33	37	40	37	37	15	13
LK-43	42262	766	43028	104884	33553	7936	276	155	62	68	33	37	40	37	37	15	13
EC-01C	41809	453	42262	60678	25784	15644	115	60	80	32	22	18	17	10	23	3	1
EC-19C	41491	874	42365	54910	25176	15717	135	207	53	30	38	39	18	20	29	19	10
LK-2112	41218.0	683.0	41902.0	55407.0	24651.0	15898.0	218.0	157.0	78.0	61.0	26.0	21.0	41.0	14.0	18.0	2.0	0.0
EC-04D	40934	564	41498	52747	20269	19973	186	207	55	68	33	36	46	28	14	9	10
LK-9118	40817.0	484.0	41308.0	50856.0	19694.0	20479.0	182.0	178.0	61.0	57.0	24.0	36.0	59.0	22.0	5.0	7.0	0.0
