entity_id	valid	rejected	polled	electors	ITAK	EDF	ELMS	DNA	IG1D	IG2D	IG3D	IG4D	IG5D	IG6D	IG7D	IG8D	IG9D	UPFA	AITC	AITUF	UNP	UNAF	UDF	USP	JSP	TMVP	PERLF	MLF	LLF	SLNF	SMBP	IG1T	IG2T	IG3T	IG4T	IG5T	IG6T	IG7T	IG8T	IG9T	DPLF	IG1B	IG2B	IG3B	IG4B	IG5B	IG6B	IG7B	IG8B	IG9B	ONF	OWORS	TULF	EPDP	IG1V	DUA	IG9V	IG2V	IG6V	IG3V	IG4V	IG5V	IG7V	IG8V	IG9J	IG2J	IG4J	IG1J	IG3J	IG5J	IG6J	IG7J	IG8J	SEP	IG1P	IG7P	PNF	ELPP	IG2P	IG6P	IG8P	IG9P	IG3P	IG4P	IG5P	SLLP	NSU	UPF	IG1N	IG5N	IG3N	IG2N	IG4N	IG6N	IG9N	IG7N	IG8N	IG2M	IG3M	RJP	IG1M	IG4M	NPP	IG1H	OWO	IG4H	IG2H	IG3H	IG8M	IG5M	IG9M	IG6M	IG7M	IG1R	IG5R	IG2R	IG3R	IG4R	IG6R	IG7R	IG8R	IG9R	TLP	CDUA	IG3C	IG6C	IG8C	IG1C	IG7C	IG2C	IG9C	IG4C	IG5C	MNA	IG1K	IG3K	IG2K	IG4K	IG6K	IG9K	IG5K	IG7K	IG8K	IG6G	IG2G	IG7G	IG3G	IG4G	IG1G	IG5G	IG6A	IG1A	IG7A	IG5A	IG2A	IG3A	IG4A	IG9G	IG8G	OWOS	JS	J	OORS
EC-21H	71086	4358	75451	127375			3	3455										49778			17511	33	13	24	2				10	40	1																				87																										7									1																												4	1	6	8	10	2	18	6	6																																									
EC-01H	70548	3863	74446	112363			11	8371										37782			23949	20	4	15	7				16	50	5																				28	8	6																					9			3	173								0																	1																					2	1	2	8	2	5	5	1	3	4	12																													
LK-1106	70547.0	3862.0	74448.0	112363.0			1.0	8372.0										37783.0			23948.0	13.0	0.0	6.0	25.0				6.0	56.0	0.0																				26.0	0.0	0.0																					0.0			0.0	172.0								0.0																	0.0																					0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	2.0																													
EC-03B	70081	7122	77258	118942			5	5803										44927			19017	11	12		6				16	16	5																				53	9																									6									1																																																	1	11	2	16	3	45	20	3	11																				
EC-09C	69142	2547	71689	109409			7	5449										46289			17174	24	8	29	2				13	10																					56																										10									2																	8	9	5	32	1	14																																																							
EC-02E	68084	3522	71672	114566			4	4491										45428			17971	12	10		10					63																						5																									3									1																																																										4	15	3	5	3	1	3								24	6				
LK-1212	68078.0	3521.0	71671.0	114572.0			0.0	4491.0										45426.0			17964.0	0.0	0.0		0.0					36.0																						0.0																									0.0									0.0																																																										0.0	0.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
LK-1239	67158.0	2997.0	70179.0	107784.0			0.0	5087.0										41472.0			20434.0	1.0	0.0		2.0					0.0																						0.0																									0.0									0.0																																																										0.0	51.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
EC-02L	67156	2998	70181	107786			4	5089										41478			20438	14	7		2					13																						2																									5									7																																																										6	47	3	3	1	0	1								13	2				
EC-20C	67127	3694	70821	129564				4507										50073			12199	19	13	22	10				1	41	3																				126																										12																					20	12	0	16	29																																																													
EC-03C	65192	6100	71379	108781			2	4020										44136			16613	11	12		7				26	123	0																				48	3																									6									4																																																	1	28	0	9	3	53	8	4	4																				
EC-01K	64748	4225	69035	108138			1	5432										42259			16730	19	11	21	1				20	15	1																				21	19	5																					6			0	118								4																	3																					2	6	0	4	2	2	0	4	2	2	9																													
LK-1230	64420.0	3515.0	67955.0	104155.0			0.0	3711.0										46359.0			14181.0	0.0	0.0		0.0					4.0																						0.0																									0.0									0.0																																																										0.0	1.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
EC-02K	64416	3518	67957	104155			2	3709										46356			14185	15	5		14					34																						3																									3									2																																																										0	23	3	4	3	0	2								18	4				
LK-9112	63622.0	5213.0	68845.0	108120.0			0.0	1756.0										42631.0			19017.0	5.0	1.0	23.0	48.0				0.0	0.0	0.0																				46.0																										0.0									0.0																												5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																									
EC-21B	63620	5215	68842	108122			0	1755										42637			19013	16	9	26	13				3	4	3																				46																										5									2																												2	0	5	4	1	0	5	4	8																																									
LK-1218	63430.0	4329.0	67786.0	103893.0			0.0	4928.0										31448.0			26663.0	21.0	1.0		9.0					86.0																						0.0																									0.0									0.0																																																										0.0	166.0	0.0	0.0	0.0	4.0	3.0								4.0	0.0				
EC-02A	63425	4328	67784	103893			3	4929										31444			26659	24	8		9					87																						6																									6									1																																																										3	166	5	1	6	2	11								16	5				
EC-03A	63414	5851	69320	105569			2	7340										37818			18022	11	10		2				34	21	5																				32	6																									9									2																																																	0	4	2	7	2	2	10	3	0																				
LK-1303	63410.0	5853.0	69320.0	105571.0			0.0	7339.0										37818.0			18026.0	0.0	0.0		0.0				28.0	3.0	0.0																				26.0	0.0																									0.0									0.0																																																	39.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0																				
LK-2130	61155.0	4325.0	65507.0	109843.0			1.0	4418.0										30619.0			25638.0	10.0			31.0			0.0	0.0	331.0	0.0																																														0.0									0.0												11.0	0.0		0.0	1.0							1.0	0.0	0.0	2.0	0.0											0.0																																							
LK-1321	60976.0	6061.0	67071.0	106880.0			0.0	5583.0										38299.0			16836.0	0.0	0.0		2.0				0.0	0.0	0.0																				25.0	0.0																									0.0									0.0																																																	7.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0																				
EC-03F	60975	6056	67070	106878			2	5584										38300			16838	20	10		1				14	3	2																				36	10																									8									2																																																	0	13	3	12	4	9	20	7	0																				
EC-05A	60858	5932	66830	119453			6	2645										42847			15080	14	13		24				4	4	2																				57	4																									4									2												19	5	4	7	10							7	22	26	12	12																																																		
EC-17E	60465	4124	64589	115275			3	2583										42905			14662	15	12		14				15	21	131																																														9									4																			7																																														15	24	12	4	17	10	2						
EC-03G	60413	6644	67108	104363			6	5716										32709			21737	23	15		12				13	0	2																				34	5																									5									1																																																	0	14	4	13	2	4	15	4	1																				
LK-1324	60412.0	6648.0	67104.0	104365.0			0.0	5716.0										32710.0			21738.0	6.0	3.0		4.0				1.0	0.0	0.0																				22.0	0.0																									0.0									0.0																																																	7.0	2.0	22.0	1.0	0.0	0.0	3.0	0.0	0.0																				
LK-1209	60163.0	4016.0	64191.0	99745.0			0.0	2930.0										38960.0			18024.0	0.0	0.0		5.0					56.0																						0.0																									0.0									0.0																																																										0.0	56.0	0.0	0.0	0.0	0.0	0.0								0.0	0.0				
EC-02D	60159	4017	64191	99742			2	2931										38957			18026	12	4		4					64																						4																									4									3																																																										2	65	0	2	2	0	6								18	6				
EC-07E	58725	3657	62382	94245			6	2717										40083			15616	32	19	56	6					5	5																																											8																															5																																							47	10	35	12	6	0	16													
EC-16C	57590	4288	61884	108244			2	1759										38073			17555	13	4		1				5	62	2																					3																							3	8	5	16	9	13	9	11	2	6	12	0	6																																																																												
EC-09A	57151	2661	59812	93685			3	3364										35851			17700	30	11	43	8				5	22																					51																										7									0																	4	8	5	26	2	11																																																							
EC-03E	56484	6566	63100	99737			7	2990										35920			17295	26	12		5				10	5	2																				37	3																									7									1																																																	1	7	2	10	5	8	14	13	12																				
EC-21D	55868	5584	61461	96855			11	1200										36020			18410	29	12	18	7				6	3	1																				60																										2									1																												5	4	14	1	1	0	3	5	5																																									
LK-1203	54018.0	3710.0	57752.0	96028.0			0.0	3462.0										26078.0			23987.0	4.0	0.0		134.0					14.0																						0.0																									0.0									0.0																																																										0.0	236.0	0.0	0.0	0.0	2.0	0.0								14.0	0.0				
EC-02B	54014	3711	57750	96028			3	3463										26076			23987	13	8		50					19																						1																									5									8																																																										6	239	1	2	4	2	5								19	4				
EC-15C	53508	4884	58466	105779			3	2586										37429			13036		20		4				2	277	1																				39																										1	67								1														5																							2												2	2	7	3	1	3	3	2	12																				
EC-21E	53245	5031	58284	92891			5	1037										35835			16179	17	10	15	10				8	13	3																				39																										5									1																												3	2	6	6	1	2	4	6	7																																									
LK-9148	53006.0	3251.0	56260.0	94979.0			0.0	2579.0										37117.0			13057.0	23.0	0.0	14.0	25.0				0.0	35.0	0.0																				65.0																										0.0									0.0																												15.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0																																									
EC-21A	52898	3851	56759	89518			2	1012										37329			14346	17	4	23	0				22	0	2																				19																										4									3																												5	4	4	4	1	0	5	5	6																																									
EC-07F	52840	3577	56417	89805			6	2696										35733			14119	17	16	41	4					27	2																																											2																															1																																							55	9	42	2	1	3	26													
EC-21F	52446	4559	57014	86973			6	668										37930			13603	17	14	26	11				9	7	1																				31																										4									1																												4	4	3	10	3	2	8	8	10																																									
EC-02M	52247	2668	54953	83105			0	5322										30276			16479	20	9		6					15																						1																									4									8																																																										3	37	6	7	2	1	2								21	4				
LK-1236	52246.0	2670.0	54953.0	83106.0			0.0	5323.0										30273.0			16478.0	23.0	0.0		23.0					6.0																						0.0																									0.0									0.0																																																										0.0	39.0	0.0	0.0	0.0	0.0	0.0								25.0	0.0				
EC-03H	52075	6851	58994	93972			2	1909										35541			14402	17	11		3				8	1	2																				31	5																									9									6																																																	0	8	3	6	6	5	14	11	2																				
EC-15J	52061	3003	55133	89631			1	2015										34447			15483		13		7				2	5	1																				28																										6	19								2														5																							5												2	0	1	0	1	2	2	3	11																				
LK-5112	51588.0	3395.0	55485.0	91285.0	19223.0	334.0	0.0	127.0										20596.0			7209.0	31.0			23.0	2201.0		0.0	52.0		0.0										52.0	138.0	75.0	3.0	53.0	11.0	175.0	1.0	275.0	6.0	11.0	1.0	926.0																																																																																																														
LK-6178	51284.0	3571.0	54901.0	89307.0			0.0	1932.0										32084.0			17130.0		1.0		0.0				0.0	0.0	0.0																				25.0																										0.0	5.0								0.0														0.0																							0.0												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																				
EC-15H	51281	3575	54901	89310			2	1932										32083			17130		22		2				2	3	1																				38																										7	27								2														1																							9												0	1	5	1	0	0	0	3	10																				
EC-04M	51037	4262	55338	85136			4	1128										38153			11648	11			4			4	2	2	8																																														8									2												5	1		0	16							2	4	2	1	2											8																																							
EC-16B	51031	5232	56275	101696			5	1269										38413			11109	13	8		2				3	103	2																					5																							3	2	4	25	4	5	8	14	13	5	7	1	2																																																																												
