entity_id	valid	rejected	polled	electors	I-AMI	UPF	DNM	SLNF	USP	AACAAKO	SEP	FSP	SLLP	NDF	ULPP	I-AP	JSP	NSH	PNF	UPFA	ONF	NSSP	ULGC
LK-41	271128	7644	278772	450146	833	1386	311	148	845	509	511	534	1227	203833	783	440	281	563	789	56547	942	473	173
EC-12	256586	2580	259166	373982	323	698	108	74	258	157	180	306	882	209422	641	187	89	370	522	41631	441	238	59
LK-51	256586	2580	259166	373982	323	698	108	74	258	157	180	306	882	209422	641	187	89	370	522	41631	441	238	59
EC-18	255996	1790	257786	321338	107	166	40	22	129	53	43	336	257	147974	298	59	44	103	370	105640	292	36	27
LK-72	255996	1790	257786	321338	107	166	40	22	129	53	43	336	257	147974	298	59	44	103	370	105640	292	36	27
EC-06A	234996	3939	238935	302836	246	705	112	71	469	199	195	285	831	171578	730	250	141	282	493	57718	479	156	56
EC-14	195356	1805	197161	271953	169	327	44	36	214	89	88	270	387	140338	341	99	52	164	263	52111	237	89	38
LK-53	195356	1805	197161	271953	169	327	44	36	214	89	88	270	387	140338	341	99	52	164	263	52111	237	89	38
EC-11	180225	3416	183641	261422	356	563	113	68	300	133	216	191	574	141417	453	114	72	235	358	34377	400	218	67
LK-1103	170147.0	2382.0	172529.0	221256.0	179.0	391.0	36.0	28.0	120.0	41.0	58.0	96.0	284.0	134029.0	206.0	73.0	31.0	71.0	132.0	34204.0	86.0	50.0	29.0
EC-01L	141762	1481	143243	174909	70	55	21	15	36	19	23	67	74	63563	53	26	50	33	128	77415	80	21	13
LK-1112	141761.0	1480.0	143245.0	174907.0	73.0	57.0	3.0	0.0	21.0	3.0	3.0	71.0	77.0	63561.0	55.0	8.0	55.0	17.0	134.0	77413.0	84.0	3.0	0.0
LK-1109	140649.0	1533.0	142177.0	173357.0	65.0	57.0	6.0	0.0	41.0	3.0	32.0	83.0	74.0	68883.0	84.0	24.0	79.0	36.0	87.0	70971.0	87.0	0.0	0.0
EC-01J	140642	1534	142176	173355	64	57	18	5	41	15	31	80	70	68886	81	27	75	35	84	70970	84	8	11
LK-1136	135989.0	1393.0	137374.0	164772.0	53.0	46.0	0.0	0.0	39.0	4.0	22.0	89.0	57.0	61118.0	56.0	0.0	52.0	9.0	88.0	74186.0	70.0	0.0	0.0
EC-01N	135983	1393	137376	164774	54	45	14	12	40	21	30	85	57	61116	56	17	53	24	83	74189	70	7	10
EC-09D	130935	1102	132037	163818	129	147	28	24	79	35	36	82	128	50977	116	36	27	73	250	78546	176	28	18
LK-1127	129402.0	1540.0	130943.0	167661.0	66.0	82.0	15.0	11.0	77.0	32.0	50.0	61.0	146.0	90551.0	83.0	30.0	38.0	32.0	72.0	37912.0	76.0	48.0	13.0
EC-13A	125064	911	125975	161999	30	55	10	15	46	21	19	104	81	47658	77	23	21	50	238	76409	166	28	13
EC-04B	123998	1356	125354	157463	108	117	19	10	82	46	35	121	148	71533	119	37	37	77	153	51156	149	31	20
EC-12B	121637	1106	122743	172499	153	276	51	32	116	81	87	156	351	97779	269	86	42	168	226	21473	165	104	22
EC-20C	120988	1349	122337	149116	88	89	21	9	77	29	12	120	80	43678	98	25	24	65	241	76069	210	38	15
LK-1233	120384.0	1151.0	121531.0	149453.0	69.0	64.0	0.0	0.0	15.0	1.0	13.0	90.0	47.0	55332.0	67.0	2.0	6.0	15.0	97.0	64313.0	112.0	0.0	0.0
EC-02J	120381	1154	121535	149453	68	61	12	11	33	17	30	87	51	55334	63	20	25	32	94	64314	112	8	9
LK-2312	119294.0	1997.0	121289.0	153728.0	124.0	359.0	56.0	38.0	239.0	106.0	105.0	147.0	424.0	87095.0	372.0	125.0	67.0	146.0	253.0	29304.0	246.0	77.0	20.0
LK-1224	118566.0	1223.0	119790.0	147282.0	74.0	54.0	0.0	0.0	28.0	0.0	1.0	90.0	59.0	53926.0	25.0	1.0	27.0	3.0	109.0	63957.0	63.0	0.0	0.0
EC-02H	118564	1222	119786	147280	70	54	13	14	44	13	23	85	57	53922	40	21	42	28	102	63962	61	7	6
EC-18C	115935	850	116785	146225	35	82	20	13	56	19	20	145	130	72875	165	35	15	58	149	41961	123	21	13
LK-2315	115708.0	1940.0	117646.0	149110.0	123.0	346.0	48.0	32.0	232.0	97.0	95.0	145.0	407.0	84482.0	362.0	124.0	65.0	144.0	243.0	28424.0	238.0	72.0	24.0
LK-1206	113638.0	1508.0	115142.0	143884.0	89.0	67.0	4.0	0.0	47.0	4.0	8.0	43.0	89.0	58512.0	57.0	15.0	21.0	21.0	120.0	54353.0	84.0	0.0	1.0
EC-02C	113635	1505	115140	143885	84	64	19	7	48	19	22	47	84	58507	57	30	35	35	119	54355	77	12	14
LK-1221	112799.0	1580.0	114382.0	143840.0	68.0	55.0	0.0	2.0	45.0	1.0	12.0	54.0	63.0	58668.0	50.0	12.0	27.0	23.0	92.0	53484.0	69.0	0.0	1.0
EC-02I	112797	1584	114381	143843	70	53	10	16	41	14	24	52	62	58669	49	24	28	27	89	53481	73	4	11
EC-21H	110636	1285	111921	140748	73	104	17	17	73	22	26	115	105	44089	102	30	23	84	207	65270	223	35	21
EC-03B	110628	999	111627	133887	94	73	15	12	73	24	31	89	68	48469	75	22	36	45	154	61199	118	21	10
EC-02F	107270	986	108256	132981	88	66	11	10	54	21	25	55	61	51581	53	21	30	39	125	54929	73	21	7
LK-1215	107268.0	987.0	108253.0	132983.0	104.0	63.0	0.0	0.0	40.0	0.0	0.0	42.0	55.0	51579.0	39.0	0.0	2.0	6.0	128.0	54929.0	77.0	0.0	0.0
LK-1227	105934.0	1025.0	106951.0	133017.0	101.0	87.0	1.0	0.0	15.0	1.0	1.0	16.0	23.0	50384.0	15.0	1.0	7.0	2.0	79.0	54774.0	104.0	1.0	1.0
EC-02G	105931	1024	106955	133023	98	91	16	9	44	19	26	50	57	50380	48	17	40	35	86	54777	100	22	16
LK-1121	105357.0	1221.0	106574.0	129802.0	31.0	36.0	0.0	2.0	38.0	0.0	36.0	65.0	58.0	51479.0	36.0	11.0	47.0	13.0	66.0	53327.0	51.0	0.0	0.0
EC-01M	105353	1220	106573	129801	27	37	12	13	39	7	38	65	57	51480	38	16	47	17	66	53327	49	7	11
EC-13D	105148	802	105950	152147	86	140	19	7	65	31	24	63	235	81547	165	52	11	53	113	22425	74	29	9
EC-01B	101497	1237	102734	131482	120	298	19	17	69	26	32	59	185	82495	131	44	22	43	73	17779	39	25	21
EC-05A	101472	1074	102546	131831	90	104	25	15	66	36	27	79	92	42652	74	36	30	75	205	57657	158	24	27
EC-03C	100517	952	101469	122511	77	71	11	17	64	19	22	76	62	42065	52	22	25	48	120	57633	107	13	13
EC-21B	99552	1074	100626	121108	85	71	21	14	52	21	21	46	87	43608	90	27	31	53	169	54989	134	19	14
LK-9112	99549.0	1075.0	100625.0	121108.0	87.0	75.0	11.0	5.0	47.0	11.0	11.0	46.0	88.0	43611.0	92.0	24.0	31.0	47.0	171.0	54988.0	131.0	7.0	5.0
EC-02L	99433	997	100430	121702	49	56	4	8	27	13	13	75	56	48667	46	18	34	22	89	50173	62	8	13
LK-1239	99433.0	997.0	100429.0	121700.0	52.0	63.0	0.0	0.0	23.0	0.0	0.0	73.0	63.0	48667.0	50.0	11.0	34.0	18.0	88.0	50171.0	67.0	0.0	0.0
EC-01H	97336	1275	98611	120617	62	129	8	10	27	18	28	46	90	56835	86	21	38	22	80	39767	50	15	4
LK-1106	97335.0	1278.0	98615.0	120616.0	64.0	129.0	0.0	1.0	25.0	9.0	26.0	50.0	91.0	56832.0	87.0	16.0	42.0	17.0	79.0	39764.0	56.0	6.0	0.0
LK-1212	97151.0	878.0	98026.0	124683.0	76.0	22.0	0.0	0.0	24.0	0.0	0.0	20.0	52.0	45202.0	17.0	0.0	1.0	1.0	115.0	51245.0	75.0	0.0	0.0
EC-02E	97147	880	98027	124679	82	53	20	11	55	17	18	51	69	45202	48	14	27	28	104	51244	81	17	6
EC-17E	96580	771	97351	125162	59	88	14	13	47	14	26	75	89	41612	112	22	18	47	172	54008	130	16	18
EC-09C	96248	851	97099	120148	63	85	15	9	53	17	16	76	60	32598	60	29	31	67	162	62739	136	21	11
EC-01O	95981	958	96939	115219	45	39	11	7	30	14	27	31	49	48599	28	14	24	25	78	46885	57	14	4
LK-1133	95979.0	956.0	96938.0	115220.0	47.0	43.0	1.0	0.0	36.0	2.0	32.0	37.0	49.0	48600.0	33.0	2.0	28.0	29.0	78.0	46882.0	59.0	2.0	0.0
LK-1218	95314.0	1329.0	96643.0	120479.0	62.0	83.0	14.0	4.0	70.0	4.0	18.0	63.0	110.0	56538.0	60.0	33.0	24.0	21.0	80.0	38001.0	73.0	21.0	0.0
EC-02A	95311	1332	96643	120471	59	84	20	14	65	17	21	60	108	56541	57	32	26	25	82	38001	69	23	7
EC-01K	94880	1032	95912	117472	67	61	16	11	57	15	19	84	66	42728	80	26	30	39	112	51351	80	28	10
LK-1321	94345.0	908.0	95247.0	117939.0	44.0	59.0	0.0	0.0	39.0	0.0	5.0	96.0	64.0	44805.0	63.0	2.0	3.0	7.0	96.0	48851.0	85.0	0.0	0.0
EC-03F	94342	905	95247	117931	48	55	12	8	43	20	25	92	60	44804	58	23	24	27	92	48851	82	6	12
EC-02K	93871	878	94749	115356	72	62	16	6	26	11	19	52	38	38491	51	14	32	36	109	54714	104	11	7
LK-1230	93869.0	878.0	94750.0	115354.0	68.0	45.0	0.0	0.0	2.0	0.0	0.0	25.0	5.0	38484.0	24.0	0.0	4.0	4.0	120.0	54713.0	119.0	0.0	0.0
EC-03G	93540	951	94491	117033	73	79	13	4	37	28	27	93	113	53280	75	23	20	38	96	39424	88	15	14
LK-1324	93538.0	954.0	94489.0	117032.0	80.0	86.0	1.0	0.0	24.0	11.0	10.0	97.0	112.0	53283.0	83.0	6.0	4.0	26.0	100.0	39424.0	95.0	3.0	2.0
LK-2130	93452.0	1238.0	94682.0	121169.0	75.0	73.0	3.0	0.0	41.0	33.0	27.0	64.0	58.0	56444.0	73.0	18.0	17.0	33.0	76.0	36264.0	66.0	8.0	0.0
EC-03A	93355	1152	94507	114828	59	79	12	5	31	20	20	71	54	46820	37	10	34	33	84	45908	57	14	7
LK-1303	93355.0	1155.0	94506.0	114832.0	62.0	81.0	0.0	0.0	24.0	3.0	3.0	75.0	57.0	46823.0	38.0	0.0	28.0	27.0	83.0	45907.0	60.0	0.0	0.0
EC-16C	86985	985	87970	118171	84	84	16	12	64	27	31	68	91	42187	65	16	19	28	146	43928	91	14	14
EC-02D	86583	701	87284	108529	83	64	14	8	30	20	19	57	67	40112	45	11	23	26	95	45813	75	11	10
LK-1209	86582.0	702.0	87280.0	108525.0	92.0	56.0	0.0	0.0	3.0	0.0	0.0	42.0	57.0	40110.0	22.0	0.0	0.0	1.0	108.0	45813.0	75.0	0.0	0.0
EC-21D	86474	1009	87483	106575	82	102	23	23	69	32	36	79	112	40501	114	43	28	59	168	44798	151	40	14
EC-15C	86090	654	86744	113858	54	71	16	9	38	12	17	30	73	36058	65	18	11	49	125	49289	126	16	13
EC-03E	85597	1063	86660	108996	59	76	15	8	57	20	30	96	94	38668	94	27	20	49	148	45984	114	26	12
EC-16A	84277	1151	85428	125702	125	161	20	10	98	43	32	50	156	58844	131	31	17	43	107	24235	123	29	22
EC-16B	84093	778	84871	112978	63	88	16	7	40	13	18	59	62	31026	67	16	9	31	168	52225	149	23	13
EC-21E	82589	1023	83612	102618	93	113	27	20	86	27	29	62	136	38366	115	31	25	74	209	42940	183	35	18
LK-9148	82494.0	956.0	83451.0	104950.0	54.0	73.0	3.0	3.0	54.0	12.0	15.0	89.0	73.0	32875.0	72.0	21.0	13.0	60.0	157.0	48669.0	165.0	25.0	8.0
EC-07E	82428	790	83218	100757	78	87	17	15	68	25	26	78	83	34022	63	26	22	35	171	47464	106	28	14
EC-20B	81716	1113	82829	107678	62	93	16	12	68	18	17	41	78	30381	54	33	24	46	179	50408	150	22	14
EC-09A	80837	658	81495	100711	63	78	20	14	64	31	16	68	75	27601	65	24	25	81	205	52202	155	30	20
EC-04L	79785	1020	80805	102219	68	161	14	11	61	37	43	65	132	45328	131	39	22	50	151	33293	130	29	20
EC-21F	79772	956	80728	96156	96	110	26	20	99	43	37	58	126	32188	107	37	24	83	202	46275	179	43	19
EC-03H	79674	1002	80676	100040	67	79	20	11	55	25	19	79	67	33995	87	18	21	53	154	44750	142	18	14
EC-02B	79482	871	80353	106213	65	83	22	13	48	19	17	50	110	53331	62	22	16	42	64	25432	62	17	7
LK-1203	79480.0	871.0	80356.0	106214.0	64.0	84.0	21.0	4.0	47.0	14.0	9.0	48.0	108.0	53331.0	62.0	21.0	8.0	44.0	63.0	25432.0	62.0	9.0	0.0
EC-15A	78530	602	79132	103488	44	53	8	7	35	11	10	24	63	31027	50	14	10	45	139	46848	109	25	8
EC-21A	78443	638	79081	96170	42	58	17	8	52	19	22	50	65	32106	58	16	18	44	140	45606	92	26	4
EC-15I	77294	568	77862	100474	70	89	18	3	37	13	15	59	45	37528	47	20	13	34	91	39115	82	6	9
EC-08A	77138	990	78128	97610	95	95	28	15	70	33	32	90	102	31716	84	28	23	59	182	44273	145	51	17
EC-17D	76957	720	77677	102691	72	92	12	6	42	20	13	34	82	33791	79	20	16	39	148	42349	103	23	16
EC-07F	76667	941	77608	95641	108	68	17	12	58	23	20	95	56	32347	81	33	21	37	133	43369	141	31	17
EC-15H	76163	768	76931	94505	48	69	8	11	25	14	15	41	49	33655	36	9	12	24	87	41990	53	13	4
LK-6178	76162.0	771.0	76931.0	94503.0	47.0	79.0	0.0	0.0	1.0	0.0	0.0	30.0	48.0	33655.0	21.0	0.0	0.0	1.0	92.0	41989.0	57.0	0.0	0.0
EC-19A	75351	930	76281	95715	91	151	27	14	71	23	18	38	71	31495	90	23	9	60	191	42718	213	33	15
EC-17C	75347	651	75998	97576	46	61	8	11	32	11	19	61	53	35779	46	14	16	36	110	38947	76	12	9
EC-16E	75339	722	76061	106183	50	54	20	5	37	14	15	82	42	35218	43	18	9	22	82	39523	75	11	19
EC-07I	75054	738	75792	94175	44	66	16	7	34	19	17	74	47	34807	56	17	27	33	105	39604	57	16	8
EC-15J	74891	621	75512	94560	46	39	13	3	30	8	6	29	40	32964	35	17	11	29	106	41422	72	13	8
EC-04F	74890	794	75684	94870	49	65	20	10	32	20	23	59	75	41238	73	24	20	41	90	32930	85	23	13
LK-2127	74889.0	794.0	75683.0	94868.0	46.0	69.0	6.0	1.0	17.0	6.0	7.0	58.0	85.0	41239.0	83.0	8.0	6.0	26.0	98.0	32927.0	94.0	7.0	1.0
LK-1306	74866.0	677.0	75543.0	90607.0	65.0	52.0	0.0	0.0	52.0	3.0	10.0	62.0	47.0	32797.0	54.0	1.0	13.0	29.0	106.0	41416.0	80.0	1.0	0.0
EC-08C	74285	575	74860	93769	71	58	16	8	45	15	23	37	66	30647	72	23	22	40	138	42860	116	14	14
EC-04M	74162	1393	75555	95567	95	128	22	10	105	25	42	70	127	40233	144	42	44	74	173	32619	146	37	26
EC-11B	74080	1371	75451	109705	146	212	45	26	128	57	78	74	213	55683	164	53	30	91	148	16678	143	91	20
LK-43	74080	1371	75451	109705	146	212	45	26	128	57	78	74	213	55683	164	53	30	91	148	16678	143	91	20
EC-08G	73545	534	74079	93450	46	52	11	7	33	18	12	35	56	32247	45	19	26	20	99	40715	71	15	18
EC-15D	73148	847	73995	97886	48	70	12	7	35	16	27	24	70	33944	60	14	18	35	112	38538	94	15	9
EC-08B	72695	748	73443	91791	66	56	17	10	63	19	23	70	80	25164	67	26	27	41	144	46635	145	28	14
EC-15B	72143	658	72801	94910	62	73	16	5	32	12	10	20	67	31444	57	9	7	34	138	40015	121	8	13
EC-12A	72075	747	72822	105056	64	154	25	20	59	37	38	63	259	60342	208	47	15	84	135	10337	114	55	19
LK-5112	71385.0	650.0	72035.0	101237.0	89.0	161.0	33.0	14.0	68.0	48.0	52.0	92.0	208.0	57384.0	159.0	52.0	25.0	99.0	130.0	12600.0	99.0	60.0	6.0
LK-1236	71261.0	860.0	72120.0	90121.0	36.0	65.0	0.0	0.0	36.0	5.0	21.0	36.0	44.0	37884.0	43.0	0.0	33.0	21.0	79.0	32857.0	65.0	0.0	0.0
EC-02M	71260	859	72119	90122	35	63	9	10	35	14	19	34	46	37884	45	8	30	19	79	32856	63	6	5
EC-07D	71110	574	71684	89500	79	82	20	11	48	19	17	119	38	28287	41	18	20	28	108	42015	123	27	10
EC-05D	70812	1079	71891	93296	86	134	34	17	102	36	31	72	125	37319	134	45	28	71	141	32235	137	40	25
LK-3242	69838.0	652.0	70487.0	86981.0	13.0	13.0	0.0	0.0	7.0	1.0	0.0	26.0	51.0	35248.0	32.0	1.0	27.0	5.0	54.0	34194.0	32.0	0.0	0.0
EC-08F	69836	652	70488	86984	25	24	15	5	21	16	10	30	50	35248	34	16	31	20	52	34191	34	6	8
EC-15L	69815	583	70398	89332	32	51	10	8	37	5	9	32	48	37895	47	21	25	23	72	31429	49	10	12
LK-9218	69674.0	715.0	70387.0	87796.0	67.0	75.0	0.0	0.0	24.0	5.0	2.0	52.0	63.0	32163.0	68.0	5.0	3.0	4.0	108.0	36838.0	82.0	0.0	2.0
EC-22A	69672	715	70387	87800	62	72	12	7	35	21	16	51	60	32163	66	21	17	18	108	36838	76	13	16
EC-15M	69481	834	70315	90682	50	62	16	7	40	20	20	40	64	35591	51	20	19	34	92	33243	82	17	13
LK-6160	69479.0	838.0	70312.0	90682.0	52.0	65.0	2.0	0.0	39.0	3.0	3.0	39.0	69.0	35590.0	52.0	3.0	3.0	23.0	93.0	33245.0	84.0	2.0	0.0
LK-9206	69391.0	778.0	70166.0	90628.0	79.0	85.0	6.0	0.0	39.0	19.0	4.0	74.0	83.0	40066.0	75.0	12.0	8.0	7.0	80.0	28564.0	79.0	3.0	0.0
EC-22E	69389	778	70167	90627	77	87	20	9	41	30	18	71	85	40066	75	28	23	22	79	28561	77	16	4
EC-15G	69222	517	69739	88306	41	36	12	9	28	6	14	30	47	31166	42	12	14	29	83	37574	58	13	8
EC-21C	69062	834	69896	83934	67	91	23	17	64	26	38	42	99	33095	109	28	28	51	137	34975	118	33	21
LK-9124	69061.0	835.0	69896.0	83931.0	66.0	91.0	25.0	15.0	64.0	30.0	39.0	42.0	93.0	33094.0	111.0	31.0	31.0	53.0	138.0	34975.0	119.0	33.0	21.0
EC-01A	68649	1146	69795	89771	59	90	15	9	50	17	29	39	101	51537	75	25	10	25	61	16423	48	28	8
LK-1309	68129.0	644.0	68774.0	83035.0	57.0	53.0	0.0	0.0	50.0	0.0	1.0	57.0	48.0	28508.0	38.0	1.0	2.0	31.0	81.0	39057.0	72.0	0.0	0.0
EC-03D	66431	716	67147	82123	64	42	17	11	49	19	29	74	79	28341	78	24	11	39	123	37311	95	17	8
LK-5327	65720.0	459.0	66182.0	95803.0	46.0	139.0	6.0	0.0	70.0	28.0	39.0	71.0	175.0	57532.0	164.0	33.0	18.0	62.0	76.0	7132.0	79.0	33.0	2.0
EC-14C	65719	461	66180	95804	46	142	14	7	70	26	36	71	174	57532	160	31	20	62	76	7132	79	31	10
EC-04C	65480	1023	66503	85375	64	90	20	8	57	30	23	65	85	37840	90	37	27	52	101	26762	88	19	22
EC-18A	65198	491	65689	83395	37	38	10	8	35	23	14	120	61	32744	58	12	14	28	137	31747	91	10	11
EC-15P	65179	835	66014	66934	18	14	5	2	13	5	8	27	8	33384	10	5	30	7	25	31591	19	2	6
EC-19H	64981	966	65947	83147	95	106	13	12	66	29	33	63	69	32766	92	34	22	54	105	31272	122	21	7
LK-2139	64758.0	766.0	65525.0	82297.0	41.0	103.0	0.0	0.0	19.0	3.0	0.0	43.0	94.0	38015.0	43.0	0.0	0.0	9.0	103.0	25991.0	80.0	0.0	0.0
EC-04K	64754	763	65517	82298	59	87	13	9	48	29	25	61	82	38018	61	26	19	37	87	25984	76	20	13
EC-07J	64603	572	65175	80778	72	52	11	9	31	17	16	96	48	25932	43	15	15	32	92	38028	64	12	18
EC-06D	63924	1052	64976	82193	72	155	12	12	84	26	44	64	128	32340	136	38	21	56	171	30354	161	32	18
LK-2309	63920.0	1052.0	64974.0	82191.0	53.0	164.0	1.0	1.0	69.0	12.0	19.0	44.0	131.0	32345.0	143.0	19.0	8.0	33.0	178.0	30356.0	168.0	15.0	5.0
EC-05C	63637	773	64410	84225	77	91	11	14	72	25	28	54	101	36052	96	40	15	44	123	26684	65	36	9
EC-08D	63560	639	64199	81524	39	38	10	18	35	10	10	38	45	22939	36	14	16	26	103	40084	72	14	13
EC-16D	63539	558	64097	89975	52	50	8	9	30	9	20	40	52	29934	33	12	11	23	76	33119	50	7	4
EC-07H	63190	447	63637	79685	41	41	9	8	22	14	22	46	57	39547	53	14	24	17	48	23184	24	14	5
LK-3139	63190.0	447.0	63638.0	79684.0	40.0	40.0	0.0	0.0	14.0	4.0	14.0	45.0	62.0	39545.0	59.0	4.0	19.0	9.0	50.0	23186.0	19.0	4.0	0.0
EC-04J	63089	748	63837	80420	42	74	9	9	28	11	15	47	45	32298	58	16	21	35	88	30194	78	18	3
LK-2136	63088.0	750.0	63831.0	80419.0	30.0	82.0	0.0	0.0	7.0	0.0	0.0	38.0	36.0	32299.0	59.0	0.0	1.0	16.0	94.0	30194.0	85.0	1.0	0.0
EC-14B	62759	816	63575	86978	77	113	21	14	97	42	34	60	140	49650	114	53	26	55	74	12056	77	38	18
EC-04H	62735	834	63569	81149	48	57	10	4	31	31	25	53	45	36127	49	18	17	31	49	26062	61	12	5
EC-17G	62666	559	63225	83431	56	87	13	4	46	14	13	42	60	29410	62	21	13	22	122	32563	78	21	19
EC-20A	62565	775	63340	83003	62	87	14	7	61	16	14	72	61	23704	81	19	17	46	140	37987	138	28	11
EC-09B	62083	553	62636	78234	64	65	20	9	39	14	15	28	44	21912	57	12	26	30	107	39513	93	25	10
LK-2303	61101.0	1018.0	62115.0	78066.0	54.0	95.0	2.0	1.0	84.0	12.0	12.0	28.0	132.0	36346.0	118.0	25.0	8.0	27.0	97.0	23822.0	94.0	8.0	0.0
