entity_id	valid	rejected	polled	electors	TULF	EPDP	UNP	JVP	JSP	NLF	PA	RJP	SLPF	SLMK	SLMC	SU	SMBP	IND1	IND2	IND3	IND5	IND6	IND7	IND8	IND9	IND10	IND11	IND12	IND13	IND14	IND15	LP	ESMS	DUNF	MULF	SLNF	IND4	ELPP	USP	DPLF	INDP	DLF	Ind10	ULF	PFF	NDP	IND 3	SEP
EC-16	290209	14638	304847	431836			146873	18095	58	1870	120981	44	20			1545		55	49	53													230	109	197	30												
LK-62	290209	14638	304847	431836			146873	18095	58	1870	120981	44	20			1545		55	49	53													230	109	197	30												
EC-09	281162	13378	294540	376126			112520	59693		2101	105175		60			679		143	53	93													126			62								336	121			
LK-33	281162	13378	294540	376126			112520	59693		2101	105175		60			679		143	53	93													126			62								336	121			
LK-4	281104	18536	299640	881508	144274	60612	42820	925		731	7831	26			3364	302		705	17	31	17	53	2810	60													19	56	652	11068	2677	2054						
EC-13	280190	17225	297440	368560	48789	5901	58468	9502	95	1165	65246	86	82	160	75257	229	39	30	16	19	19	6	20	60	14808	35	10	13	7	93	35																	
LK-52	280190	17225	297440	368560	48789	5901	58468	9502	95	1165	65246	86	82	160	75257	229	39	30	16	19	19	6	20	60	14808	35	10	13	7	93	35																	
EC-05	218090	15449	233539	307200			109991	16063	67	1824	88999	28		96																		152	139			40					223			365	103			
LK-22	218090	15449	233539	307200			109991	16063	67	1824	88999	28		96																		152	139			40					223			365	103			
EC-20	187333	15638	202971	253318			80549	21987		1745	81805		25			359		171	54	36	28	112										84				49	23							215	91			
LK-82	187333	15638	202971	253318			80549	21987		1745	81805		25			359		171	54	36	28	112										84				49	23							215	91			
EC-10	186598	10681	197279	639717	102324	57208	16245	242		407					3364	213																							410	1454	2677	2054						
LK-41	182479	10502	192981	579768	99728	56201	15882	239		403					3359	211																							401	1428	2589	2038						
EC-18	181497	11854	193351	244221			86786	18956		1517	73679	21	16			199	45	36	34	29														109			70											
LK-72	181497	11854	193351	244221			86786	18956		1517	73679	21	16			199	45	36	34	29														109			70											
EC-12	179108	13275	192383	285739	86284	4153	22638	119	148	619	25705		46	125	26725	103		76	35	77	34	17	18	75	40												6406			5601			64					
LK-51	179108	13275	192383	285739	86284	4153	22638	119	148	619	25705		46	125	26725	103		76	35	77	34	17	18	75	40												6406			5601			64					
EC-06A	172305	14103	186408	228317			130633	4227	60	848	28734		8			423		13	10	18	21	98														8	26		825			122			25	6206		
LK-1103	166417.0	9053.0	175471.0	246260.0	4132.0	138.0	121371.0	6979.0	10.0	493.0	30942.0	1.0	35.0	64.0		1074.0	28.0	1.0	10.0	5.0																18.0	18.0		457.0			315.0		290.0				11.0
EC-14	161138	8429	169567	218736	56121	1470	62930	6095	165	619	32997		11	11		202		24	12	20	22	47										99	100	56	113	11	13											
LK-53	161138	8429	169567	218736	56121	1470	62930	6095	165	619	32997		11	11		202		24	12	20	22	47										99	100	56	113	11	13											
LK-1127	114421.0	4413.0	118836.0	170016.0	5819.0	166.0	69005.0	7409.0	13.0	359.0	28569.0	10.0	6.0	20.0		2143.0	56.0	10.0	5.0	4.0																5.0	19.0		208.0			417.0		126.0				36.0
EC-01B	106970	5700	112670	159417	1649	77	80318	3883	9	308	19149	6	15	50		731	20	3	7	10																12	12		315			178		212				6
LK-1109	101715.0	3216.0	104930.0	135553.0	12.0	36.0	43330.0	16598.0	8.0	284.0	39238.0	0.0	0.0	0.0		1541.0	44.0	0.0	2.0	0.0																0.0	0.0		114.0			302.0		98.0				8.0
EC-01J	101712	3218	104930	135550	22	35	43330	16602	19	284	39238	5	5	11		1541	43	11	14	5																9	4		117			302		95				20
EC-01N	99339	3356	102695	131571	10	25	42260	16045	11	355	37815	8	3	7		2170	50	8	8	2																8	3		97			360		73				21
LK-1136	99339.0	3358.0	102692.0	131571.0	0.0	12.0	42259.0	16046.0	0.0	353.0	37814.0	0.0	0.0	0.0		2171.0	50.0	0.0	0.0	0.0																0.0	0.0		101.0			358.0		73.0				4.0
EC-11	94506	7855	102361	241791	41950	3404	26575	683		324	7831	26				89		705	17	31	17	53	2810	60													19	56	242	9614								
LK-1112	93808.0	3724.0	97525.0	127421.0	0.0	47.0	39940.0	14160.0	0.0	382.0	37390.0	0.0	0.0	0.0		1230.0	24.0	0.0	0.0	0.0																0.0	0.0		95.0			350.0		102.0				3.0
EC-01L	93806	3725	97531	127422	5	45	39943	14159	9	385	37389	6	7	4		1229	37	5	8	2																6	4		92			347		102				22
EC-09D	91401	4451	95852	122005			37939	20179		671	32159		21			157		38	18	26													43			17								101	32			
EC-13D	91206	4940	96159	116710	28882	3377	9515	802	46	317	13861	15	38	56	29047	55	8	6	4	6	5	3	8	22	5062	18	4	5	2	33	9																	
EC-04B	90869	6813	97682	126815			53249	7496	17	503	28636	16	7			595	22	14	19	15	10	15											83		128	5	11								28			
EC-13A	90776	7764	98544	126660	13	156	41149	7994	26	663	40243	63	13	3	222	97	22	9	3	5	9	2	6	5	40	3	2	3	3	6	16																	
EC-02H	88452	2909	91361	116768			32479	12791		315	41519	23	8	10		1090	39	7	11	8	18	20											18			4	10		41					41				
LK-1224	88451.0	2916.0	91361.0	116765.0			32477.0	12789.0		314.0	41517.0	1.0	0.0	0.0		1087.0	24.0	0.0	0.0	0.0	1.0	1.0											1.0			0.0	0.0		25.0					25.0				
EC-01O	88144	3294	91438	115430	450	40	42150	9932	12	255	33627	5	4	4		1161	36	10	5	3																4	5		111			227		72				31
LK-1133	88144.0	3294.0	91442.0	115430.0	450.0	45.0	42149.0	9930.0	2.0	253.0	33625.0	0.0	0.0	0.0		1159.0	40.0	1.0	0.0	0.0																0.0	0.0		109.0			226.0		74.0				37.0
LK-2312	87467.0	7162.0	94623.0	115896.0			66309.0	2146.0	24.0	435.0	14581.0		0.0			212.0		0.0	0.0	0.0	0.0	54.0														0.0	0.0		421.0			60.0			0.0	3148.0		
EC-02J	85123	3158	88281	113172			34904	11262		303	37499	35	6	14		831	39	14	12	7	17	40											21			6	6		66					41				
LK-1233	85122.0	3157.0	88283.0	113168.0			34903.0	11261.0		301.0	37495.0	19.0	0.0	0.0		829.0	27.0	0.0	0.0	0.0	1.0	29.0											4.0			0.0	0.0		68.0					31.0				
LK-2315	84838.0	6946.0	91782.0	112414.0			64318.0	2083.0	26.0	420.0	14147.0		0.0			208.0		0.0	0.0	0.0	1.0	42.0														0.0	1.0		406.0			54.0			1.0	3057.0		
EC-01M	84500	2608	87108	114854	38	37	35932	12776	8	272	32800	6	7	5		2106	44	5	9	1																5	5		67			298		54				25
LK-1121	84500.0	2610.0	87112.0	114854.0	36.0	36.0	35931.0	12773.0	0.0	275.0	32801.0	0.0	0.0	0.0		2108.0	45.0	0.0	0.0	0.0																0.0	0.0		67.0			298.0		55.0				27.0
EC-02I	83870	2524	86394	109799			38219	9856		282	34522	26	10	16		708	21	8	10	9	14	30											13			3	9		58					56				
LK-1221	83870.0	2528.0	86393.0	109796.0			38222.0	9859.0		283.0	34522.0	20.0	0.0	2.0		709.0	8.0	0.0	0.0	0.0	1.0	29.0											1.0			0.0	0.0		61.0					60.0				
EC-12B	83162	5657	88819	130846	32805	2054	14903	63	51	290	21076		16	62	7512	40		18	12	15	14	4	9	59	14												1046			3074			25					
EC-02C	83089	3158	86247	106508			35075	7388		296	39498	25	7	11		548	16	10	6	12	18	30											16			6	14		60					53				
LK-1206	83087.0	3154.0	86248.0	106507.0			35074.0	7382.0		293.0	39493.0	10.0	0.0	0.0		544.0	1.0	0.0	0.0	0.0	4.0	15.0											1.0			0.0	1.0		62.0					53.0				
EC-18C	81076	5995	87071	110281			39349	7280		662	33531	6	5			99	18	12	11	16														55			32											
EC-20C	79920	6103	86023	106437			34428	11148		625	33230		8			145		74	23	17	9	31										31				17	13							86	35			
EC-02G	79816	3490	83306	106025			29618	9351		330	39531	42	2	9		694	37	4	8	24	15	24											22			2	10		47					46				
LK-1227	79808.0	3491.0	83302.0	106028.0			29622.0	9349.0		334.0	39531.0	14.0	0.0	0.0		690.0	4.0	0.0	0.0	1.0	1.0	1.0											1.0			0.0	0.0		15.0					15.0				
EC-21H	79741	4678	84419	105974			33942	13761		713	30539		9			177		21	32	12	82											48	67			13	31		255						39			
EC-02F	77904	2906	80810	103461			32726	9627		267	34348	24	11	11		633	44	8	3	6	14	24											11			10	11		61					65				
LK-1215	77904.0	2914.0	80803.0	103465.0			32731.0	9626.0		271.0	34346.0	0.0	0.0	0.0		635.0	12.0	0.0	0.0	0.0	0.0	0.0											0.0			0.0	0.0		55.0					62.0				
EC-03B	76555	3912	80467	98871			33272	8544	20	326	32966	5				845	43	1	8	4	3	14	15												220	8	6		255									
EC-01H	76414	2761	79175	102676	41	33	37256	8869	7	236	28465	3	5	19		1001	55	8	5	2																4	9		120			182		76				18
LK-1106	76414.0	2759.0	79172.0	102678.0	44.0	34.0	37257.0	8867.0	0.0	234.0	28464.0	0.0	0.0	12.0		999.0	56.0	0.0	0.0	0.0																0.0	0.0		120.0			181.0		75.0				9.0
EC-02E	75646	3330	78976	100833			33405	10143		284	31014	33	4	21		462	38	10	11	15	24	25											7			6	9		73					62				
LK-1212	75642.0	3337.0	78976.0	100837.0			33410.0	10143.0		283.0	31010.0	2.0	0.0	0.0		463.0	6.0	0.0	0.0	0.0	0.0	0.0											0.0			0.0	0.0		58.0					34.0				
LK-9112	73698.0	3659.0	77355.0	94270.0			33704.0	5335.0		730.0	33133.0		2.0			355.0		5.0	27.0	0.0	31.0											39.0	14.0			0.0	31.0		212.0						44.0			
EC-21B	73697	3657	77354	94271			33702	5334		730	33136		11			352		16	29	7	31											37	22			6	31		209						44			
EC-03A	72960	3655	76615	96487			32013	9435	12	290	29288	9				1367	54	11	6	4	10	13	16												189	11	2		230									
LK-1303	72958.0	3655.0	76616.0	96490.0			32009.0	9434.0	0.0	294.0	29288.0	0.0				1365.0	57.0	0.0	0.0	0.0	0.0	0.0	1.0												190.0	0.0	0.0		231.0									
EC-03C	71638	3779	75417	91968			31462	7013	12	346	31788	8				476	28	3	10	5	12	16	26												201	5	12		215									
LK-1321	71408.0	3912.0	75316.0	95700.0			32346.0	8768.0	0.0	264.0	28691.0	0.0				735.0	7.0	0.0	0.0	0.0	0.0	0.0	3.0												186.0	0.0	0.0		296.0									
EC-03F	71405	3911	75316	95698			32344	8768	15	263	28693	5				736	26	4	14	6	11	6	24												186	6	7		291									
EC-02L	71381	2617	73998	93735			32882	8665		220	28778	36	7	5		549	28	7	9	11	14	23											7			7	8		78					47				
LK-1239	71379.0	2616.0	74000.0	93735.0			32885.0	8663.0		220.0	28778.0	39.0	0.0	0.0		550.0	24.0	0.0	0.0	0.0	1.0	20.0											0.0			0.0	0.0		75.0					51.0				
EC-05A	71369	5225	76594	102302			34066	6958	27	649	29281	10		45																		55	36			12					76			130	24			
EC-09C	71012	3028	74040	94126			25539	17744		505	26745		10			219		41	13	17													29			19								86	45			
EC-01K	70565	3324	73889	93630	11	54	32784	7121	14	335	29176	6	7	7		515	35	6	11	2																1	6		93			271		98				12
EC-03G	70430	3903	74333	92658			36709	6581	17	321	25641	9				455	6	4	11	9	14	9	14												260	4	8		358									
LK-1324	70426.0	3898.0	74332.0	92657.0			36711.0	6579.0	3.0	322.0	25646.0	0.0				456.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0												258.0	0.0	0.0		360.0									
EC-02K	70375	2569	72944	91467			28707	7558		291	33199	18	11	9		337	22	7	10	16	19	32											17			5	10		45					62				
LK-1230	70374.0	2571.0	72942.0	91467.0			28709.0	7559.0		287.0	33203.0	0.0	0.0	0.0		339.0	0.0	0.0	0.0	0.0	0.0	4.0											0.0			0.0	0.0		11.0					45.0				
LK-2130	70285.0	3404.0	73689.0	97023.0			41905.0	4804.0	59.0	308.0	21775.0	0.0	0.0			1208.0	37.0	1.0	37.0	0.0	0.0	1.0											31.0		41.0	0.0	0.0								3.0			
EC-02A	69849	2791	72640	92154			37592	6641		220	24651	15	8	10		513	17	8	5	5	7	14											34			4	4		62					39				
LK-1218	69847.0	2790.0	72639.0	92157.0			37596.0	6642.0		219.0	24647.0	4.0	1.0	2.0		511.0	4.0	1.0	0.0	0.0	0.0	4.0											35.0			0.0	0.0		65.0					42.0				
EC-17E	68267	4398	72665	97120			28282	7947	16	686	31042	5	10			98		19	14														70			8									37		33	
LK-1209	67594.0	2671.0	70270.0	87053.0			31435.0	5821.0		192.0	29655.0	0.0	0.0	0.0		308.0	0.0	0.0	0.0	0.0	0.0	1.0											0.0			0.0	0.0		13.0					6.0				
EC-02D	67593	2672	70265	87050			31434	5817		196	29656	19	1	4		303	12	6	4	8	11	25											14			6	4		40					33				
EC-15C	67489	2972	70461	92750			32601	6417	16	329	27843	5	5	6		92		8	9	4	1	5	24									18	8	31		2	5							60				
EC-07E	67476	3042	70518	83302			29666	6717		353	30151		5			113		19	6	23	73											24	17	50		7	22		133			20		62	15			
EC-16C	64986	3142	68128	93040			32254	3888	17	403	27821	25	2			419		7	10	16													47	25	47	5												
EC-03E	64186	4472	68658	88182			29290	7697	22	283	25761	6				552	12	11	6	4	18	12	16												212	6	7		271									
EC-03H	62746	4963	67709	86105			29734	6599	16	318	25147	3				297	23	9	9	6	22	10	29												216	5	11		292									
EC-07F	62497	3928	66425	81026			27446	5714		350	28326		9			153		26	10	21	118											30	13	43		6	18		103			38		62	11			
EC-02B	62373	3044	65417	85784			35678	4141		262	21811	18	7	10		265	15	6	7	6	12	18											7			3	11		56					40				
LK-1203	62372.0	3043.0	65417.0	85784.0			35677.0	4141.0		261.0	21812.0	11.0	0.0	0.0		265.0	8.0	0.0	0.0	0.0	3.0	11.0											0.0			0.0	2.0		55.0					44.0				
EC-21D	62174	4793	66967	81992			30982	4106		604	25849		6			222		17	15	10	31											32	30			4	27		206						33			
EC-15J	61996	2386	64382	80821			29321	5349	13	211	26714	4	1	10		207		3	10	4	2	2	23									10	11	30		5	1							65				
EC-15A	61569	2855	64424	84703			28330	5167	10	342	27465	4	4	9		46		1	11	11	4	3	19									26	7	48		3	4							55				
EC-15I	60937	3482	64419	82926			30901	4162	8	230	25266	2	5	5		191		7	7	5	3	4	21									13	16	22		3	4							62				
EC-08C	60727	3172	63899	79850			25372	9120	22	437	25294		8			185	28	18	6	18	29												17				11		138						24			
LK-6178	60400.0	2710.0	63106.0	80222.0			26711.0	5141.0	0.0	189.0	27958.0	0.0	0.0	0.0		231.0		0.0	0.0	0.0	0.0	0.0	0.0									0.0	0.0	14.0		0.0	0.0							35.0				
EC-15H	60397	2709	63106	80221			26711	5140	10	189	27964	7	4	6		229		5	6	7	0	4	14									13	10	32		3	1							42				
EC-07D	60068	2816	62884	78967			25054	7296		290	26732		7			279		17	8	12	92											32	14	28		9	30		80			11		70	7			
EC-21A	60046	3294	63340	79242			27594	4448		530	26773		5			259		13	32	7	30											41	20			8	21		246						19			
EC-09A	60007	3302	63309	82382			25854	10600		514	22625		14			159		41	15	29													34			15								88	19			
EC-21E	59643	4589	64232	78583			30637	3693		543	24316		7			107		12	17	10	34											21	34			3	17		167						25			
EC-02M	59531	2532	62063	79217			27174	7589		175	23419	18	7	15		932	40	3	9	8	11	12											34			5	4		41					35				
LK-1236	59531.0	2531.0	62063.0	79217.0			27173.0	7587.0		174.0	23417.0	16.0	0.0	6.0		933.0	39.0	0.0	0.0	0.0	1.0	3.0											36.0			0.0	0.0		41.0					36.0				
LK-9148	59458.0	3488.0	62946.0	79021.0			25307.0	10261.0		531.0	22774.0		0.0			130.0		8.0	23.0	0.0	58.0											40.0	53.0			0.0	22.0		190.0						33.0			
EC-01A	59448	3352	62800	86842	2483	62	41052	3098	6	184	11792	2	15	15		342	7	3	8	3																5	5		142			138		76				10
EC-16E	59196	2471	61667	88194			28368	4023	8	369	25738	5	3			532		9	6	11													46	14	58	6												
EC-08G	58903	2608	61511	81072			24241	8058	20	330	25703		6			298	13	14	9	10	33												21				8		110						29			
EC-21F	58829	3203	62032	73176			26220	2756		554	28833		6			90		8	16	3	29											38	33			11	16		186						30			
EC-22A	58515	2527	61042	76475			29259	5515	4	284	23109		10			191	16	8	6	8												20	43				20								22			
LK-9218	58514.0	2530.0	61040.0	76475.0			29258.0	5514.0	0.0	285.0	23106.0		0.0			191.0	2.0	0.0	0.0	0.0												4.0	38.0				4.0								5.0			
EC-14B	58495	3251	61746	81422	35639	1209	14560	1664	71	136	5027		2	6		35		5	3	3	8	19										23	18	5	51	7	4											
EC-08A	58423	4030	62453	77540			26114	6776	20	571	24399		10			135	18	14	12	30	43												33				17		178						53			
EC-16B	57753	3030	60783	87938			26507	4754	16	507	25709	6	5			90		15	11	12													49	35	30	7												
LK-3242	56611.0	1981.0	58588.0	75298.0			24373.0	6764.0	1.0	254.0	24481.0		0.0			532.0	5.0	0.0	0.0	0.0	2.0												0.0				0.0		74.0						2.0			
EC-08F	56606	1983	58589	75301			24376	6763	16	253	24480		11			536	20	13	4	13	18												7				5		74						17			
EC-07I	56570	2456	59026	73397			24798	5426		213	25562		3			253		6	4	9	45											13	16	32		7	17		84			37		37	8			
EC-08B	56155	3878	60033	77929			23457	7094	26	511	24577		7			177	11	14	11	26	27												21				6		162						28			
EC-20B	56110	5376	61486	78033			23313	5230		571	26591		10			130		51	16	9	8	43										23				18	6							61	30			
LK-5327	55802.0	2845.0	58645.0	70170.0	14393.0	125.0	29473.0	168.0	42.0	182.0	11197.0		0.0	0.0		18.0		10.0	0.0	0.0	0.0	9.0										39.0	44.0	28.0	35.0	0.0	0.0											
EC-14C	55801	2844	58645	70168	14393	124	29473	168	41	184	11199		5	2		20		16	5	7	6	15										35	44	28	32	1	3											
EC-15B	55397	3376	58773	77522			27615	4204	9	208	23120	2	6	3		73		9	12	4	4	3	25									16	10	28		2	2							42				
EC-15G	55088	2690	57778	72990			28297	2769	5	183	23510	5	2	4		156		4	9	6	7	2	16									8	6	37		7	10							45				
LK-1124	53885.0	1698.0	55582.0	74140.0	74.0	17.0	27718.0	5276.0	12.0	157.0	18575.0	0.0	0.0	13.0		1695.0	34.0	0.0	4.0	0.0																1.0	0.0		45.0			202.0		39.0				18.0
EC-01I	53884	1698	55582	74140	73	15	27717	5275	11	155	18573	4	2	12		1694	32	3	8	0																5	1		46			202		40				16
EC-17D	53824	2994	56818	78106			27308	5003	17	466	20766	6	6			104		9	5														72			7									25		30	
EC-16A	53454	4017	57471	84866			34353	1335	7	335	17163	7	7			95		11	16	10													62	17	29	7												
EC-22E	53403	2560	55963	73064			30845	4116	16	244	17641		5			408	16	10	3	4												20	42				23								10			
LK-9206	53403.0	2560.0	55967.0	73066.0			30845.0	4116.0	3.0	240.0	17637.0		0.0			411.0	3.0	0.0	0.0	0.0												6.0	42.0				8.0								0.0			
LK-3136	53047.0	2360.0	55402.0	71585.0			22491.0	5717.0		209.0	24020.0		0.0			268.0		0.0	0.0	0.0	47.0											0.0	0.0	12.0		0.0	0.0		69.0			71.0		47.0	0.0			
EC-07G	53041	2360	55401	71584			22487	5715		214	24018		6			274		5	5	4	51											6	13	30		3	11		71			72		51	5			
EC-04L	52985	4338	57323	77854			25089	2168	28	467	24798	6	3			228	22	8	7	3	2	6											41		75	3	4								27			
EC-15D	52766	3191	55957	80000			26882	4292	9	265	20884	2	5	6		262		4	6	9	0	7	11									12	17	28		5	3							57				
EC-07J	52735	2355	55090	71473			21617	6882		239	23508		4			216		12	5	10	53											8	11	26		4	12		53			17		51	7			
EC-05D	52578	4253	56831	74026			28088	3179	17	453	20506	9		21																		37	60			9					75			85	39			
EC-08D	52534	2795	55329	72590			21992	6479	13	384	23194		8			223	25	11	13	14	35												20				5		91						27			
EC-19A	52482	2793	55275	70678			30316	4655			17224	64	9			64		20	10	4	26															15	19									56		
EC-17C	52228	2560	54788	73626			23421	7739	19	378	20359	3	13			202		17	6														32			6									15		18	
LK-1306	51806.0	2646.0	54457.0	66913.0			22518.0	5779.0	0.0	219.0	22308.0	0.0				572.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0												148.0	0.0	0.0		172.0									
EC-09B	51802	2484	54286	70560			20457	9385		399	21272		14			111		23	6	20													20			11								60	24			
LK-6160	51731.0	2465.0	54198.0	72025.0			26510.0	4131.0	0.0	245.0	20364.0	0.0	0.0	0.0		283.0		0.0	0.0	0.0	0.0	0.0	3.0									9.0	0.0	14.0		0.0	0.0							73.0				
EC-15M	51730	2467	54197	72027			26507	4134	5	250	20365	2	1	8		279		6	6	7	4	3	20									23	9	27		4	3							67				
EC-15L	51693	2170	53863	71111			26830	4656	9	171	19359	3	2	6		520		1	7	6	4	5	11									23	9	16		1	2							52				
EC-12A	51675	4272	55947	80685	20767	784	3103	22	48	134	2079		21	52	18689	49		51	13	43	10	5	7	8	19												4714			1040			17					
EC-08E	51613	2120	53733	70412			22490	8378	11	284	20021		8			223	11	6	5	16	23												23				6		91						17			
EC-04M	51453	3780	55233	72986			22110	2811	18	435	25630	7	12			195	15	9	8	4	6	12											64		63	7	10								37			
EC-03D	50446	3730	54176	67795			24592	3976	13	201	20909	6				215	7	6	4	5	8	15	37												200	7	3		242									
EC-04F	49887	3413	53300	70383			26815	3355	18	282	18908	4	4			331	22	9	21	3	2	10											38		42	3	10								10			
LK-2127	49885.0	3412.0	53303.0	70379.0			26817.0	3354.0	4.0	278.0	18908.0	0.0	0.0			330.0	7.0	0.0	7.0	0.0	0.0	1.0											22.0		29.0	0.0	1.0								1.0			
LK-2136	49483.0	2509.0	51988.0	66518.0			24869.0	3247.0	22.0	343.0	20322.0	0.0	0.0			509.0	0.0	0.0	0.0	0.0	0.0	0.0											19.0		47.0	0.0	0.0								0.0			
EC-04J	49479	2512	51991	66518			24871	3243	38	344	20318	1	3			508	12	12	2	6	3	5											36		50	6	6								15			
EC-07H	49316	2006	51322	68949			27516	5263		94	15640		2			407		3	2	8	29											9	5	11		5	5		69			217		27	4			
LK-3139	49316.0	2007.0	51320.0	68948.0			27514.0	5266.0		97.0	15638.0		0.0			407.0		0.0	0.0	0.0	29.0											0.0	0.0	1.0		0.0	0.0		70.0			218.0		22.0	0.0			
EC-16D	49307	1848	51155	72155			22915	3345	10	246	22323	1	3			363		12	6	4													23	18	33	5												
EC-21C	48940	3300	52240	61586			24135	2591		492	21329		5			126		6	11	2	15											17	21			2	11		154						23			
LK-9124	48939.0	3301.0	52241.0	61585.0			24133.0	2590.0		490.0	21331.0		0.0			126.0		0.0	1.0	0.0	9.0											15.0	21.0			0.0	1.0		153.0						25.0			
EC-15K	48874	2224	51098	66099			24494	3223	7	174	20487	1	2	10		340		3	9	4	2	3	15									4	9	29		2	1							55				
LK-5112	48806.0	3318.0	52128.0	76790.0	19252.0	1205.0	8745.0	39.0	33.0	172.0	12369.0		1.0	38.0	4410.0	22.0		3.0	0.0	1.0	1.0	0.0	0.0	37.0	1.0												615.0			1805.0			10.0					
LK-1131	48616.0	1662.0	50280.0	67911.0	572.0	24.0	23431.0	5749.0	11.0	179.0	17344.0	0.0	0.0	10.0		1014.0	33.0	0.0	0.0	0.0																0.0	0.0		54.0			132.0		35.0				14.0
