entity_id	valid	rejected	polled	electors	UNP	PA	JVP	Ind 2	Liberal	Ind 1	SMBP	LDA	PLSF	SLMP	Ind 3	DUNF	PFF
LK-1303	69072.0	2012.0	71090.0	91766.0	24982.0	39077.0	3645.0	88.0	82.0	97.0	599.0	239.0	62.0	143.0	2.0	11.0	1.0
EC-03C	69040	1417	70457	86680	27700	37559	2648	182	126	139	308	130	79	77	40	21	31
LK-2130	68157.0	1837.0	69995.0	93594.0	34610.0	29997.0	1806.0	123.0	116.0	105.0	779.0	241.0	74.0	227.0	37.0	19.0	10.0
LK-1321	67415.0	1540.0	68952.0	90724.0	27128.0	35752.0	3366.0	131.0	113.0	134.0	383.0	133.0	79.0	108.0	30.0	1.0	13.0
EC-03F	67413	1540	68953	90723	27131	35751	3369	127	111	135	386	131	77	105	38	21	31
EC-03G	67321	1145	68466	87513	29585	34369	2421	160	114	150	148	81	70	159	35	14	15
LK-1324	67321.0	1140.0	68467.0	87512.0	29585.0	34370.0	2425.0	155.0	113.0	149.0	147.0	90.0	78.0	155.0	23.0	2.0	3.0
EC-02K	66907	1081	67988	87240	23857	39214	2794	137	121	142	281	97	71	81	35	48	29
LK-1230	66906.0	1075.0	67988.0	87240.0	23860.0	39215.0	2794.0	142.0	129.0	147.0	279.0	107.0	66.0	89.0	4.0	19.0	3.0
LK-1218	66515.0	1542.0	68053.0	88375.0	30565.0	32956.0	2128.0	82.0	73.0	74.0	180.0	279.0	46.0	63.0	20.0	24.0	4.0
EC-02A	66512	1541	68053	88377	30566	32954	2127	83	72	74	184	279	47	60	22	27	17
EC-02L	66442	1443	67885	88034	26061	36550	2825	114	78	110	369	118	54	94	24	27	18
LK-1239	66436.0	1441.0	67884.0	88034.0	26062.0	36551.0	2827.0	114.0	75.0	111.0	368.0	119.0	60.0	93.0	22.0	23.0	11.0
EC-01K	65182	1495	66677	87913	26903	33957	2976	158	123	113	334	300	91	109	41	30	47
EC-02D	65147	941	66088	83077	27007	35245	2046	127	100	107	215	97	62	54	36	21	30
LK-1209	65142.0	942.0	66089.0	83075.0	27008.0	35249.0	2045.0	134.0	113.0	118.0	212.0	110.0	50.0	39.0	8.0	0.0	3.0
EC-07E	65109	873	65982	78752	25292	35712	3183	174	152	135	95	50	110	75	59	24	48
EC-15C	63499	1269	64768	86938	28525	31252	2714	206	166	149	151	70	95	65	58	24	24
EC-09C	63214	1222	64436	89147	22431	29828	9887	174	181	149	171	119	98	72	43	39	22
EC-11	62690	1490	64180	206176	43803	16202	482	420	456	234	93	444	83	306	69	40	58
EC-21D	62628	1232	63860	78239	28184	31231	1810	238	244	189	217	152	108	100	68	43	44
EC-03E	62565	1492	64057	84575	25813	32352	3221	183	162	148	316	75	83	74	71	35	32
EC-16C	61383	1309	62692	87891	26708	31998	1813	187	100	137	116	90	58	90	37	21	28
EC-03H	60813	1226	62039	82145	26506	30128	3014	208	163	176	227	78	76	86	83	34	34
EC-07F	60496	1145	61641	76860	22969	34097	2406	191	148	136	167	91	91	82	56	22	40
EC-21E	59209	1055	60264	75436	28059	28305	1552	257	253	188	165	97	105	101	71	24	32
EC-21F	59153	941	60094	70432	24516	32193	1186	251	202	206	145	123	83	100	84	31	33
EC-02B	58822	1181	60003	83508	28156	28515	1360	92	74	111	106	156	55	126	36	20	15
LK-1203	58821.0	1183.0	59999.0	83509.0	28156.0	28517.0	1361.0	93.0	76.0	109.0	108.0	153.0	55.0	125.0	40.0	18.0	8.0
EC-15A	58570	1068	59638	79147	23395	31610	2645	186	176	166	111	55	85	75	43	6	17
EC-21A	58429	1236	59665	76327	23868	31228	1502	180	155	121	136	949	62	115	60	26	27
LK-6178	58279.0	720.0	58989.0	75795.0	23680.0	32001.0	1826.0	119.0	100.0	114.0	182.0	47.0	63.0	84.0	23.0	0.0	0.0
EC-15H	58275	718	58993	75795	23680	31996	1824	124	93	116	184	48	57	77	37	21	18
EC-15I	58100	977	59077	77629	27228	28350	1662	136	113	106	180	60	50	120	44	23	28
EC-15J	57867	1082	58949	75865	24457	30403	2158	128	111	110	214	58	66	72	45	19	26
EC-02M	57190	1582	58772	77425	22215	30947	2940	76	52	108	512	124	59	103	19	19	16
LK-1236	57189.0	1579.0	58771.0	77427.0	22211.0	30948.0	2940.0	76.0	50.0	110.0	512.0	125.0	61.0	102.0	21.0	21.0	8.0
LK-9148	57086.0	1247.0	58335.0	74893.0	21980.0	29334.0	4430.0	258.0	246.0	228.0	147.0	164.0	100.0	71.0	54.0	43.0	38.0
EC-16E	56881	1076	57957	83686	24449	30149	1583	108	80	89	166	100	48	48	27	17	17
EC-07D	56795	991	57786	75271	21196	31626	3128	115	119	125	169	82	76	69	44	22	24
EC-08C	56680	1090	57770	76916	21330	30040	4231	154	182	145	195	72	100	99	58	34	40
LK-9218	56550.0	1072.0	57601.0	74292.0	25325.0	28306.0	2008.0	128.0	123.0	129.0	189.0	52.0	63.0	112.0	68.0	5.0	5.0
EC-22A	56533	1065	57598	74291	25324	28307	2005	125	122	129	189	51	61	110	66	23	21
EC-16B	56416	1199	57615	83322	22733	30542	2216	176	195	154	131	49	87	58	38	22	15
EC-04L	55893	1626	57519	73137	23928	29986	828	141	161	159	244	94	90	163	51	26	22
EC-08A	55055	1464	56519	74409	21400	29229	3108	251	223	157	207	95	111	116	75	38	45
EC-20B	54835	1489	56324	73336	21049	30055	2465	264	256	226	155	62	101	58	53	57	34
EC-08G	54674	1027	55701	78320	19183	30939	3674	123	87	114	219	67	71	116	35	20	26
EC-09A	53664	1389	55053	78596	21426	24728	6298	227	198	180	187	125	108	68	47	38	34
EC-07I	53461	1070	54531	69229	19749	30327	2602	129	81	91	150	124	62	69	41	20	16
EC-01A	53167	1409	54576	77447	32714	18114	1281	95	94	86	115	408	46	163	26	14	11
EC-08B	53161	983	54144	75156	19464	29115	3471	199	170	192	194	54	92	85	57	36	32
EC-15G	52701	789	53490	68736	23876	27022	1143	112	85	96	129	55	53	64	35	13	18
EC-17D	52420	991	53411	73549	23492	25850	2015	177	166	157	150	33	129	166	44	21	20
EC-15B	52383	1191	53574	72758	23694	26123	1789	125	124	125	135	53	62	75	35	24	19
EC-05D	52283	1627	53910	71025	22336	26959	1574	255	235	232	264	75	78	142	78	28	27
EC-15D	52129	1535	53664	74632	24589	24366	2101	156	165	136	240	70	70	104	60	44	28
EC-04C	52091	1338	53429	63055	17372	32945	928	134	119	125	168	55	56	122	35	12	20
LK-3242	51744.0	1793.0	53536.0	72591.0	18742.0	28866.0	3269.0	88.0	74.0	74.0	278.0	157.0	56.0	95.0	4.0	0.0	2.0
EC-08F	51743	1790	53533	72593	18743	28865	3273	86	72	72	276	156	54	94	19	15	18
EC-04M	51622	1513	53135	69098	20885	28277	1353	195	149	165	184	88	86	110	77	22	31
EC-22E	51040	943	51983	69783	23730	24279	1938	150	138	115	232	72	52	245	47	19	23
LK-9206	51039.0	941.0	51987.0	69785.0	23731.0	24276.0	1939.0	150.0	139.0	115.0	234.0	74.0	56.0	242.0	50.0	6.0	8.0
LK-3136	50699.0	749.0	51444.0	68503.0	19138.0	28403.0	2492.0	108.0	88.0	91.0	149.0	79.0	73.0	16.0	5.0	0.0	0.0
EC-07G	50698	749	51447	68503	19134	28404	2497	104	88	91	144	79	74	32	26	10	15
EC-03D	50597	991	51588	66212	22879	25424	1397	156	128	131	184	45	69	69	63	24	28
EC-19A	50418	1308	51726	65925	27638	19750	1757	260	400	199	133	46	62	54	69	24	26
EC-08D	50054	887	50941	70157	17689	28515	2997	126	147	106	201	68	50	68	41	22	24
LK-2306	49866.0	1460.0	51321.0	58214.0	18430.0	29004.0	1572.0	157.0	144.0	142.0	136.0	20.0	65.0	59.0	24.0	3.0	6.0
EC-06C	49863	1461	51324	58213	18426	29000	1572	158	143	140	131	51	71	68	54	21	28
EC-07J	49704	1086	50790	67833	18064	28137	2727	135	97	94	161	92	67	55	40	15	20
LK-1306	49642.0	994.0	50637.0	63013.0	19241.0	27331.0	2207.0	114.0	98.0	106.0	261.0	106.0	62.0	56.0	15.0	10.0	21.0
EC-01I	49636	1675	51311	70424	21455	24782	2075	37	87	83	763	231	41	47	10	10	15
LK-1124	49636.0	1674.0	51309.0	70425.0	21453.0	24781.0	2076.0	36.0	88.0	84.0	765.0	232.0	41.0	45.0	10.0	10.0	17.0
EC-08E	49495	963	50458	68296	18844	25363	4539	99	107	100	155	84	62	56	47	24	15
EC-16A	49432	1202	50634	80531	26894	20842	701	203	155	144	71	106	66	182	38	12	18
EC-06D	49421	1366	50787	64127	23685	23312	1299	198	186	168	142	158	80	67	63	30	33
LK-2309	49415.0	1365.0	50786.0	64129.0	23683.0	23315.0	1303.0	204.0	198.0	178.0	152.0	166.0	64.0	49.0	44.0	14.0	16.0
EC-17C	49134	1015	50149	69006	20153	25187	2996	127	103	105	174	77	63	98	25	19	7
EC-09B	49130	919	50049	68349	18140	24492	5691	118	116	101	136	81	80	69	40	37	29
EC-15L	48914	1101	50015	66346	22450	23715	1700	100	106	113	355	112	50	147	27	17	22
EC-04F	48654	1415	50069	65317	22974	23259	1569	131	113	74	267	60	45	78	43	16	25
LK-2127	48653.0	1417.0	50068.0	65322.0	22976.0	23259.0	1566.0	129.0	113.0	85.0	269.0	62.0	34.0	89.0	31.0	4.0	10.0
LK-9124	48531.0	942.0	49471.0	58978.0	21294.0	24994.0	1196.0	159.0	194.0	170.0	172.0	113.0	77.0	77.0	46.0	18.0	31.0
EC-21C	48530	941	49471	58977	21293	24995	1195	159	191	170	172	112	76	76	44	20	27
EC-15M	48353	995	49348	67307	21972	23463	1838	158	106	115	217	71	54	250	51	35	23
LK-6160	48351.0	994.0	49349.0	67312.0	21973.0	23466.0	1838.0	156.0	103.0	119.0	217.0	76.0	56.0	245.0	52.0	26.0	9.0
LK-5112	47595.0	1027.0	48621.0	73053.0	28581.0	17326.0	93.0	325.0	401.0	159.0	56.0	236.0	87.0	229.0	52.0	14.0	24.0
EC-12A	47127	1043	48170	76988	22614	21939	70	623	665	381	95	183	130	288	86	27	26
EC-16D	47092	846	47938	68620	19079	26152	1285	66	69	63	111	68	48	96	24	15	16
LK-1309	46790.0	958.0	47755.0	58748.0	18775.0	25456.0	1793.0	123.0	83.0	91.0	207.0	84.0	57.0	57.0	20.0	0.0	8.0
EC-04J	46592	1464	48056	62747	21219	23135	1293	125	102	61	301	103	49	105	54	24	21
LK-2136	46592.0	1466.0	48055.0	62749.0	21224.0	23133.0	1293.0	128.0	107.0	64.0	298.0	107.0	43.0	108.0	53.0	2.0	1.0
EC-18A	46376	859	47235	61803	18627	24141	2849	149	140	107	119	51	66	60	28	26	13
EC-04K	46372	1204	47576	62497	21920	22192	1199	139	124	83	251	68	58	240	45	22	31
LK-2139	46371.0	1212.0	47573.0	62501.0	21923.0	22188.0	1206.0	139.0	131.0	98.0	254.0	65.0	41.0	237.0	15.0	0.0	4.0
EC-19H	46140	1526	47666	62074	20768	23002	1339	164	150	151	178	87	74	98	74	26	29
EC-18B	46129	736	46865	60171	20345	23395	1709	135	132	94	95	33	86	55	32	10	8
EC-15K	45579	908	46487	61882	20537	22890	1353	114	84	98	230	58	50	84	37	17	27
EC-22H	45529	725	46254	59827	19546	23868	1337	135	129	108	109	101	49	60	45	26	16
LK-9221	45528.0	724.0	46255.0	59829.0	19544.0	23871.0	1337.0	135.0	128.0	109.0	109.0	104.0	47.0	63.0	46.0	26.0	9.0
EC-13B	45154	701	45855	56629	15225	28822	86	191	219	115	34	152	120	137	34	8	11
LK-3139	44979.0	997.0	45981.0	63299.0	20040.0	22005.0	2207.0	65.0	64.0	65.0	224.0	108.0	35.0	116.0	13.0	6.0	0.0
EC-07H	44978	1000	45978	63300	20042	22008	2207	64	61	63	225	112	37	119	18	15	7
LK-6136	44870.0	965.0	45835.0	59599.0	18163.0	24188.0	1844.0	106.0	78.0	108.0	133.0	76.0	54.0	58.0	14.0	10.0	12.0
EC-15E	44869	965	45834	59601	18163	24187	1847	103	80	106	133	78	47	55	25	21	24
EC-06B	44823	1193	46016	59333	20984	22068	826	211	164	133	136	67	76	71	52	22	13
LK-2303	44819.0	1192.0	46017.0	59334.0	20982.0	22066.0	826.0	210.0	171.0	132.0	135.0	58.0	67.0	61.0	45.0	10.0	1.0
EC-17G	44704	964	45668	58684	19151	23631	1144	141	146	121	87	44	64	97	36	26	16
EC-20A	44574	1028	45602	58803	19156	21890	2337	247	294	204	130	78	85	57	43	26	27
EC-05C	44433	1322	45755	64069	20185	21709	1392	168	172	122	239	94	56	170	59	34	33
EC-22G	44393	998	45391	59922	19765	22655	902	195	184	173	162	97	68	78	66	12	36
EC-17A	44323	745	45068	62120	16742	24878	1875	180	142	138	98	30	92	67	41	15	25
EC-07B	44171	880	45051	58545	16358	24642	2595	78	55	62	141	84	47	55	32	9	13
EC-01G	43964	1500	45464	63466	17572	22868	2514	42	55	60	485	203	36	94	10	18	7
LK-1131	43964.0	1500.0	45465.0	63468.0	17572.0	22869.0	2513.0	42.0	55.0	61.0	485.0	203.0	35.0	94.0	12.0	17.0	6.0
EC-14B	43754	1227	44981	77484	28061	13807	573	224	201	130	74	304	71	201	51	30	27
EC-15F	43252	835	44087	58677	18484	22991	1197	101	99	74	103	32	53	58	34	15	11
LK-9212	43241.0	923.0	44166.0	59083.0	16407.0	23671.0	2313.0	102.0	100.0	119.0	258.0	81.0	41.0	67.0	26.0	6.0	6.0
EC-22C	43240	924	44164	59084	16407	23670	2314	105	104	121	259	85	39	61	32	22	21
EC-19G	43156	1203	44359	56170	20447	20063	1665	156	126	99	128	33	69	291	47	15	17
LK-8130	43156.0	1204.0	44364.0	56172.0	20450.0	20065.0	1667.0	154.0	129.0	98.0	130.0	33.0	69.0	291.0	49.0	0.0	1.0
EC-17B	43087	690	43777	58774	17732	23075	1579	170	137	94	69	29	65	76	25	21	15
EC-13C	42924	707	43631	55387	18390	23773	34	149	136	112	18	79	65	129	22	7	10
EC-04H	42865	1213	44078	59187	20803	19893	1173	83	73	66	431	133	38	114	29	16	13
EC-01D	42770	1388	44158	64386	22281	17777	1486	61	89	59	410	419	34	109	19	16	10
EC-05B	42179	1112	43291	53732	16091	24073	1069	200	181	171	112	35	74	64	48	31	30
EC-22B	41781	750	42531	57224	18227	21032	1670	134	127	106	206	67	51	70	47	20	24
LK-9215	41781.0	747.0	42530.0	57224.0	18226.0	21033.0	1671.0	133.0	129.0	107.0	209.0	66.0	53.0	66.0	52.0	7.0	18.0
LK-1115	41428.0	949.0	42377.0	55874.0	17091.0	21577.0	1893.0	103.0	75.0	70.0	210.0	189.0	62.0	68.0	11.0	4.0	20.0
EC-14C	41324	716	42040	66690	18987	20908	120	274	307	165	44	34	108	298	41	18	20
LK-5327	41323.0	715.0	42040.0	66689.0	18989.0	20911.0	119.0	273.0	307.0	168.0	44.0	38.0	107.0	302.0	42.0	14.0	18.0
LK-2145	41176.0	1056.0	42230.0	55180.0	19810.0	19900.0	640.0	154.0	124.0	113.0	104.0	35.0	58.0	152.0	41.0	3.0	1.0
EC-04G	41174	1059	42233	55180	19808	19900	638	153	128	116	108	42	51	149	46	19	16
EC-07C	41133	857	41990	56502	14882	22445	3157	144	51	103	115	55	65	51	30	19	16
EC-22D	41065	809	41874	54323	15635	22909	1740	112	97	118	204	65	56	52	39	16	22
LK-9203	41059.0	805.0	41876.0	54324.0	15636.0	22908.0	1744.0	114.0	104.0	123.0	205.0	69.0	58.0	52.0	29.0	1.0	2.0
EC-22I	41056	801	41857	54448	19062	19771	1202	201	205	179	146	75	57	66	45	20	27
LK-1130	40195.0	1446.0	41639.0	58407.0	19125.0	18683.0	1344.0	32.0	79.0	44.0	409.0	326.0	17.0	85.0	12.0	18.0	16.0
EC-01F	40194	1446	41640	58407	19126	18683	1346	33	78	44	412	324	17	86	9	20	16
LK-2112	40183.0	1033.0	41214.0	48637.0	13400.0	25410.0	715.0	103.0	89.0	92.0	132.0	45.0	48.0	91.0	22.0	0.0	4.0
EC-15N	39821	1147	40968	55412	17011	19594	2283	140	147	154	137	95	74	102	44	24	16
LK-6163	39815.0	1149.0	40961.0	55410.0	17009.0	19593.0	2281.0	139.0	146.0	157.0	137.0	103.0	79.0	109.0	22.0	1.0	0.0
EC-12C	39723	869	40592	68729	31295	6962	53	354	484	132	54	200	53	37	59	18	22
EC-19F	39450	960	40410	49560	18969	18433	1401	134	117	88	72	61	55	54	35	15	16
LK-8127	39446.0	961.0	40411.0	49561.0	18972.0	18430.0	1400.0	131.0	120.0	89.0	75.0	65.0	57.0	56.0	31.0	0.0	1.0
LK-8124	38914.0	1431.0	40346.0	51996.0	18383.0	18248.0	1387.0	141.0	153.0	131.0	160.0	43.0	78.0	87.0	58.0	10.0	18.0
EC-19E	38913	1433	40346	51998	18382	18253	1384	142	154	131	163	39	77	85	57	21	25
EC-21G	38406	544	38950	46426	15428	21261	963	137	131	135	84	93	49	48	43	15	19
