entity_id	valid	rejected	polled	electors	SLMC	ITAK	UNP	UPFA	RJP	IP1D	UMPA	EPDP	SMBP	NLF	IP6D	IP5D	JHU	IP2D	IP4D	IP3D	USP	S	DPLF	IP9D	IP7D	IP8D	SLPF	JSP	SLNF	ULF	;P7D	SLMK	UPF	CDUA	TLP	IP1-ED	IP2-ED	IP3-ED	IP4-ED	NPP	DUNF	;P4D	SEP
EC-19	370178	30159	400337	526635			181705	178634	32	45			56	248	141	40	6932	36	43	28	588	36			329		28	610		647													
LK-81	370178	30159	400337	526635			181705	178634	32	45			56	248	141	40	6932	36	43	28	588	36			329		28	610		647													
EC-06	327609	24413	352022	443506			176971	82945	79				53	187			4454				1426	23					11	532	26				49728	10736	188	45	38	72	95				
LK-23	327609	24413	352022	443506			176971	82945	79				53	187			4454				1426	23					11	532	26				49728	10736	188	45	38	72	95				
EC-13	289829	18264	308625	389651	76563	55533	42121	111747	5	1	335	1611	85	50	20	40	1130	1	4	55	104			4	10	26	272	66		46													
LK-52	289829	18264	308625	389651	76563	55533	42121	111747	5	1	335	1611	85	50	20	40	1130	1	4	55	104			4	10	26	272	66		46													
EC-16	289588	21431	311194	456777			135152	142784	12	16	229		17	169	26	6	10000	30	6	10	132	37		11		10	18	785	11	92	20	15											
LK-62	289588	21431	311194	456777			135152	142784	12	16	229		17	169	26	6	10000	30	6	10	132	37		11		10	18	785	11	92	20	15											
EC-10	284026	21233	305259	654415	1995	257320			67	5156		18612		266			95	151			291	73																					
EC-09	279310	17724	297034	392949			98877	178895		41			105	195	21	62		32	6	23	239	31			26	139	12	328	26	252													
LK-33	279310	17724	297034	392949			98877	178895		41			105	195	21	62		32	6	23	239	31			26	139	12	328	26	252													
LK-41	250141	18981	269122	592384	1989	224571			63	4645		18047		253			86	145			272	70																					
EC-12	241375	12648	254023	308660	43131	161011	6151	26268	24	102	366	2556		119	34	21	17	65	53	26	71		1010		30	84	155	32	49														
LK-51	241375	12648	254023	308660	43131	161011	6151	26268	24	102	366	2556		119	34	21	17	65	53	26	71		1010		30	84	155	32	49														
EC-05	220062	19549	239611	321374			100642	108259	15	33			20	109	263	48	8819	19	13	64	1135	10					8	271	20			20			27					267			
LK-22	220062	19549	239611	321374			100642	108259	15	33			20	109	263	48	8819	19	13	64	1135	10					8	271	20			20			27					267			
EC-20	192113	12816	204929	270250			71067	117456	12	17			19	76	39	17	2675	18	15	11	135	11			87		6	158	19	275													
LK-82	192113	12816	204929	270250			71067	117456	12	17			19	76	39	17	2675	18	15	11	135	11			87		6	158	19	275													
EC-18	185210	12673	197934	260440			75664	106243	6	13			13	41	5	4	2413	11	8	9	627			13	4	5		116	15														
LK-72	185210	12673	197934	260440			75664	106243	6	13			13	41	5	4	2413	11	8	9	627			13	4	5		116	15														
EC-14	182930	8863	191793	233345	65191	69087	15693	31053	82	61	117	540	65	87	58	53	791	19	10	23																							
LK-53	182930	8863	191793	233345	65191	69087	15693	31053	82	61	117	540	65	87	58	53	791	19	10	23																							
EC-06A	179672	13594	193266	239511			100350	25989	72				23	113			2617				1019	12					6	372	11				41563	7331	58	19	27	36	54				
LK-1103	157651.0	8881.0	166552.0	240151.0			111984.0	30406.0	2.0	23.0	392.0	110.0	6.0	402.0	12.0	1.0	12289.0	13.0	6.0	1.0	301.0	109.0		7.0	541.0	3.0	39.0	645.0	0.0	171.0		39.0								74.0			14.0
EC-11	120848	9665	130513	230847		90252	16213	6415	5	24		1084	57	57	18	57	73	16	7	47	258		6028	217	4	16																	
LK-1127	112364.0	4017.0	116398.0	170816.0			64365.0	28240.0	0.0	18.0	123.0	99.0	10.0	405.0	2.0	0.0	18297.0	10.0	7.0	0.0	105.0	121.0		0.0	64.0	3.0	3.0	243.0	0.0	64.0		25.0								106.0			26.0
EC-12B	105811	5592	111403	141190	19612	57144	3819	22716	6	37	307	1099		57	22	17	6	36	18	17	36		711		12	31	72	24	12														
EC-01J	105071	3316	108393	143644			32772	53065	4	5	30	48	26	139	1	2	18485	5	3	3	53	22		1	3	11	2	202	3	37		3								115			18
LK-1109	105071.0	3318.0	108393.0	143645.0			32771.0	53062.0	0.0	0.0	31.0	47.0	22.0	136.0	0.0	0.0	18485.0	0.0	0.0	0.0	54.0	12.0		0.0	0.0	0.0	0.0	201.0	0.0	36.0		0.0								113.0			6.0
EC-01N	102937	2831	105773	137285			26302	45939	0	5	29	41	31	121	1	2	29850	1	4	2	40	30		3	3	4	6	215	6	27		3								244			18
LK-1136	102933.0	2833.0	105774.0	137283.0			26301.0	45937.0	0.0	0.0	21.0	42.0	24.0	124.0	0.0	0.0	29848.0	0.0	0.0	0.0	39.0	22.0		0.0	0.0	0.0	0.0	215.0	0.0	16.0		0.0								242.0			0.0
EC-01B	100129	5451	105593	153763			71599	17681	6	3	317	66	4	225	12	5	8881	12	2	5	204	98		7	501	8	34	230	5	117		35								49			10
LK-1112	97044.0	3514.0	100575.0	135244.0			29031.0	49522.0	0.0	0.0	11.0	17.0	1.0	136.0	0.0	0.0	17771.0	0.0	0.0	0.0	65.0	0.0		0.0	0.0	0.0	0.0	169.0	0.0	36.0		0.0								169.0			0.0
EC-01L	97043	3516	100577	135242			29029	49520	5	2	29	32	17	129	0	5	17768	4	4	4	59	7		2	3	8	2	175	3	39		3								175			6
EC-13D	94950	5227	100332	123051	33787	31890	5723	22192	1	1	71	923	41	8	13	11	81	1	1	5	45			2	4	3	122	18		7													
EC-04B	92078	6988	99066	133404			46572	37806	1	4	93		10	84	3	5	7079	1	5	6	56	25		24	52	18	6	183	5	20		20											
EC-09D	91787	6311	98098	128377			33449	57861		9			31	36	11	26		7	4	11	83	11			7	28	1	121	9	82													
LK-2312	91205.0	6901.0	98107.0	121580.0			50940.0	13190.0	38.0				0.0	56.0			1329.0				515.0	0.0					0.0	189.0	0.0				21101.0	3719.0	22.0	0.0	0.0	1.0	16.0				
EC-13A	90425	7061	97561	132371	1681	62	31525	55729	2	0	66	232	7	28	2	7	945	0	0	3	49			0	4	3	17	33		30													
EC-02H	88577	3485	92082	120833			24652	51944	5	3			15	53	1	0	11357	3	6	17	116	12		7	7	4	1	327	2			2			8						35		
LK-1224	88577.0	3483.0	92078.0	120836.0			24649.0	51944.0	0.0	0.0			0.0	51.0	0.0	0.0	11359.0	0.0	0.0	0.0	116.0	0.0		0.0	0.0	0.0	0.0	326.0	0.0			0.0			0.0						16.0		
LK-2315	88463.0	6694.0	95156.0	117930.0			49411.0	12798.0	32.0				1.0	48.0			1288.0				503.0	0.0					0.0	184.0	0.0				20466.0	3607.0	25.0	0.0	1.0	8.0	22.0				
LK-1133	87371.0	3142.0	90515.0	116455.0			34313.0	38835.0	0.0	0.0	38.0	41.0	1.0	158.0	0.0	0.0	13492.0	0.0	0.0	0.0	74.0	1.0		0.0	0.0	0.0	0.0	169.0	0.0	49.0		0.0								101.0			28.0
EC-01O	87369	3139	90515	116454			34313	38833	3	5	33	38	9	161	6	3	13493	4	3	5	73	11		3	3	6	4	168	6	49		4								102			24
EC-02J	86498	3448	89962	117826			27012	47558	4	5			25	76	5	3	11194	0	3	12	178	12		12	4	0	1	377	3			7			5						2		
LK-1233	86497.0	3448.0	89966.0	117821.0			27012.0	47553.0	0.0	0.0			6.0	80.0	0.0	0.0	11188.0	0.0	0.0	0.0	176.0	0.0		0.0	0.0	0.0	0.0	380.0	0.0			0.0			0.0						0.0		
LK-1121	86322.0	2161.0	88489.0	118317.0			22336.0	37919.0	0.0	0.0	24.0	34.0	32.0	136.0	0.0	0.0	25383.0	0.0	0.0	0.0	33.0	0.0		0.0	0.0	0.0	0.0	174.0	0.0	33.0		0.0								158.0			6.0
EC-01M	86321	2161	88488	118318			22337	37919	2	2	22	36	28	135	0	0	25385	1	3	1	32	9		1	0	6	3	177	4	34		4								160			14
EC-02I	83793	2997	86813	113559			34248	42453	6	4			4	97	1	1	6009	0	3	10	236	5		6	4	9	4	671	1			4			8						9		
LK-1221	83793.0	2993.0	86812.0	113564.0			34246.0	42453.0	0.0	0.0			0.0	100.0	0.0	0.0	6010.0	0.0	0.0	0.0	236.0	0.0		0.0	0.0	0.0	0.0	668.0	0.0			0.0			0.0						0.0		
EC-18C	82836	5683	88533	117148			35420	45936	4	8			3	20	3	1	1067	3	3	2	290			5	2	2		59	8														
EC-20C	82205	5296	87501	113614			29102	51137	3	8			8	34	16	4	1618	9	1	4	50	3			22		2	68	4	112													
EC-02C	81167	3268	84453	110706			31919	41823	2	7			62	98	2	2	6254	2	3	13	282	10		10	11	1	4	637	5			10			6						4		
LK-1206	81164.0	3266.0	84449.0	110702.0			31915.0	41820.0	0.0	0.0			64.0	101.0	0.0	0.0	6252.0	0.0	0.0	0.0	277.0	0.0		0.0	0.0	0.0	0.0	638.0	0.0			0.0			0.0						0.0		
EC-21H	80446	4795	85241	111570			28117	48051	3	8			10	79	31	15	3749	2	6	14	84	6			42		8	111	6	104													
EC-02F	79683	3169	82878	107679			28632	41026	2	9			15	63	2	1	9292	3	7	9	248	1		9	4	3	7	339	2			4			1						4		
LK-1215	79683.0	3165.0	82875.0	107680.0			28632.0	41022.0	0.0	0.0			0.0	60.0	0.0	0.0	9288.0	0.0	0.0	0.0	249.0	0.0		0.0	0.0	0.0	0.0	335.0	0.0			0.0			0.0						0.0		
LK-1227	79130.0	3855.0	83008.0	109729.0			24278.0	45529.0	0.0	0.0			0.0	19.0	0.0	0.0	8738.0	0.0	0.0	1.0	237.0	0.0		0.0	0.0	0.0	0.0	191.0	0.0			0.0			0.0						0.0		
EC-02G	79128	3853	83008	109731			24282	45529	3	3			8	54	2	2	8741	2	3	22	237	4		13	6	4	2	189	7			4			7						4		
EC-03B	78405	3826	82231	104093			27240	41850	8	3	47		10	87	8	3	8989	5	4	2	52	18		26	6	14	1		5	18											9		
EC-01H	77524	2832	80362	106335			29540	32976	1	2	81	26	15	106	6	1	14311	2	1	3	74	15		1	40	2	3	194	0	29		7								78			4
LK-1106	77521.0	2833.0	80362.0	106336.0			29540.0	32977.0	0.0	0.0	79.0	24.0	6.0	105.0	0.0	0.0	14311.0	0.0	0.0	0.0	73.0	6.0		0.0	43.0	0.0	0.0	194.0	0.0	30.0		0.0								77.0			0.0
LK-1212	74745.0	3686.0	78437.0	104122.0			27521.0	39860.0	0.0	0.0			0.0	10.0	0.0	0.0	6771.0	0.0	0.0	0.0	264.0	0.0		0.0	0.0	0.0	0.0	197.0	0.0			0.0			0.0						0.0		
EC-02E	74739	3677	78436	104122			27523	39853	3	1			10	46	4	2	6775	2	4	16	265	6		20	4	3	2	193	1			3			2						1		
LK-1303	74313.0	3239.0	77547.0	99735.0			24022.0	35685.0	0.0	0.0	29.0		0.0	115.0	0.0	0.0	14278.0	0.0	0.0	0.0	81.0	0.0		2.0	0.0	1.0	0.0		0.0	0.0											0.0		
EC-03A	74309	3240	77549	99741			24020	35687	4	4	35		12	113	6	3	14274	1	3	1	79	8		19	5	16	4		2	11											2		
EC-21B	73213	3926	77139	97357			29670	37386	4	4			8	79	30	13	5605	10	3	2	67	20			41		4	144	3	120													
LK-9112	73213.0	3926.0	77141.0	97356.0			29673.0	37390.0	0.0	0.0			0.0	83.0	28.0	4.0	5606.0	1.0	0.0	0.0	69.0	10.0			42.0		0.0	142.0	0.0	119.0													
LK-1321	72855.0	3765.0	76621.0	99939.0			26253.0	37957.0	0.0	0.0	40.0		0.0	121.0	0.0	0.0	8324.0	0.0	0.0	0.0	44.0	0.0		3.0	0.0	0.0	0.0		0.0	0.0											0.0		
EC-03F	72854	3766	76620	99940			26255	37958	3	7	44		7	118	3	2	8324	3	5	3	47	6		24	4	15	4		1	19											2		
EC-03C	72666	3407	76073	96686			26764	38421	4	4	46		12	84	3	4	7166	6	2	5	41	28		23	7	13	5		2	26											0		
EC-05A	72660	6905	79565	107353			29456	40616	5	9			9	33	91	10	1982	4	2	13	264	3					4	64	2			11			5					77			
EC-01K	72491	3491	75991	98012			28607	37380	2	1	40	34	12	133	7	4	5952	1	3	2	71	2		4	1	5	2	96	1	43		1								72			4
LK-2130	72001.0	3548.0	75546.0	103753.0			36805.0	24547.0	0.0	0.0	32.0		5.0	122.0	0.0	0.0	10153.0	0.0	0.0	0.0	13.0	10.0		1.0	18.0	1.0	0.0	196.0	0.0	3.0		0.0											
EC-09C	71528	4121	75649	98376			22472	48744		8			14	27	4	8		6	0	3	60	7			4	37	6	68	6	54													
LK-1239	71280.0	2581.0	73877.0	96566.0			24698.0	34503.0	0.0	0.0			2.0	63.0	0.0	0.0	11436.0	0.0	0.0	0.0	196.0	2.0		0.0	0.0	0.0	0.0	304.0	0.0			0.0			0.0						0.0		
EC-02L	71278	2585	73877	96568			24696	34502	2	4			15	57	2	2	11434	1	5	9	197	15		9	3	3	7	306	1			4			1						3		
EC-17E	71123	4454	75577	102138			26744	42639	1	4			2	41		15	1314	6	20	12	242	2					5	74	2														
EC-03G	70883	3912	74795	96897			30210	33583	3	7	94		12	37	5	4	6751	7	4	2	75	4		24	2	27	2		7	21											2		
LK-1324	70883.0	3908.0	74794.0	96897.0			30211.0	33582.0	0.0	0.0	98.0		1.0	24.0	0.0	0.0	6751.0	0.0	0.0	0.0	83.0	0.0		6.0	0.0	10.0	0.0		0.0	5.0											0.0		
EC-12A	70783	3862	74645	86626	22244	43503	1364	2706	4	52	38	568		41	5	2	3	20	12	5	15		44		13	30	75	7	32														
EC-02K	69863	3073	72958	94755			23111	40327	3	5			7	26	1	0	5943	4	4	14	192	12		13	2	2	2	164	1			4			20						6		
LK-1230	69859.0	3074.0	72955.0	94760.0			23110.0	40328.0	0.0	0.0			0.0	2.0	0.0	0.0	5945.0	0.0	0.0	0.0	189.0	0.0		0.0	0.0	0.0	0.0	169.0	0.0			0.0			0.0						0.0		
EC-02A	67821	2761	70598	91912			34041	28344	4	5			4	102	6	1	4525	0	4	1	233	7		16	6	2	3	478	0			15			4						20		
LK-1218	67819.0	2760.0	70598.0	91913.0			34039.0	28339.0	0.0	0.0			0.0	102.0	0.0	0.0	4522.0	0.0	0.0	0.0	232.0	0.0		4.0	0.0	0.0	0.0	481.0	0.0			4.0			0.0						14.0		
EC-07E	67483	4371	71854	86343			27440	38633	2	10			9	15	5	3	1119	2	2	8	67	2		24	4	3	1	50	2	82													
EC-14B	67347	3073	70420	86277	13378	43880	3193	6229	17	16	33	393	10	35	17	13	119	4	4	6																							
EC-15C	67011	3271	70300	96817			28281	37155	0	2	48		2	22	0	4	1387	1	2	4	23	3		7	1	1	2	48	4	10		0			4								
LK-1209	66822.0	2886.0	69736.0	90350.0			26261.0	34256.0	0.0	0.0			0.0	13.0	0.0	0.0	5671.0	0.0	0.0	0.0	234.0	0.0		0.0	0.0	0.0	0.0	285.0	0.0			0.0			0.0						0.0		
EC-02D	66821	2884	69731	90352			26267	34257	3	3			17	40	1	1	5666	2	2	9	234	5		15	5	4	2	278	0			3			4						3		
EC-03E	66030	4000	70030	90919			24912	36294	3	14	58		9	35	6	3	4542	5	1	3	40	6		34	4	22	3		6	24											6		
EC-14C	65425	3080	68505	74869	45523	17005	689	1854	53	31	50	49	42	32	30	26	21	14	4	2																							
LK-5327	65424.0	3082.0	68510.0	74868.0	45520.0	17007.0	691.0	1854.0	55.0	33.0	49.0	47.0	42.0	35.0	33.0	28.0	19.0	6.0	0.0	0.0																							
EC-16C	63814	4169	68018	98394			29934	31124	2	4	61		3	42	3	2	2352	6	1	1	26	10		1		1	3	205	3	19	4	7											
EC-03H	63246	4665	67911	88142			26456	33939	6	10	56		9	39	4	5	2538	2	4	2	61	16		35	7	21	3		5	23											5		
EC-21D	62539	4340	66879	85285			27685	32042	5	5			6	53	30	23	2364	4	4	4	87	4			51		1	87	3	81													
EC-07F	62369	4727	67096	83381			24572	35936	6	5			8	42	5	9	1368	3	0	11	58	4		28	7	11	3	77	3	213													
EC-15A	62355	3061	65442	88822			25377	36037	0	1	41		4	11	0	2	795	0	0	1	16	2		8	4	7	3	31	3	9		2			1								
LK-5112	62097.0	3283.0	65381.0	82862.0	11511.0	33539.0	2242.0	13330.0	0.0	19.0	180.0	644.0		35.0	6.0	3.0	0.0	17.0	3.0	3.0	17.0		417.0		0.0	14.0	44.0	9.0	0.0														
EC-21A	60764	3220	63984	81652			24934	31341	5	4			7	944	28	18	3142	3	2	5	104	1			48		4	74	6	94													
EC-02B	60711	2842	63567	88773			33709	24357	3	11			4	148	4	1	1759	4	0	4	277	4		8	7	4	3	387	3			7			0						7		
LK-1203	60709.0	2838.0	63567.0	88769.0			33709.0	24361.0	0.0	2.0			0.0	149.0	0.0	0.0	1757.0	0.0	0.0	0.0	282.0	0.0		0.0	0.0	0.0	0.0	389.0	0.0			0.0			0.0						0.0		
EC-15I	60667	3455	64157	86416			27127	29878	2	4	39		10	18	1	0	3413	3	0	5	23	0		2	0	2	0	109	4	19		5			3								
EC-12C	60118	3125	63243	76112	652	57052	877	299	14	13	12	821		20	7	2	5	9	23	4	20		248		5	22	7	1	5														
LK-9148	59984.0	3574.0	63560.0	83191.0			20965.0	35831.0	0.0	0.0			0.0	56.0	22.0	0.0	2797.0	0.0	0.0	0.0	60.0	0.0			37.0		0.0	82.0	0.0	73.0													
EC-21E	59971	3408	63379	81393			28453	29509	7	4			9	26	23	15	1644	9	3	5	74	2			41		2	46	4	95													
EC-15J	59890	2641	62543	83250			24528	31740	0	1	25		7	13	0	1	3422	1	3	3	19	1		4	0	2	5	80	5	26		3			1								
EC-07D	59750	3369	63119	80943			22243	34840	2	12			4	16	5	4	2411	1	1	2	49	3		18	5	5	0	83	1	45													
LK-6178	59747.0	3022.0	62790.0	83645.0			24935.0	31387.0	0.0	0.0	13.0		0.0	0.0	0.0	0.0	3208.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	90.0	0.0	0.0		0.0			0.0								
EC-15H	59746	3021	62788	83645			24936	31388	2	1	31		4	18	0	6	3212	3	1	3	17	6		4	3	3	3	80	3	17		3			2								
EC-08C	59282	3427	62709	82330			21318	35747		4			5	20	25	1	1733	2	8	6	253	6			49		1	91	7						6								
EC-21F	59106	3134	62240	75915			25321	32331	0	11			2	65	22	10	1076	7	0	2	89	7			25		2	41	0	95													
EC-02M	58736	2996	61749	80329			21450	25774	2	4			11	51	2	1	10956	2	4	6	147	35		11	2	4	1	251	2			6			5						9		
LK-1236	58733.0	2994.0	61748.0	80331.0			21451.0	25773.0	0.0	0.0			1.0	47.0	0.0	0.0	10957.0	0.0	0.0	0.0	145.0	36.0		1.0	0.0	0.0	0.0	251.0	0.0			0.0			0.0						0.0		
EC-08A	58202	4545	62747	80259			23262	33051		11			3	29	36	12	1197	12	3	8	376	2			63		1	123	5						8								
EC-16E	57931	3542	61495	92966			25378	29042	2	2	31		7	40	5	0	3208	6	1	5	16	6		0		1	0	151	3	24	1	2											
EC-16B	57757	5761	63550	92596			22547	33715	3	4	47		1	24	11	2	1231	6	0	1	31	3		1		4	5	98	2	18	3	0											
EC-08G	57717	3422	61139	83288			19996	34824		7			5	36	20	5	2462	4	3	5	204	4			37		1	92	6						6								
EC-22A	57651	3132	60780	78357			26328	28964	3	6	37		40	16	4	2	2095	2	2	3	77	3		10	2	5	5	36	7			2			2								
LK-9218	57648.0	3131.0	60774.0	78354.0			26333.0	28961.0	0.0	0.0	30.0		34.0	2.0	0.0	0.0	2096.0	0.0	0.0	0.0	83.0	0.0		0.0	0.0	0.0	0.0	25.0	0.0			0.0			0.0								
EC-09A	57568	4438	62006	85563			22582	34604		3			15	86	0	19		7	1	3	51	8			12	38	2	70	6	61													
EC-01A	57520	3431	60959	86388			40387	12724	3	2	75	45	5	175	2	3	3409	3	5	3	93	8		5	42	2	6	415	2	57		5								24			10
LK-3242	57094.0	2000.0	59092.0	78464.0			19458.0	32964.0		0.0			0.0	54.0	0.0	0.0	4306.0	0.0	0.0	0.0	144.0	0.0			13.0		0.0	85.0	0.0						0.0								
EC-08F	57091	1999	59090	78465			19458	32967		7			4	52	10	3	4309	3	0	6	146	3			25		8	84	2						4								
EC-20B	56996	4142	61138	83194			21593	34503	5	5			7	26	14	7	586	4	10	3	42	4			43		2	54	10	78													
EC-11B	56386	4846	61232	100185		35012	10724	4713	1	13		488	37	44	10	57	58	9	5	22	158		4908	113	2	12																	
LK-43	56386	4846	61232	100185		35012	10724	4713	1	13		488	37	44	10	57	58	9	5	22	158		4908	113	2	12																	
EC-07I	55527	3007	58534	76101			21249	30897	3	16			9	49	0	5	3095	4	1	5	54	6		16	4	7	1	64	0	42													
EC-16A	55007	4867	59934	90004			34273	20069	2	6	69		3	26	4	0	303	4	2	2	37	17		8		3	6	147	1	13	8	4											
EC-04L	54979	4415	59394	81694			30109	22066	2	2	68		6	34	3	4	2515	1	1	1	30	3		18	13	16	1	63	4	16		3											
EC-15D	54737	3326	58082	83535			25167	26607	2	0	56		4	34	0	4	2740	1	2	5	25	1		5	2	4	0	63	2	10		1			2								
EC-15G	54727	2190	56946	75985			24120	27815	0	3	37		1	35	0	5	2504	3	2	3	22	0		10	1	2	3	130	3	19		6			3								
EC-08B	54633	3846	58479	79918			18582	34158		10			5	18	15	7	1421	6	5	2	226	3			34		5	118	4						14								
EC-17D	54421	3401	57822	81435			23876	28821	3	5			6	26		30	1260	3	16	7	254	22					9	81	2														
EC-15B	54066	4086	58185	80736			22885	29545	4	1	34		4	11	4	2	1427	1	1	2	25	1		4	2	2	3	88	3	13		3			1								
EC-17C	53620	3134	56754	77391			20623	30591	1	4			6	48		23	2045	8	12	5	164	11					2	70	7														
EC-01I	53357	1413	54772	74159			19635	20070	1	1	30	15	14	95	0	4	13192	1	2	2	29	26		0	9	3	1	140	3	16		0								55			7
LK-1124	53357.0	1414.0	54772.0	74158.0			19635.0	20070.0	0.0	1.0	31.0	17.0	16.0	96.0	0.0	0.0	13189.0	0.0	0.0	0.0	29.0	25.0		0.0	4.0	0.0	0.0	139.0	0.0	18.0		0.0								57.0			1.0
LK-1306	53058.0	2589.0	55648.0	70451.0			18438.0	28322.0	0.0	0.0	33.0		0.0	62.0	0.0	0.0	6085.0	0.0	0.0	0.0	39.0	0.0		5.0	0.0	0.0	0.0		0.0	0.0											0.0		
LK-2127	52909.0	3605.0	56514.0	74786.0			24808.0	23918.0	0.0	0.0	25.0		0.0	14.0	0.0	0.0	3894.0	0.0	0.0	0.0	6.0	0.0		4.0	7.0	0.0	0.0	112.0	0.0	2.0		0.0											
EC-04F	52907	3607	56514	74784			24807	23918	2	1	40		3	28	3	3	3896	0	5	0	20	4		18	22	7	0	112	3	14		1											
EC-22E	52874	2853	55727	76115			26099	23290	3	3	82		3	32	0	8	3151	2		5	66			9	9	1	3	89	3			8			5							3	
LK-9206	52871.0	2854.0	55728.0	76115.0			26101.0	23287.0	0.0	0.0	82.0		0.0	24.0	0.0	0.0	3151.0	0.0		0.0	70.0			0.0	0.0	0.0	0.0	88.0	0.0			0.0			0.0							0.0	
EC-15L	52309	2089	54414	74368			23242	23472	3	2	37		5	45	1	0	5347	2	3	2	9	3		5	4	0	1	92	1	16		7			10								
EC-19A	52291	3442	55733	74365			23822	27727	3	4			16	27	18	9	363	6	9	6	76	8			58		3	47		89													
